1. ЖЕНЩИНЫ ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
	Всего	Женщины, указавшие число рожденных детей	из них женщины с числом рожденных детей								Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин)	Женщины, не указавшие число рожденных детей
			0.0	1.0	2.0	3.0	4.0	5.0	6.0	7 и более			
Российская Федерация													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	65227438.0	62885503.0	13611904.0	19191696.0	21181716.0	5601523.0	1592141.0	845442.0	370684.0	490397.0	95167806.0	1513.0	2341935.0
в том числе в возрасте, лет:													
15 – 17	3688557.0	3372149.0	3318646.0	48784.0	4597.0	122.0	-	-	-	-	58344.0	17.0	316408.0
18 – 19	2513510.0	2325455.0	2132586.0	179782.0	11980.0	1107.0	-	-	-	-	207063.0	89.0	188055.0
20 – 24	5608599.0	5225869.0	3266243.0	1688458.0	238305.0	20815.0	5051.0	712.0	4209.0	2076.0	2291063.0	438.0	382730.0
25 – 29	5233014.0	5002168.0	1329995.0	2623755.0	899927.0	108154.0	21715.0	4457.0	3569.0	10596.0	4965023.0	993.0	230846.0
30 – 34	4861201.0	4702159.0	578809.0	2232224.0	1554323.0	249467.0	53877.0	14900.0	6198.0	12361.0	6516647.0	1386.0	159042.0
35 – 39	5133140.0	5002049.0	371274.0	1823431.0	2197478.0	445542.0	100605.0	33163.0	12456.0	18100.0	8342620.0	1668.0	131091.0
40 – 44	6400873.0	6254659.0	373341.0	1823010.0	3072237.0	714536.0	157958.0	59726.0	22872.0	30979.0	11426388.0	1827.0	146214.0
45 – 49	6061444.0	5928895.0	345535.0	1646601.0	2896068.0	742678.0	158294.0	76241.0	27805.0	35673.0	11133671.0	1878.0	132549.0
50 – 54	5391579.0	5264862.0	325677.0	1577401.0	2496834.0	597066.0	128608.0	75303.0	27711.0	36262.0	9713261.0	1845.0	126717.0
55 – 59	2963388.0	2883891.0	199613.0	930501.0	1304689.0	298593.0	68345.0	42044.0	16806.0	23300.0	5210476.0	1807.0	79497.0
60 – 64	4702172.0	4587895.0	309971.0	1362847.0	2026570.0	559200.0	150074.0	94957.0	36856.0	47420.0	8777326.0	1913.0	114277.0
65 – 69	3872625.0	3779591.0	273579.0	1048184.0	1579479.0	517493.0	163669.0	101443.0	42828.0	52916.0	7612857.0	2014.0	93034.0
70 и более	8797336.0	8555861.0	786635.0	2206718.0	2899229.0	1346750.0	583945.0	342496.0	169374.0	220714.0	18913067.0	2211.0	241475.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	48987943.0	46931252.0	10783036.0	15980207.0	15749087.0	3111838.0	698814.0	291224.0	122763.0	194283.0	63375558.0	1350.0	2056691.0
в том числе в возрасте, лет:													
15 – 17	2738244.0	2474869.0	2439557.0	31896.0	3307.0	109.0	-	-	-	-	38837.0	16.0	263375.0
18 – 19	2008875.0	1843794.0	1721156.0	115014.0	6919.0	705.0	-	-	-	-	130967.0	71.0	165081.0
20 – 24	4390849.0	4050959.0	2681802.0	1225687.0	126001.0	8748.0	3038.0	403.0	3655.0	1625.0	1551405.0	383.0	339890.0
25 – 29	4061589.0	3853528.0	1126969.0	2114917.0	543952.0	45653.0	9257.0	1711.0	2562.0	8507.0	3470231.0	901.0	208061.0
30 – 34	3712218.0	3568126.0	488045.0	1890441.0	1037274.0	114366.0	21114.0	5022.0	2960.0	8904.0	4508269.0	1263.0	144092.0
35 – 39	3840746.0	3723208.0	305875.0	1573196.0	1559980.0	218762.0	39389.0	10890.0	4467.0	10649.0	5674179.0	1524.0	117538.0
40 – 44	4837260.0	4706627.0	306267.0	1582786.0	2320323.0	387144.0	65471.0	20219.0	7683.0	16734.0	7928801.0	1685.0	130633.0
45 – 49	4657585.0	4538900.0	285806.0	1434702.0	2262670.0	432735.0	69549.0	26339.0	9513.0	17586.0	7866224.0	1733.0	118685.0
50 – 54	4214287.0	4100147.0	272405.0	1385982.0	1975438.0	356466.0	58577.0	25748.0	9132.0	16399.0	6956417.0	1697.0	114140.0
55 – 59	2324955.0	2252925.0	168881.0	824957.0	1033159.0	170552.0	28824.0	12285.0	4876.0	9391.0	3685534.0	1636.0	72030.0
60 – 64	3415522.0	3315747.0	242722.0	1167805.0	1522573.0	283979.0	53380.0	23049.0	8109.0	14130.0	5556780.0	1676.0	99775.0
65 – 69	2737779.0	2657674.0	204631.0	884395.0	1187190.0	273157.0	59667.0	25664.0	9095.0	13875.0	4613385.0	1736.0	80105.0
70 и более	6048034.0	5844748.0	538920.0	1748429.0	2170301.0	819462.0	290548.0	139894.0	60711.0	76483.0	11394529.0	1950.0	203286.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	16239495.0	15954251.0	2828868.0	3211489.0	5432629.0	2489685.0	893327.0	554218.0	247921.0	296114.0	31792248.0	1993.0	285244.0
в том числе в возрасте, лет:													
15 – 17	950313.0	897280.0	879089.0	16888.0	1290.0	13.0	-	-	-	-	19507.0	22.0	53033.0
18 – 19	504635.0	481661.0	411430.0	64768.0	5061.0	402.0	-	-	-	-	76096.0	158.0	22974.0
20 – 24	1217750.0	1174910.0	584441.0	462771.0	112304.0	12067.0	2013.0	309.0	554.0	451.0	739658.0	630.0	42840.0
25 – 29	1171425.0	1148640.0	203026.0	508838.0	355975.0	62501.0	12458.0	2746.0	1007.0	2089.0	1494792.0	1301.0	22785.0
30 – 34	1148983.0	1134033.0	90764.0	341783.0	517049.0	135101.0	32763.0	9878.0	3238.0	3457.0	2008378.0	1771.0	14950.0
35 – 39	1292394.0	1278841.0	65399.0	250235.0	637498.0	226780.0	61216.0	22273.0	7989.0	7451.0	2668441.0	2087.0	13553.0
40 – 44	1563613.0	1548032.0	67074.0	240224.0	751914.0	327392.0	92487.0	39507.0	15189.0	14245.0	3497587.0	2259.0	15581.0
45 – 49	1403859.0	1389995.0	59729.0	211899.0	633398.0	309943.0	88745.0	49902.0	18292.0	18087.0	3267447.0	2351.0	13864.0
50 – 54	1177292.0	1164715.0	53272.0	191419.0	521396.0	240600.0	70031.0	49555.0	18579.0	19863.0	2756844.0	2367.0	12577.0
55 – 59	638433.0	630966.0	30732.0	105544.0	271530.0	128041.0	39521.0	29759.0	11930.0	13909.0	1524942.0	2417.0	7467.0
60 – 64	1286650.0	1272148.0	67249.0	195042.0	503997.0	275221.0	96694.0	71908.0	28747.0	33290.0	3220546.0	2532.0	14502.0
65 – 69	1134846.0	1121917.0	68948.0	163789.0	392289.0	244336.0	104002.0	75779.0	33733.0	39041.0	2999472.0	2674.0	12929.0
70 и более	2749302.0	2711113.0	247715.0	458289.0	728928.0	527288.0	293397.0	202602.0	108663.0	144231.0	7518538.0	2773.0	38189.0
Центральный федеральный округ													
Белгородская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	699023.0	678583.0	137632.0	197212.0	248250.0	64600.0	17073.0	7487.0	2856.0	3473.0	1038217.0	1530.0	20440.0
в том числе в возрасте, лет:													
15 – 17	39545.0	35668.0	35199.0	433.0	36.0	-	-	-	-	-	505.0	14.0	3877.0
18 – 19	26364.0	24607.0	22386.0	2145.0	59.0	17.0	-	-	-	-	2314.0	94.0	1757.0
20 – 24	54813.0	51533.0	29710.0	19230.0	2352.0	143.0	32.0	-	33.0	33.0	24920.0	484.0	3280.0
25 – 29	52374.0	50683.0	11528.0	28671.0	9399.0	770.0	147.0	68.0	20.0	80.0	51511.0	1016.0	1691.0
30 – 34	49188.0	48199.0	4695.0	23789.0	16966.0	2090.0	368.0	130.0	40.0	121.0	67389.0	1398.0	989.0
35 – 39	55285.0	54321.0	3306.0	19315.0	26421.0	4065.0	710.0	218.0	98.0	188.0	90371.0	1664.0	964.0
40 – 44	68330.0	67198.0	3536.0	19039.0	36307.0	6382.0	1150.0	370.0	135.0	279.0	120182.0	1788.0	1132.0
