2. ЖЕНЩИНЫ, СОСТОЯЩИЕ В БРАКЕ, ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ													
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
	Всего	Женщины, указавшие число рожденных детей	из них женщины с числом рожденных детей								Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин)	Женщины, не указавшие число рожденных детей
			0.0	1.0	2.0	3.0	4.0	5.0	6.0	7 и более			
Российская Федерация													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	33731314.0	33050772.0	2545446.0	11160511.0	14291663.0	3423099.0	833263.0	415026.0	165353.0	216411.0	58162927.0	1760.0	680542.0
в том числе в возрасте, лет:													
15 – 17	54833.0	52244.0	33415.0	18024.0	774.0	31.0	-	-	-	-	19665.0	376.0	2589.0
18 – 19	307948.0	295169.0	161903.0	125557.0	7202.0	507.0	-	-	-	-	141482.0	479.0	12779.0
20 – 24	2378815.0	2292822.0	758835.0	1308455.0	201813.0	17246.0	3596.0	379.0	1230.0	1268.0	1796354.0	783.0	85993.0
25 – 29	3434726.0	3347891.0	451994.0	1974160.0	795226.0	95109.0	18669.0	3792.0	2101.0	6840.0	4011395.0	1198.0	86835.0
30 – 34	3442094.0	3373249.0	199497.0	1536977.0	1344390.0	218557.0	46625.0	13058.0	4885.0	9260.0	5236476.0	1552.0	68845.0
35 – 39	3727625.0	3664796.0	130635.0	1188074.0	1828309.0	379835.0	85025.0	28305.0	10397.0	14216.0	6641492.0	1812.0	62829.0
40 – 44	4623262.0	4549809.0	138221.0	1136456.0	2467301.0	587226.0	128964.0	48605.0	18560.0	24476.0	8898035.0	1956.0	73453.0
45 – 49	4237579.0	4172356.0	131620.0	981259.0	2242379.0	586531.0	122518.0	59931.0	21346.0	26772.0	8357387.0	2003.0	65223.0
50 – 54	3545248.0	3485122.0	123421.0	899694.0	1826454.0	442094.0	92870.0	55143.0	19898.0	25548.0	6852293.0	1966.0	60126.0
55 – 59	1779149.0	1743547.0	74972.0	496311.0	874687.0	199937.0	44239.0	27760.0	10978.0	14663.0	3346782.0	1920.0	35602.0
60 – 64	2450638.0	2404621.0	112296.0	629210.0	1159752.0	319937.0	82966.0	54009.0	20478.0	25973.0	4846096.0	2015.0	46017.0
65 – 69	1724542.0	1690730.0	90573.0	418042.0	766571.0	246385.0	76493.0	48439.0	19737.0	24490.0	3557855.0	2104.0	33812.0
70 и более	2024855.0	1978416.0	138064.0	448292.0	776805.0	329704.0	131298.0	75605.0	35743.0	42905.0	4457615.0	2253.0	46439.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	24647368.0	24056864.0	2040004.0	9221953.0	10430559.0	1790003.0	323619.0	119606.0	45733.0	85387.0	38307304.0	1592.0	590504.0
в том числе в возрасте, лет:													
15 – 17	33282.0	31295.0	20698.0	10169.0	406.0	22.0	-	-	-	-	11047.0	353.0	1987.0
18 – 19	212416.0	202201.0	119131.0	79329.0	3477.0	264.0	-	-	-	-	87075.0	431.0	10215.0
20 – 24	1761391.0	1687021.0	622026.0	950727.0	103370.0	6793.0	1976.0	183.0	1002.0	944.0	1199285.0	711.0	74370.0
25 – 29	2578983.0	2502646.0	386700.0	1587548.0	474207.0	38760.0	7480.0	1380.0	1328.0	5243.0	2739508.0	1095.0	76337.0
30 – 34	2532223.0	2471065.0	167510.0	1293270.0	883167.0	97134.0	17312.0	4271.0	2061.0	6340.0	3504994.0	1418.0	61158.0
35 – 39	2684694.0	2629700.0	105417.0	1016924.0	1275874.0	179812.0	31643.0	8761.0	3413.0	7856.0	4362207.0	1659.0	54994.0
40 – 44	3377093.0	3313073.0	108904.0	976060.0	1835793.0	307860.0	50626.0	15626.0	5790.0	12414.0	5986296.0	1807.0	64020.0
45 – 49	3158728.0	3101919.0	104312.0	843977.0	1732430.0	331574.0	51313.0	19268.0	6752.0	12293.0	5743770.0	1852.0	56809.0
50 – 54	2695288.0	2642353.0	98975.0	781343.0	1430511.0	256790.0	40103.0	17780.0	6061.0	10790.0	4785119.0	1811.0	52935.0
55 – 59	1357205.0	1325766.0	60779.0	435714.0	685800.0	110195.0	17527.0	7363.0	2845.0	5543.0	2306753.0	1740.0	31439.0
60 – 64	1720804.0	1681787.0	83769.0	533729.0	859910.0	154609.0	27195.0	11537.0	3925.0	7113.0	2964971.0	1763.0	39017.0
65 – 69	1180996.0	1152542.0	65642.0	350867.0	568308.0	122847.0	24872.0	10658.0	3452.0	5896.0	2077748.0	1803.0	28454.0
70 и более	1354265.0	1315496.0	96141.0	362296.0	577306.0	183343.0	53572.0	22779.0	9104.0	10955.0	2538531.0	1930.0	38769.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	9083946.0	8993908.0	505442.0	1938558.0	3861104.0	1633096.0	509644.0	295420.0	119620.0	131024.0	19855623.0	2208.0	90038.0
в том числе в возрасте, лет:													
15 – 17	21551.0	20949.0	12717.0	7855.0	368.0	9.0	-	-	-	-	8618.0	411.0	602.0
18 – 19	95532.0	92968.0	42772.0	46228.0	3725.0	243.0	-	-	-	-	54407.0	585.0	2564.0
20 – 24	617424.0	605801.0	136809.0	357728.0	98443.0	10453.0	1620.0	196.0	228.0	324.0	597069.0	986.0	11623.0
25 – 29	855743.0	845245.0	65294.0	386612.0	321019.0	56349.0	11189.0	2412.0	773.0	1597.0	1271887.0	1505.0	10498.0
30 – 34	909871.0	902184.0	31987.0	243707.0	461223.0	121423.0	29313.0	8787.0	2824.0	2920.0	1731482.0	1919.0	7687.0
35 – 39	1042931.0	1035096.0	25218.0	171150.0	552435.0	200023.0	53382.0	19544.0	6984.0	6360.0	2279285.0	2202.0	7835.0
40 – 44	1246169.0	1236736.0	29317.0	160396.0	631508.0	279366.0	78338.0	32979.0	12770.0	12062.0	2911739.0	2354.0	9433.0
45 – 49	1078851.0	1070437.0	27308.0	137282.0	509949.0	254957.0	71205.0	40663.0	14594.0	14479.0	2613617.0	2442.0	8414.0
50 – 54	849960.0	842769.0	24446.0	118351.0	395943.0	185304.0	52767.0	37363.0	13837.0	14758.0	2067174.0	2453.0	7191.0
55 – 59	421944.0	417781.0	14193.0	60597.0	188887.0	89742.0	26712.0	20397.0	8133.0	9120.0	1040029.0	2489.0	4163.0
60 – 64	729834.0	722834.0	28527.0	95481.0	299842.0	165328.0	55771.0	42472.0	16553.0	18860.0	1881125.0	2602.0	7000.0
65 – 69	543546.0	538188.0	24931.0	67175.0	198263.0	123538.0	51621.0	37781.0	16285.0	18594.0	1480107.0	2750.0	5358.0
70 и более	670590.0	662920.0	41923.0	85996.0	199499.0	146361.0	77726.0	52826.0	26639.0	31950.0	1919084.0	2895.0	7670.0
Центральный федеральный округ													
Белгородская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	374104.0	368173.0	25090.0	119854.0	171966.0	37373.0	7959.0	3397.0	1039.0	1495.0	642887.0	1746.0	5931.0
в том числе в возрасте, лет:													
15 – 17	625.0	601.0	375.0	222.0	4.0	-	-	-	-	-	230.0	383.0	24.0
18 – 19	3583.0	3486.0	1766.0	1661.0	46.0	13.0	-	-	-	-	1792.0	514.0	97.0
20 – 24	25788.0	24997.0	7273.0	15527.0	2026.0	118.0	24.0	-	12.0	17.0	20220.0	809.0	791.0
25 – 29	36001.0	35354.0	3865.0	22082.0	8480.0	684.0	116.0	59.0	8.0	60.0	42409.0	1200.0	647.0
30 – 34	36134.0	35685.0	1597.0	16823.0	14922.0	1809.0	318.0	104.0	28.0	84.0	54790.0	1535.0	449.0
35 – 39	41757.0	41175.0	1217.0	13211.0	22411.0	3375.0	556.0	168.0	94.0	143.0	72914.0	1771.0	582.0
40 – 44	51338.0	50658.0	1378.0	12427.0	30077.0	5185.0	954.0	293.0	118.0	226.0	95840.0	1892.0	680.0
45 – 49	45093.0	44523.0	1237.0	9718.0	26858.0	5346.0	843.0	294.0	110.0	117.0	85901.0	1929.0	570.0
