1. РАЗМЕЩЕНИЕ НАСЕЛЕНИЯ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН									
									
	Городское и сельское население			Городское население			Сельское население		
	мужчины и женщины	мужчины	женщины	мужчины и женщины	мужчины	женщины	мужчины и женщины	мужчины	женщины
									
АБАЗИНЫ 	37942.0	18468.0	19474.0	16283.0	7777.0	8506.0	21659.0	10691.0	10968.0
из них проживают на территории:									
Карачаево-Черкесской Республики	32346.0	15562.0	16784.0	12019.0	5562.0	6457.0	20327.0	10000.0	10327.0
АЛЕУТЫ 	540.0	262.0	278.0	172.0	79.0	93.0	368.0	183.0	185.0
из них проживают на территории:									
Камчатской области	446.0	213.0	233.0	96.0	36.0	60.0	350.0	177.0	173.0
Корякского автономного округа	6.0	3.0	3.0	3.0	1.0	2.0	3.0	2.0	1.0
БЕСЕРМЯНЕ 	3122.0	1545.0	1577.0	766.0	366.0	400.0	2356.0	1179.0	1177.0
из них проживают на территории:									
Удмуртской Республики	2998.0	1482.0	1516.0	665.0	317.0	348.0	2333.0	1165.0	1168.0
ВЕПСЫ 	8240.0	3339.0	4901.0	4624.0	1789.0	2835.0	3616.0	1550.0	2066.0
из них проживают на территории:									
Республики Карелия	4870.0	1963.0	2907.0	3238.0	1249.0	1989.0	1632.0	714.0	918.0
Ленинградской области	2019.0	799.0	1220.0	508.0	186.0	322.0	1511.0	613.0	898.0
ДОЛГАНЫ 	7261.0	3262.0	3999.0	1334.0	471.0	863.0	5927.0	2791.0	3136.0
из них проживают на территории:									
Красноярского края	5805.0	2617.0	3188.0	1038.0	360.0	678.0	4767.0	2257.0	2510.0
Таймырского (Долгано-Ненецкого) автономного округа	5517.0	2504.0	3013.0	786.0	264.0	522.0	4731.0	2240.0	2491.0
Республики Саха (Якутия)	1272.0	570.0	702.0	156.0	59.0	97.0	1116.0	511.0	605.0
ИЖОРЦЫ 	327.0	109.0	218.0	177.0	76.0	101.0	150.0	33.0	117.0
из них проживают на территории:									
Ленинградской области	177.0	44.0	133.0	46.0	17.0	29.0	131.0	27.0	104.0
ИТЕЛЬМЕНЫ 	3180.0	1465.0	1715.0	1194.0	505.0	689.0	1986.0	960.0	1026.0
из них проживают на территории:									
Камчатской области	2296.0	1082.0	1214.0	584.0	257.0	327.0	1712.0	825.0	887.0
Корякского автономного округа	1181.0	569.0	612.0	145.0	63.0	82.0	1036.0	506.0	530.0
Магаданской области	643.0	300.0	343.0	428.0	189.0	239.0	215.0	111.0	104.0
КАМЧАДАЛЫ 	2293.0	1114.0	1179.0	1297.0	601.0	696.0	996.0	513.0	483.0
из них проживают на территории:									
Камчатской области	1881.0	903.0	978.0	1030.0	478.0	552.0	851.0	425.0	426.0
Корякского автономного округа	132.0	64.0	68.0	80.0	39.0	41.0	52.0	25.0	27.0
КЕРЕКИ 	8.0	2.0	6.0	4.0	-	4.0	4.0	2.0	2.0
из них проживают на территории:									
Чукотского автономного округа	3.0	2.0	1.0	-	-	-	3.0	2.0	1.0
КЕТЫ 	1494.0	712.0	782.0	406.0	155.0	251.0	1088.0	557.0	531.0
из них проживают на территории:									
Красноярского края	1189.0	574.0	615.0	199.0	65.0	134.0	990.0	509.0	481.0
КОРЯКИ 	8743.0	4191.0	4552.0	2765.0	1225.0	1540.0	5978.0	2966.0	3012.0
из них проживают на территории:									
Камчатской области	7328.0	3535.0	3793.0	1998.0	883.0	1115.0	5330.0	2652.0	2678.0
Корякского автономного округа	6710.0	3244.0	3466.0	1611.0	696.0	915.0	5099.0	2548.0	2551.0
Магаданской области	888.0	412.0	476.0	346.0	147.0	199.0	542.0	265.0	277.0
Чукотского автономного округа	55.0	28.0	27.0	24.0	12.0	12.0	31.0	16.0	15.0
КУМАНДИНЦЫ 	3114.0	1413.0	1701.0	1704.0	756.0	948.0	1410.0	657.0	753.0
из них проживают на территории:									
Алтайского края	1663.0	742.0	921.0	831.0	361.0	470.0	832.0	381.0	451.0
Республики Алтай	931.0	444.0	487.0	445.0	210.0	235.0	486.0	234.0	252.0
Кемеровской области	294.0	126.0	168.0	246.0	105.0	141.0	48.0	21.0	27.0
МАНСИ 	11432.0	5167.0	6265.0	5919.0	2562.0	3357.0	5513.0	2605.0	2908.0
из них проживают на территории:									
Тюменской области	10561.0	4786.0	5775.0	5357.0	2325.0	3032.0	5204.0	2461.0	2743.0
Ханты-Мансийского автономного округа - Югра	9894.0	4510.0	5384.0	4865.0	2113.0	2752.0	5029.0	2397.0	2632.0
Свердловской области	259.0	130.0	129.0	130.0	58.0	72.0	129.0	72.0	57.0
Республики Коми	11.0	8.0	3.0	10.0	8.0	2.0	1.0	-	1.0
НАГАЙБАКИ 	9600.0	4391.0	5209.0	1889.0	830.0	1059.0	7711.0	3561.0	4150.0
из них проживают на территории:									
Челябинской области	9087.0	4141.0	4946.0	1447.0	614.0	833.0	7640.0	3527.0	4113.0
НАНАЙЦЫ 	12160.0	5636.0	6524.0	3702.0	1619.0	2083.0	8458.0	4017.0	4441.0
из них проживают на территории:									
Хабаровского края	10993.0	5083.0	5910.0	3002.0	1287.0	1715.0	7991.0	3796.0	4195.0
Приморского края	417.0	196.0	221.0	142.0	65.0	77.0	275.0	131.0	144.0
Сахалинской области	159.0	69.0	90.0	134.0	51.0	83.0	25.0	18.0	7.0
НГАНАСАНЫ 	834.0	362.0	472.0	165.0	60.0	105.0	669.0	302.0	367.0
из них проживают на территории:									
Красноярского края	811.0	355.0	456.0	147.0	55.0	92.0	664.0	300.0	364.0
Таймырского (Долгано-Ненецкого) автономного округа	766.0	335.0	431.0	111.0	43.0	68.0	655.0	292.0	363.0
НЕГИДАЛЬЦЫ 	567.0	249.0	318.0	164.0	69.0	95.0	403.0	180.0	223.0
из них проживают на территории:									
Хабаровского края	505.0	222.0	283.0	115.0	45.0	70.0	390.0	177.0	213.0
НЕНЦЫ 	41302.0	19267.0	22035.0	7844.0	3180.0	4664.0	33458.0	16087.0	17371.0
из них проживают на территории:									
Ямало-Ненецкого автономного округа	26435.0	12377.0	14058.0	3616.0	1383.0	2233.0	22819.0	10994.0	11825.0
Архангельской области	8326.0	3877.0	4449.0	1822.0	743.0	1079.0	6504.0	3134.0	3370.0
Ненецкого автономного округа	7754.0	3657.0	4097.0	1582.0	659.0	923.0	6172.0	2998.0	3174.0
Таймырского (Долгано-Ненецкого) автономного округа	3054.0	1400.0	1654.0	390.0	128.0	262.0	2664.0	1272.0	1392.0
Ханты-Мансийского автономного округа - Югра	1290.0	600.0	690.0	329.0	132.0	197.0	961.0	468.0	493.0
Республики Коми	708.0	321.0	387.0	624.0	288.0	336.0	84.0	33.0	51.0
НИВХИ 	5162.0	2379.0	2783.0	2483.0	1107.0	1376.0	2679.0	1272.0	1407.0
из них проживают на территории:									
Хабаровского края	2452.0	1140.0	1312.0	969.0	426.0	543.0	1483.0	714.0	769.0
Сахалинской области	2450.0	1122.0	1328.0	1322.0	594.0	728.0	1128.0	528.0	600.0
ОРОЧИ 	686.0	322.0	364.0	338.0	151.0	187.0	348.0	171.0	177.0
из них проживают на территории:									
Хабаровского края	426.0	199.0	227.0	150.0	70.0	80.0	276.0	129.0	147.0
СААМЫ 	1991.0	882.0	1109.0	853.0	332.0	521.0	1138.0	550.0	588.0
из них проживают на территории:									
