2. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН И ВЛАДЕНИЮ ЯЗЫКАМИ					
					
	Всего	в том числе указали владение языком			Не указали владение языком
		своего народа	русским	другими	
АБАЗИНЫ					
Карачаево-Черкесская Республика					
Городское и сельское население	32346.0	30610.0	30975.0	9744.0	178.0
Городское население	12019.0	10728.0	11792.0	3987.0	82.0
Сельское население	20327.0	19882.0	19183.0	5757.0	96.0
АЛЕУТЫ					
Камчатская область					
Городское и сельское население	446.0	33.0	445.0	19.0	1.0
Городское население	96.0	8.0	96.0	13.0	-
Сельское население	350.0	25.0	349.0	6.0	1.0
Корякский автономный округ					
Городское и сельское население	6.0	-	6.0	-	-
Городское население	3.0	-	3.0	-	-
Сельское население	3.0	-	3.0	-	-
БЕСЕРМЯНЕ					
Удмуртская Республика					
Городское и сельское население	2998.0	2573.0	2914.0	442.0	16.0
Городское население	665.0	418.0	663.0	140.0	-
Сельское население	2333.0	2155.0	2251.0	302.0	16.0
ВЕПСЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	6889.0	3262.0	6885.0	660.0	2.0
Городское население	3746.0	1307.0	3745.0	537.0	1.0
Сельское население	3143.0	1955.0	3140.0	123.0	1.0
Республика Карелия					
Городское и сельское население	4870.0	1849.0	4869.0	593.0	1.0
Городское население	3238.0	1051.0	3237.0	502.0	1.0
Сельское население	1632.0	798.0	1632.0	91.0	-
Ленинградская область					
Городское и сельское население	2019.0	1413.0	2016.0	67.0	1.0
Городское население	508.0	256.0	508.0	35.0	-
Сельское население	1511.0	1157.0	1508.0	32.0	1.0
ДОЛГАНЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	7077.0	4538.0	6574.0	1386.0	103.0
Городское население	1194.0	571.0	1182.0	201.0	5.0
Сельское население	5883.0	3967.0	5392.0	1185.0	98.0
Красноярский край					
Городское и сельское население	5805.0	4497.0	5550.0	162.0	87.0
Городское население	1038.0	552.0	1033.0	75.0	3.0
Сельское население	4767.0	3945.0	4517.0	87.0	84.0
Таймырский (Долгано-Ненецкий) автономный округ					
Городское и сельское население	5517.0	4347.0	5265.0	123.0	85.0
Городское население	786.0	416.0	782.0	44.0	2.0
Сельское население	4731.0	3931.0	4483.0	79.0	83.0
Республика Саха (Якутия)					
Городское и сельское население	1272.0	41.0	1024.0	1224.0	16.0
Городское население	156.0	19.0	149.0	126.0	2.0
Сельское население	1116.0	22.0	875.0	1098.0	14.0
ИЖОРЦЫ					
Ленинградская область					
Городское и сельское население	177.0	94.0	175.0	30.0	1.0
Городское население	46.0	12.0	45.0	5.0	1.0
Сельское население	131.0	82.0	130.0	25.0	-
ИТЕЛЬМЕНЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	2939.0	105.0	2934.0	133.0	5.0
Городское население	1012.0	42.0	1009.0	98.0	3.0
Сельское население	1927.0	63.0	1925.0	35.0	2.0
Камчатская область					
Городское и сельское население	2296.0	100.0	2294.0	98.0	2.0
Городское население	584.0	38.0	584.0	64.0	-
Сельское население	1712.0	62.0	1710.0	34.0	2.0
Корякский автономный округ					
Городское и сельское население	1181.0	63.0	1179.0	33.0	2.0
Городское население	145.0	14.0	145.0	15.0	-
