6. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И УРОВНЮ ОБРАЗОВАНИЯ												
												
	Численность населения соответству-ющей националь-ности	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Городское и сельское население КМН в возрасте 15 лет и более												
Абазины	25352.0	71.0	3479.0	1002.0	6221.0	2438.0	6260.0	3330.0	2222.0	319.0	257.0	10.0
в том числе в возрасте, лет:												
15 – 19	3345.0	-	-	196.0	245.0	97.0	1193.0	1499.0	108.0	5.0	3.0	2.0
20 – 24	2525.0	6.0	417.0	459.0	634.0	223.0	681.0	92.0	8.0	3.0	3.0	2.0
25 – 29	2231.0	5.0	534.0	102.0	680.0	267.0	534.0	90.0	15.0	3.0	3.0	1.0
30 – 39	4746.0	19.0	824.0	120.0	1563.0	678.0	1335.0	163.0	34.0	7.0	6.0	3.0
40 – 49	5260.0	24.0	844.0	74.0	1856.0	679.0	1463.0	276.0	37.0	6.0	6.0	1.0
50 – 59	2294.0	6.0	437.0	31.0	701.0	252.0	524.0	250.0	87.0	5.0	5.0	1.0
60 и более	4951.0	11.0	423.0	20.0	542.0	242.0	530.0	960.0	1933.0	290.0	231.0	-
Возраст не указан	6.0	-	-	-	-	-	-	-	-	-	-	6.0
Алеуты	348.0	-	25.0	9.0	47.0	63.0	68.0	113.0	21.0	1.0	-	1.0
в том числе в возрасте, лет:												
15 – 19	41.0	-	-	-	1.0	1.0	7.0	27.0	4.0	-	-	1.0
20 – 24	38.0	-	-	3.0	4.0	8.0	12.0	9.0	2.0	-	-	-
25 – 29	48.0	-	3.0	1.0	7.0	2.0	13.0	18.0	4.0	-	-	-
30 – 39	59.0	-	8.0	4.0	12.0	17.0	9.0	9.0	-	-	-	-
40 – 49	69.0	-	6.0	-	10.0	21.0	9.0	21.0	2.0	-	-	-
50 – 59	61.0	-	7.0	-	9.0	12.0	13.0	18.0	2.0	-	-	-
60 и более	32.0	-	1.0	1.0	4.0	2.0	5.0	11.0	7.0	1.0	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Бесермяне	2532.0	4.0	173.0	43.0	487.0	401.0	521.0	433.0	380.0	90.0	54.0	-
в том числе в возрасте, лет:												
15 – 19	195.0	-	-	2.0	6.0	10.0	47.0	109.0	19.0	2.0	1.0	-
20 – 24	144.0	-	11.0	14.0	42.0	17.0	35.0	21.0	3.0	1.0	-	-
25 – 29	155.0	-	14.0	6.0	39.0	24.0	44.0	18.0	7.0	3.0	3.0	-
30 – 39	479.0	2.0	40.0	6.0	127.0	103.0	165.0	31.0	2.0	3.0	3.0	-
40 – 49	571.0	-	52.0	3.0	154.0	143.0	152.0	60.0	5.0	2.0	2.0	-
