7. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО УРОВНЮ ОБРАЗОВАНИЯ 												
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО  ПРОЖИВАНИЯ КМН												
												
	Численность населения соответству-ющей националь-ности в возрасте 15 лет и более	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
АБАЗИНЫ												
Карачаево-Черкесская Республика												
Городское и сельское население	25352.0	71.0	3479.0	1002.0	6221.0	2438.0	6260.0	3330.0	2222.0	319.0	257.0	10.0
Городское население	9344.0	35.0	1938.0	452.0	2750.0	789.0	2057.0	1002.0	278.0	33.0	22.0	10.0
Сельское население	16008.0	36.0	1541.0	550.0	3471.0	1649.0	4203.0	2328.0	1944.0	286.0	235.0	-
АЛЕУТЫ												
Камчатская область												
Городское и сельское население	348.0	-	25.0	9.0	47.0	63.0	68.0	113.0	21.0	1.0	-	1.0
Городское население	83.0	-	11.0	3.0	18.0	15.0	15.0	19.0	2.0	-	-	-
Сельское население	265.0	-	14.0	6.0	29.0	48.0	53.0	94.0	19.0	1.0	-	1.0
БЕСЕРМЯНЕ												
Удмуртская Республика												
Городское и сельское население	2532.0	4.0	173.0	43.0	487.0	401.0	521.0	433.0	380.0	90.0	54.0	-
Городское население	618.0	4.0	82.0	30.0	176.0	94.0	138.0	60.0	28.0	6.0	3.0	-
Сельское население	1914.0	-	91.0	13.0	311.0	307.0	383.0	373.0	352.0	84.0	51.0	-
ВЕПСЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	6420.0	8.0	625.0	130.0	1532.0	1068.0	717.0	1012.0	1215.0	112.0	71.0	1.0
Городское население	3487.0	8.0	499.0	106.0	1031.0	499.0	407.0	486.0	413.0	37.0	15.0	1.0
Сельское население	2933.0	-	126.0	24.0	501.0	569.0	310.0	526.0	802.0	75.0	56.0	-
Республика Карелия												
Городское и сельское население	4466.0	8.0	535.0	116.0	1153.0	809.0	533.0	689.0	581.0	42.0	22.0	-
Городское население	2991.0	8.0	456.0	100.0	890.0	436.0	355.0	425.0	296.0	25.0	9.0	-
Сельское население	1475.0	-	79.0	16.0	263.0	373.0	178.0	264.0	285.0	17.0	13.0	-
Ленинградская область												
Городское и сельское население	1954.0	-	90.0	14.0	379.0	259.0	184.0	323.0	634.0	70.0	49.0	1.0
Городское население	496.0	-	43.0	6.0	141.0	63.0	52.0	61.0	117.0	12.0	6.0	1.0
Сельское население	1458.0	-	47.0	8.0	238.0	196.0	132.0	262.0	517.0	58.0	43.0	-
ДОЛГАНЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	4728.0	5.0	252.0	74.0	872.0	453.0	1252.0	1172.0	560.0	86.0	68.0	2.0
