8. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
	Численность населения соответству-ющей националь-ности	Всего указали источников средств к существова-нию
	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали
			
			доход от трудовой деятель-ности (кроме работы в личном подсобном хозяйстве)
	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государст-венного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию					
																один источник средств к существова-нию	два источника
	три источника
	четыре источника и более
Городское и сельское население																			
Абазины	32346.0	43362.0	8159.0	3236.0	1109.0	5349.0	1492.0	7830.0	217.0	72.0	67.0	37.0	14431.0	1363.0	14.0	21478.0	10678.0	176.0	-
в том числе в возрасте, лет:																			
до 15	6988.0	12988.0	-	-	1.0	23.0	59.0	6127.0	-	19.0	-	16.0	6739.0	4.0	-	1034.0	5908.0	46.0	-
15 – 19	3345.0	5359.0	126.0	73.0	764.0	18.0	50.0	1199.0	17.0	3.0	-	3.0	2998.0	108.0	2.0	1368.0	1934.0	41.0	-
20 – 29	4756.0	5709.0	1817.0	551.0	338.0	9.0	114.0	302.0	60.0	11.0	10.0	2.0	2191.0	304.0	3.0	3829.0	892.0	32.0	-
30 – 49	10006.0	11127.0	4977.0	1866.0	6.0	114.0	723.0	196.0	119.0	29.0	43.0	12.0	2221.0	821.0	4.0	8906.0	1067.0	29.0	-
50 – 54	1536.0	1708.0	746.0	259.0	-	133.0	253.0	4.0	18.0	5.0	10.0	-	199.0	81.0	1.0	1367.0	163.0	5.0	-
55 – 59	758.0	885.0	231.0	105.0	-	366.0	115.0	1.0	3.0	2.0	2.0	-	43.0	17.0	-	635.0	119.0	4.0	-
60 – 64	1611.0	1908.0	187.0	150.0	-	1457.0	83.0	-	-	-	-	3.0	18.0	10.0	-	1325.0	275.0	11.0	-
65 и более	3340.0	3676.0	75.0	232.0	-	3229.0	95.0	1.0	-	3.0	2.0	1.0	21.0	17.0	-	3012.0	320.0	8.0	-
возраст не указан	6.0	2.0	-	-	-	-	-	-	-	-	-	-	1.0	1.0	4.0	2.0	-	-	-
