10. ЗАНЯТОЕ НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ В ВОЗРАСТЕ 15 ЛЕТ И БОЛЕЕ ПО ПОЛОЖЕНИЮ В ЗАНЯТИИ								
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН								
								
	Всего		в том числе по положению в занятии					
		работающие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
АБАЗИНЫ								
Карачаево-Черкесская Республика								
Городское и сельское население	8136.0	7447.0	689.0	175.0	408.0	32.0	74.0	-
Городское население	4164.0	3772.0	392.0	105.0	232.0	22.0	33.0	-
Сельское население	3972.0	3675.0	297.0	70.0	176.0	10.0	41.0	-
АЛЕУТЫ								
Камчатская область								
Городское и сельское население	188.0	186.0	2.0	1.0	-	1.0	-	-
Городское население	38.0	37.0	1.0	1.0	-	-	-	-
Сельское население	150.0	149.0	1.0	-	-	1.0	-	-
БЕСЕРМЯНЕ								
Удмуртская Республика								
Городское и сельское население	1406.0	1390.0	16.0	2.0	14.0	-	-	-
Городское население	389.0	380.0	9.0	1.0	8.0	-	-	-
Сельское население	1017.0	1010.0	7.0	1.0	6.0	-	-	-
ВЕПСЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	2644.0	2552.0	92.0	37.0	49.0	4.0	2.0	-
Городское население	1703.0	1631.0	72.0	30.0	38.0	3.0	1.0	-
Сельское население	941.0	921.0	20.0	7.0	11.0	1.0	1.0	-
Республика Карелия								
Городское и сельское население	2046.0	1968.0	78.0	34.0	39.0	4.0	1.0	-
Городское население	1496.0	1430.0	66.0	28.0	34.0	3.0	1.0	-
Сельское население	550.0	538.0	12.0	6.0	5.0	1.0	-	-
Ленинградская область								
Городское и сельское население	598.0	584.0	14.0	3.0	10.0	-	1.0	-
Городское население	207.0	201.0	6.0	2.0	4.0	-	-	-
Сельское население	391.0	383.0	8.0	1.0	6.0	-	1.0	-
ДОЛГАНЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	2682.0	2642.0	40.0	10.0	27.0	3.0	-	-
Городское население	408.0	396.0	12.0	3.0	8.0	1.0	-	-
Сельское население	2274.0	2246.0	28.0	7.0	19.0	2.0	-	-
Красноярский край								
Городское и сельское население	2292.0	2260.0	32.0	9.0	20.0	3.0	-	-
Городское население	362.0	353.0	9.0	2.0	6.0	1.0	-	-
Сельское население	1930.0	1907.0	23.0	7.0	14.0	2.0	-	-
Таймырский (Долгано-Ненецкий) автономный округ								
Городское и сельское население	2175.0	2146.0	29.0	8.0	18.0	3.0	-	-
Городское население	256.0	250.0	6.0	1.0	4.0	1.0	-	-
Сельское население	1919.0	1896.0	23.0	7.0	14.0	2.0	-	-
Республика Саха (Якутия)								
Городское и сельское население	390.0	382.0	8.0	1.0	7.0	-	-	-
Городское население	46.0	43.0	3.0	1.0	2.0	-	-	-
Сельское население	344.0	339.0	5.0	-	5.0	-	-	-
ИЖОРЦЫ								
Ленинградская область								
Городское и сельское население	43.0	42.0	1.0	1.0	-	-	-	-
Городское население	15.0	14.0	1.0	1.0	-	-	-	-
Сельское население	28.0	28.0	-	-	-	-	-	-
ИТЕЛЬМЕНЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	1003.0	948.0	55.0	16.0	21.0	16.0	2.0	-
Городское население	394.0	372.0	22.0	9.0	10.0	3.0	-	-
Сельское население	609.0	576.0	33.0	7.0	11.0	13.0	2.0	-
Камчатская область								
Городское и сельское население	810.0	768.0	42.0	12.0	13.0	16.0	1.0	-
Городское население	242.0	230.0	12.0	5.0	4.0	3.0	-	-
Сельское население	568.0	538.0	30.0	7.0	9.0	13.0	1.0	-
Корякский автономный округ								
Городское и сельское население	409.0	386.0	23.0	4.0	6.0	13.0	-	-
Городское население	60.0	58.0	2.0	1.0	-	1.0	-	-
Сельское население	349.0	328.0	21.0	3.0	6.0	12.0	-	-
Магаданская область								
Городское и сельское население	193.0	180.0	13.0	4.0	8.0	-	1.0	-
Городское население	152.0	142.0	10.0	4.0	6.0	-	-	-
