14. ЖЕНЩИНЫ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА ПО ВОЗРАСТНЫМ												
ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС												
												
	Всего	из них									Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин, указавших число рожденных детей)
		женщины, не родившие ни 
одного ребенка
	женщины, родившие							женщины, не указавшие число рожденных детей		
			1
ребенка
	2
детей
	3
детей
	4
детей
	5
детей
	6
детей
	7 и более
детей
			
												
АЛЕУТЫ												
Камчатская область												
Женщины в возрасте 15 лет и более	117.0	31.0	31.0	29.0	17.0	4.0	2.0	2.0	-	1.0	178.0	1534.0
в том числе в возрасте, лет:												
15 – 17	11.0	10.0	-	-	-	-	-	-	-	1.0	-	0.0
18 – 19	5.0	5.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	24.0	8.0	13.0	1.0	2.0	-	-	-	-	-	21.0	875.0
30 – 39	18.0	-	6.0	8.0	-	3.0	1.0	-	-	-	39.0	2167.0
40 – 49	22.0	4.0	3.0	9.0	4.0	1.0	1.0	-	-	-	42.0	1909.0
50 – 59	26.0	3.0	7.0	7.0	8.0	-	-	1.0	-	-	51.0	1962.0
60 – 69	8.0	1.0	2.0	3.0	2.0	-	-	-	-	-	14.0	1750.0
70 и более	3.0	-	-	1.0	1.0	-	-	1.0	-	-	11.0	3667.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ДОЛГАНЫ												
Территории преимущественного проживания КМНС 												
Женщины в возрасте 15 лет и более	2450.0	645.0	480.0	518.0	352.0	190.0	104.0	70.0	85.0	6.0	4982.0	2038.0
в том числе в возрасте, лет:												
15 – 17	274.0	258.0	16.0	-	-	-	-	-	-	-	16.0	58.0
18 – 19	106.0	82.0	22.0	2.0	-	-	-	-	-	-	26.0	245.0
20 – 29	528.0	165.0	192.0	125.0	34.0	6.0	2.0	-	-	4.0	578.0	1103.0
30 – 39	580.0	59.0	116.0	185.0	145.0	47.0	15.0	7.0	4.0	2.0	1255.0	2171.0
40 – 49	463.0	38.0	60.0	99.0	103.0	75.0	40.0	25.0	23.0	-	1394.0	3011.0
50 – 59	238.0	17.0	36.0	56.0	44.0	31.0	19.0	18.0	17.0	-	745.0	3130.0
60 – 69	190.0	19.0	26.0	42.0	19.0	24.0	21.0	15.0	24.0	-	670.0	3526.0
70 и более	71.0	7.0	12.0	9.0	7.0	7.0	7.0	5.0	17.0	-	298.0	4197.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Красноярский край												
Женщины в возрасте 15 лет и более	2109.0	547.0	416.0	453.0	305.0	171.0	89.0	61.0	61.0	6.0	4246.0	2019.0
в том числе в возрасте, лет:												
15 – 17	241.0	228.0	13.0	-	-	-	-	-	-	-	13.0	54.0
18 – 19	94.0	72.0	20.0	2.0	-	-	-	-	-	-	24.0	255.0
20 – 29	431.0	136.0	162.0	98.0	25.0	4.0	2.0	-	-	4.0	459.0	1075.0
30 – 39	495.0	48.0	100.0	164.0	124.0	39.0	11.0	5.0	2.0	2.0	1055.0	2140.0
40 – 49	410.0	28.0	55.0	94.0	93.0	68.0	35.0	21.0	16.0	-	1220.0	2976.0
50 – 59	204.0	14.0	30.0	50.0	40.0	30.0	14.0	16.0	10.0	-	618.0	3029.0
60 – 69	171.0	16.0	25.0	37.0	16.0	24.0	20.0	14.0	19.0	-	589.0	3444.0
70 и более	63.0	5.0	11.0	8.0	7.0	6.0	7.0	5.0	14.0	-	268.0	4254.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Таймырский (Долгано-Ненецкий) автономный округ												
Женщины в возрасте 15 лет и более	2086.0	543.0	410.0	445.0	302.0	170.0	89.0	61.0	61.0	5.0	4211.0	2024.0
в том числе в возрасте, лет:												
15 – 17	239.0	226.0	13.0	-	-	-	-	-	-	-	13.0	54.0
18 – 19	94.0	72.0	20.0	2.0	-	-	-	-	-	-	24.0	255.0
20 – 29	421.0	134.0	159.0	93.0	25.0	4.0	2.0	-	-	4.0	446.0	1070.0
30 – 39	489.0	48.0	98.0	163.0	122.0	39.0	11.0	5.0	2.0	1.0	1045.0	2141.0
40 – 49	406.0	28.0	54.0	93.0	92.0	67.0	35.0	21.0	16.0	-	1210.0	2980.0
50 – 59	203.0	14.0	30.0	49.0	40.0	30.0	14.0	16.0	10.0	-	616.0	3034.0
60 – 69	171.0	16.0	25.0	37.0	16.0	24.0	20.0	14.0	19.0	-	589.0	3444.0
70 и более	63.0	5.0	11.0	8.0	7.0	6.0	7.0	5.0	14.0	-	268.0	4254.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Республика Саха (Якутия)												
Женщины в возрасте 15 лет и более	341.0	98.0	64.0	65.0	47.0	19.0	15.0	9.0	24.0	-	736.0	2158.0
в том числе в возрасте, лет:												
15 – 17	33.0	30.0	3.0	-	-	-	-	-	-	-	3.0	91.0
18 – 19	12.0	10.0	2.0	-	-	-	-	-	-	-	2.0	167.0
20 – 29	97.0	29.0	30.0	27.0	9.0	2.0	-	-	-	-	119.0	1227.0
30 – 39	85.0	11.0	16.0	21.0	21.0	8.0	4.0	2.0	2.0	-	200.0	2353.0
40 – 49	53.0	10.0	5.0	5.0	10.0	7.0	5.0	4.0	7.0	-	174.0	3283.0
50 – 59	34.0	3.0	6.0	6.0	4.0	1.0	5.0	2.0	7.0	-	127.0	3735.0
60 – 69	19.0	3.0	1.0	5.0	3.0	-	1.0	1.0	5.0	-	81.0	4263.0
70 и более	8.0	2.0	1.0	1.0	-	1.0	-	-	3.0	-	30.0	3750.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ИТЕЛЬМЕНЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	613.0	127.0	143.0	160.0	96.0	43.0	22.0	8.0	11.0	3.0	1172.0	1921.0
в том числе в возрасте, лет:												
15 – 17	51.0	48.0	3.0	-	-	-	-	-	-	-	3.0	59.0
18 – 19	28.0	20.0	7.0	-	-	-	-	-	-	1.0	7.0	259.0
20 – 29	121.0	38.0	50.0	26.0	6.0	1.0	-	-	-	-	124.0	1025.0
30 – 39	120.0	8.0	36.0	47.0	20.0	7.0	-	-	2.0	-	236.0	1967.0
40 – 49	128.0	6.0	21.0	46.0	34.0	13.0	3.0	3.0	1.0	1.0	309.0	2433.0
50 – 59	80.0	3.0	14.0	23.0	16.0	10.0	9.0	2.0	2.0	1.0	224.0	2835.0
60 – 69	61.0	3.0	11.0	14.0	14.0	11.0	4.0	3.0	1.0	-	170.0	2787.0
70 и более	24.0	1.0	1.0	4.0	6.0	1.0	6.0	-	5.0	-	99.0	4125.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Камчатская область												
Женщины в возрасте 15 лет и более	472.0	97.0	112.0	119.0	77.0	31.0	17.0	6.0	10.0	3.0	910.0	1940.0
в том числе в возрасте, лет:												
15 – 17	39.0	36.0	3.0	-	-	-	-	-	-	-	3.0	77.0
18 – 19	24.0	16.0	7.0	-	-	-	-	-	-	1.0	7.0	304.0
20 – 29	90.0	26.0	37.0	21.0	5.0	1.0	-	-	-	-	98.0	1089.0
30 – 39	92.0	7.0	28.0	34.0	17.0	4.0	-	-	2.0	-	181.0	1967.0
40 – 49	104.0	6.0	17.0	36.0	28.0	10.0	3.0	2.0	1.0	1.0	249.0	2417.0
50 – 59	58.0	3.0	13.0	13.0	12.0	5.0	7.0	2.0	2.0	1.0	161.0	2825.0
60 – 69	46.0	2.0	6.0	11.0	12.0	10.0	3.0	2.0	-	-	131.0	2848.0
70 и более	19.0	1.0	1.0	4.0	3.0	1.0	4.0	-	5.0	-	80.0	4211.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Корякский автономный округ												
Женщины в возрасте 15 лет и более	451.0	97.0	108.0	111.0	72.0	28.0	17.0	6.0	9.0	3.0	854.0	1906.0
в том числе в возрасте, лет:												
15 – 17	39.0	36.0	3.0	-	-	-	-	-	-	-	3.0	77.0
18 – 19	23.0	16.0	6.0	-	-	-	-	-	-	1.0	6.0	273.0
20 – 29	86.0	26.0	35.0	19.0	5.0	1.0	-	-	-	-	92.0	1070.0
30 – 39	89.0	7.0	28.0	32.0	16.0	4.0	-	-	2.0	-	174.0	1955.0
40 – 49	96.0	6.0	16.0	33.0	26.0	8.0	3.0	2.0	1.0	1.0	228.0	2400.0
50 – 59	56.0	3.0	13.0	12.0	11.0	5.0	7.0	2.0	2.0	1.0	156.0	2836.0
60 – 69	45.0	2.0	6.0	11.0	12.0	9.0	3.0	2.0	-	-	127.0	2822.0
70 и более	17.0	1.0	1.0	4.0	2.0	1.0	4.0	-	4.0	-	68.0	4000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Магаданская область												
Женщины в возрасте 15 лет и более	141.0	30.0	31.0	41.0	19.0	12.0	5.0	2.0	1.0	-	262.0	1858.0
в том числе в возрасте, лет:												
15 – 17	12.0	12.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	4.0	4.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	31.0	12.0	13.0	5.0	1.0	-	-	-	-	-	26.0	839.0
30 – 39	28.0	1.0	8.0	13.0	3.0	3.0	-	-	-	-	55.0	1964.0
40 – 49	24.0	-	4.0	10.0	6.0	3.0	-	1.0	-	-	60.0	2500.0
50 – 59	22.0	-	1.0	10.0	4.0	5.0	2.0	-	-	-	63.0	2864.0
60 – 69	15.0	1.0	5.0	3.0	2.0	1.0	1.0	1.0	1.0	-	39.0	2600.0
70 и более	5.0	-	-	-	3.0	-	2.0	-	-	-	19.0	3800.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
КЕТЫ												
Красноярский край												
Женщины в возрасте 15 лет и более	338.0	53.0	38.0	57.0	35.0	32.0	4.0	9.0	12.0	98.0	553.0	2304.0
в том числе в возрасте, лет:												
15 – 17	32.0	22.0	-	-	-	-	-	-	-	10.0	-	0.0
18 – 19	22.0	10.0	4.0	-	-	-	-	-	-	8.0	4.0	286.0
20 – 29	58.0	7.0	14.0	16.0	5.0	2.0	-	-	-	14.0	69.0	1568.0
30 – 39	84.0	7.0	10.0	20.0	9.0	5.0	1.0	6.0	2.0	24.0	154.0	2567.0
40 – 49	80.0	6.0	7.0	14.0	13.0	16.0	1.0	2.0	4.0	17.0	185.0	2937.0
50 – 59	28.0	1.0	2.0	2.0	6.0	5.0	-	-	2.0	10.0	58.0	3222.0
60 – 69	19.0	-	1.0	2.0	1.0	2.0	1.0	1.0	2.0	9.0	45.0	4500.0
70 и более	15.0	-	-	3.0	1.0	2.0	1.0	-	2.0	6.0	38.0	4222.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
КОРЯКИ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	2805.0	640.0	672.0	613.0	440.0	186.0	101.0	47.0	80.0	26.0	5428.0	1953.0
в том числе в возрасте, лет:												
15 – 17	300.0	278.0	14.0	-	-	-	-	-	-	8.0	14.0	48.0
18 – 19	151.0	97.0	43.0	5.0	-	-	-	-	-	6.0	53.0	366.0
20 – 29	581.0	150.0	233.0	127.0	56.0	8.0	1.0	-	2.0	4.0	708.0	1227.0
30 – 39	682.0	49.0	178.0	223.0	142.0	54.0	21.0	5.0	4.0	6.0	1432.0	2118.0
40 – 49	607.0	35.0	133.0	169.0	151.0	72.0	26.0	12.0	7.0	2.0	1469.0	2428.0
50 – 59	239.0	15.0	45.0	59.0	52.0	23.0	21.0	9.0	15.0	-	691.0	2891.0
60 – 69	160.0	7.0	12.0	19.0	30.0	21.0	22.0	13.0	36.0	-	721.0	4506.0
70 и более	85.0	9.0	14.0	11.0	9.0	8.0	10.0	8.0	16.0	-	340.0	4000.0
Женщины, не указавшие возраст	2.0	-	-	-	1.0	-	-	-	-	1.0	3.0	3000.0
Камчатская область												
Женщины в возрасте 15 лет и более	2488.0	564.0	610.0	565.0	383.0	161.0	79.0	41.0	68.0	17.0	4752.0	1923.0
в том числе в возрасте, лет:												
15 – 17	250.0	237.0	9.0	-	-	-	-	-	-	4.0	9.0	37.0
