1.      ЧИСЛЕННОСТЬ И РАЗМЕЩЕНИЕ НАСЕЛЕНИЯ, ВОЗРАСТНО-ПОЛОВОЙ СОСТАВ						
1.1. ИЗМЕНЕНИЕ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ РОССИИ 						
						
Годы		Городское и сельское население, тыс. человек	в том числе		В общей численности населения, процентов	
						
			городское население	сельское население	городское население	сельское население
1897.0	по переписи на 9 февраля в современных границах	67473.0	9894.0	57579.0	15.0	85.0
1926.0	по переписи на 17 декабря в границах до 17 сентября 1939 г.	92735.0	16455.0	76280.0	18.0	82.0
1937.0	оценка по предварительным итогам переписи на 6 января в границах 1937 г. без Крымской АССР	104932.0	34923.0	70009.0	33.0	67.0
1939.0	оценка с учетом территорий, вошедших в состав СССР после 17 сентября 1939 г.	108377.0	36296.0	72081.0	33.0	67.0
1959.0	по переписи на 15 января	117240.0	61143.0	56097.0	52.0	48.0
1970.0	по переписи на 15 января	129941.0	80631.0	49310.0	62.0	38.0
1979.0	по переписи на 17 января	137410.0	94942.0	42468.0	69.0	31.0
1989.0	по переписи на 12 января	147022.0	107959.0	39063.0	73.0	27.0
2002.0	по переписи на 9 октября	145167.0	106429.0	38738.0	73.0	27.0
						
Примечание: 1897-1939 - наличное население, 1959-2002 - постоянное население.						
