1.2. ЧИСЛЕННОСТЬ ГОРОДСКОГО И СЕЛЬСКОГО НАСЕЛЕНИЯ, МУЖЧИН И ЖЕНЩИН						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов		Женщин на 1000 мужчин
				мужчины	женщины	
Российская Федерация						
Городское и сельское население						
1989.0	147021869.0	68713869.0	78308000.0	46.7	53.3	1140.0
2002.0	145166731.0	67605133.0	77561598.0	46.6	53.4	1147.0
Городское население						
1989.0	107959002.0	50332668.0	57626334.0	46.6	53.4	1145.0
2002.0	106429049.0	49149510.0	57279539.0	46.2	53.8	1165.0
Сельское население						
1989.0	39062867.0	18381201.0	20681666.0	47.1	52.9	1125.0
2002.0	38737682.0	18455623.0	20282059.0	47.6	52.4	1099.0
Центральный федеральный округ						
Городское и сельское население						
1989.0	37939772.0	17212630.0	20727142.0	45.4	54.6	1204.0
2002.0	38000651.0	17547582.0	20453069.0	46.2	53.8	1166.0
Городское население						
1989.0	29536677.0	13438802.0	16097875.0	45.5	54.5	1198.0
2002.0	30366977.0	14019994.0	16346983.0	46.2	53.8	1166.0
Сельское население						
1989.0	8403095.0	3773828.0	4629267.0	44.9	55.1	1227.0
2002.0	7633674.0	3527588.0	4106086.0	46.2	53.8	1164.0
Белгородская область						
Городское и сельское население						
1989.0	1378287.0	625815.0	752472.0	45.4	54.6	1202.0
2002.0	1511620.0	693509.0	818111.0	45.9	54.1	1180.0
Городское население						
1989.0	865300.0	402247.0	463053.0	46.5	53.5	1151.0
2002.0	985584.0	453070.0	532514.0	46.0	54.0	1175.0
Сельское население						
1989.0	512987.0	223568.0	289419.0	43.6	56.4	1295.0
2002.0	526036.0	240439.0	285597.0	45.7	54.3	1188.0
Брянская область						
Городское и сельское население						
1989.0	1470129.0	671367.0	798762.0	45.7	54.3	1190.0
2002.0	1378941.0	629601.0	749340.0	45.7	54.3	1190.0
Городское население						
1989.0	984996.0	456618.0	528378.0	46.4	53.6	1157.0
2002.0	943382.0	428935.0	514447.0	45.5	54.5	1199.0
Сельское население						
1989.0	485133.0	214749.0	270384.0	44.3	55.7	1259.0
2002.0	435559.0	200666.0	234893.0	46.1	53.9	1171.0
Владимирская область						
Городское и сельское население						
1989.0	1648761.0	749184.0	899577.0	45.4	54.6	1201.0
2002.0	1523990.0	690012.0	833978.0	45.3	54.7	1209.0
Городское население						
1989.0	1302350.0	594773.0	707577.0	45.7	54.3	1190.0
2002.0	1213865.0	548505.0	665360.0	45.2	54.8	1213.0
Сельское население						
1989.0	346411.0	154411.0	192000.0	44.6	55.4	1243.0
2002.0	310125.0	141507.0	168618.0	45.6	54.4	1192.0
Воронежская область						
Городское и сельское население						
1989.0	2466661.0	1122221.0	1344440.0	45.5	54.5	1198.0
2002.0	2378803.0	1088543.0	1290260.0	45.8	54.2	1185.0
Городское население						
1989.0	1495475.0	689373.0	806102.0	46.1	53.9	1169.0
2002.0	1471799.0	670318.0	801481.0	45.5	54.5	1196.0
Сельское население						
1989.0	971186.0	432848.0	538338.0	44.6	55.4	1244.0
2002.0	907004.0	418225.0	488779.0	46.1	53.9	1169.0
Ивановская область						
Городское и сельское население						
1989.0	1313627.0	588837.0	724790.0	44.8	55.2	1232.0
2002.0	1148329.0	515004.0	633325.0	44.8	55.2	1230.0
Городское население						
1989.0	1070989.0	477331.0	593658.0	44.6	55.4	1244.0
2002.0	949249.0	421678.0	527571.0	44.4	55.6	1251.0
