1.3. УДЕЛЬНЫЙ ВЕС ГОРОДСКОГО И СЕЛЬСКОГО НАСЕЛЕНИЯ				
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ				
				
	Городское население		Сельское население	
	1989.0	2002.0	1989.0	2002.0
Российская Федерация	73.4	73.3	26.6	26.7
Центральный федеральный округ	77.9	79.9	22.1	20.1
Белгородская область	62.8	65.2	37.2	34.8
Брянская область	67.0	68.4	33.0	31.6
Владимирская область	79.0	79.7	21.0	20.3
Воронежская область	60.6	61.9	39.4	38.1
Ивановская область	81.5	82.7	18.5	17.3
Калужская область	68.7	74.8	31.3	25.2
Костромская область	68.6	67.4	31.4	32.6
Курская область	57.6	61.2	42.4	38.8
Липецкая область	62.2	64.3	37.8	35.7
Московская область	79.7	79.3	20.3	20.7
Орловская область	61.9	63.5	38.1	36.5
Рязанская область	65.0	68.9	35.0	31.1
Смоленская область	67.7	70.8	32.3	29.2
Тамбовская область	55.8	57.2	44.2	42.8
Тверская область	71.1	73.1	28.9	26.9
Тульская область	80.9	81.6	19.1	18.4
Ярославская область	81.4	80.9	18.6	19.1
г. Москва	99.99	100.0	0.01	-
Северо-Западный федеральный округ	82.1	82.3	17.9	17.7
Республика Карелия	81.4	75.0	18.6	25.0
Республика Коми	75.5	75.3	24.5	24.7
Архангельская область	73.4	74.8	26.6	25.2
Ненецкий автономный округ	63.6	63.2	36.4	36.8
Вологодская область	64.9	69.0	35.1	31.0
Калининградская область	78.8	77.6	21.2	22.4
Ленинградская область	65.9	66.4	34.1	33.6
Мурманская область	92.0	92.2	8.0	7.8
Новгородская область	69.4	69.8	30.6	30.2
Псковская область	62.8	66.1	37.2	33.9
г. Санкт-Петербург	100.0	100.0	-	-
Южный федеральный округ	59.7	57.5	40.3	42.5
Республика Адыгея	52.1	52.5	47.9	47.5
Республика Дагестан	43.2	42.8	56.8	57.2
Республика Ингушетия	41.3	42.5	58.7	57.5
Кабардино-Балкарская Республика	61.1	56.6	38.9	43.4
Республика Калмыкия	45.6	44.3	54.4	55.7
Карачаево-Черкесская Республика	48.6	44.0	51.4	56.0
Республика Северная Осетия - Алания	68.6	65.5	31.4	34.5
Чеченская Республика	41.3	33.8	58.7	66.2
Краснодарский край	54.1	53.5	45.9	46.5
Ставропольский край	53.9	56.0	46.1	44.0
Астраханская область	68.1	67.7	31.9	32.3
Волгоградская область	75.7	75.2	24.3	24.8
Ростовская область	71.2	67.6	28.8	32.4
Приволжский федеральный округ	70.6	70.8	29.4	29.2
Республика Башкортостан	63.8	64.0	36.2	36.0
Республика Марий Эл	61.0	63.1	39.0	36.9
Республика Мордовия	56.2	59.8	43.8	40.2
Республика Татарстан	72.9	73.8	27.1	26.2
Удмуртская Республика	69.7	69.7	30.3	30.3
Чувашская Республика	57.6	60.6	42.4	39.4
Кировская область	69.7	71.8	30.3	28.2
Нижегородская область	76.9	78.2	23.1	21.8
Оренбургская область	64.8	57.8	35.2	42.2
Пензенская область	61.7	65.1	38.3	34.9
Пермская область	77.4	75.3	22.6	24.7
Коми-Пермяцкий автономный округ	29.8	26.3	70.2	73.7
Самарская область	80.7	80.6	19.3	19.4
Саратовская область	74.1	73.6	25.9	26.4
Ульяновская область	71.3	73.2	28.7	26.8
Уральский федеральный округ	80.2	80.7	19.8	19.3
Курганская область	54.6	56.3	45.4	43.7
Свердловская область	87.0	87.9	13.0	12.1
Тюменская область	76.2	77.4	23.8	22.6
Ханты-Мансийский автономный округ - Югра	90.9	90.9	9.1	9.1
Ямало-Ненецкий автономный округ	77.9	83.4	22.1	16.6
Челябинская область	82.5	81.8	17.5	18.2
Сибирский федеральный округ	71.8	71.1	28.2	28.9
Республика Алтай	27.0	26.4	73.0	73.6
Республика Бурятия	61.7	59.6	38.3	40.4
Республика Тыва	46.8	51.5	53.2	48.5
Республика Хакасия	72.4	70.8	27.6	29.2
Алтайский край	57.9	53.2	42.1	46.8
Красноярский край	72.9	75.7	27.1	24.3
Таймырский (Долгано-Ненецкий) автономный округ	65.8	66.2	34.2	33.8
Эвенкийский автономный округ	31.0	33.0	69.0	67.0
Иркутская область	80.5	79.3	19.5	20.7
Усть-Ордынский Бурятский автономный округ	18.6	-	81.4	100.0
Кемеровская область	87.3	86.7	12.7	13.3
Новосибирская область	74.5	75.1	25.5	24.9
Омская область	67.6	68.7	32.4	31.3
Томская область	68.9	67.7	31.1	32.3
Читинская область	65.1	63.9	34.9	36.1
Агинский Бурятский автономный округ	32.5	35.3	67.5	64.7
Дальневосточный федеральный округ	75.8	75.9	24.2	24.1
Республика Саха (Якутия)	66.9	64.3	33.1	35.7
Приморский край	77.3	78.3	22.7	21.7
Хабаровский край	80.2	80.6	19.8	19.4
Амурская область	68.0	65.8	32.0	34.2
Камчатская область	81.5	81.1	18.5	18.9
Корякский автономный округ	38.3	25.9	61.7	74.1
Магаданская область	83.8	92.3	16.2	7.7
Сахалинская область	82.3	86.7	17.7	13.3
Еврейская автономная область	65.6	67.2	34.4	32.8
Чукотский автономный округ	72.6	66.6	27.4	33.4
