1.4. ГОРОДА С НАСЕЛЕНИЕМ 50 И БОЛЕЕ ТЫСЯЧ ЧЕЛОВЕК		
		
	Численность населения, человек	
	1989.0	2002.0
Абакан	152998.0	165197.0
Азов	80768.0	82090.0
Александров	65865.0	64824.0
Алексин	73891.0	68156.0
Альметьевск	129913.0	140437.0
Анапа	47522.0	53493.0
Ангарск	265615.0	247118.0
Анжеро-Судженск	107078.0	86480.0
Апатиты	88066.0	64405.0
Арзамас	108433.0	109432.0
Армавир	159049.0	193964.0
Арсеньев	70185.0	62896.0
Артем	68254.0	64145.0
Архангельск	416812.0	356051.0
Асбест	83962.0	76328.0
Астрахань	505200.0	504501.0
Ачинск	120982.0	118744.0
Балаково	199323.0	200470.0
Балахна	32216.0	57338.0
Балашиха 	134878.0	147909.0
Балашов	95230.0	98330.0
Барнаул	598626.0	600749.0
Батайск	91730.0	107438.0
Белгород	298247.0	337030.0
Белебей	52857.0	60928.0
Белово	93562.0	82425.0
Белогорск	73053.0	67422.0
Белорецк	72653.0	71093.0
Белореченск	50666.0	54028.0
Бердск	79082.0	88445.0
Березники 	202138.0	173077.0
Бийск	232341.0	218562.0
Биробиджан	82752.0	77250.0
Благовещенск	204318.0	219221.0
Бор	64407.0	61525.0
Борисоглебск	71131.0	69392.0
Боровичи	62974.0	57755.0
Братск	257587.0	259335.0
Брянск	448026.0	431526.0
Бугульма	89917.0	93014.0
Бугуруслан	53351.0	53893.0
Будённовск	55262.0	65687.0
Бузулук	82780.0	87286.0
Буйнакск	56673.0	61437.0
Великие Луки	113235.0	104979.0
Великий Новгород	228023.0	216856.0
Верхняя Пышма	53083.0	58016.0
Верхняя Салда	55490.0	51195.0
Видное 	55508.0	52198.0
Владивосток	631015.0	594701.0
Владикавказ	298692.0	315608.0
Владимир	346957.0	315954.0
Волгоград	994647.0	1011417.0
Волгодонск	176516.0	165994.0
Волжск	61423.0	58967.0
Волжский	266580.0	313169.0
Вологда	279762.0	293046.0
Вольск	65448.0	71124.0
Воркута	115329.0	84917.0
Воронеж	881805.0	848752.0
Воскресенск 	80188.0	77871.0
Воткинск	103836.0	99441.0
Выборг	80774.0	79224.0
Выкса	61392.0	61657.0
Вышний Волочек	64904.0	56405.0
Вязьма 	59362.0	57545.0
Гатчина	80318.0	88420.0
Геленджик	43756.0	50012.0
Георгиевск	62476.0	70575.0
Глазов	104398.0	100894.0
Горно-Алтайск	46036.0	53538.0
Грозный	397258.0	210720.0
Губкин	72205.0	86083.0
Гуково	67246.0	66648.0
Гусь-Хрустальный	75501.0	67121.0
Дербент	77851.0	101031.0
Дзержинск	285368.0	261334.0
Димитровград	123080.0	130871.0
Дмитров 	64895.0	62219.0
Долгопрудный	70726.0	68792.0
Домодедово 	54816.0	54080.0
Дубна	64949.0	60951.0
Егорьевск 	73447.0	68303.0
Ейск	77826.0	86349.0
Екатеринбург	1363057.0	1293537.0
Елабуга	54360.0	68663.0
Елец	119246.0	116726.0
Ессентуки	76711.0	81758.0
Железногорск (Красноярский край)	...	93875.0
Железногорск (Курская обл.)	85227.0	95528.0
Железнодорожный	98507.0	103931.0
Жуковский	100849.0	101328.0
Заречный	...	62970.0
Заринск	50638.0	50368.0
Зеленогорск	...	69355.0
Зеленоград	158815.0	215727.0
Зеленодольск	94905.0	100139.0
Златоуст	208087.0	194551.0
Иваново	478370.0	431721.0
Ивантеевка	52356.0	51454.0
Ижевск	634703.0	632140.0
Иркутск	622301.0	593604.0
Искитим	67550.0	62756.0
Ишим	65132.0	67757.0
Ишимбай	70175.0	70195.0
Йошкар-Ола	241510.0	256719.0
Казань	1085341.0	1105289.0
Калининград	400574.0	430003.0
Калуга	310096.0	334751.0
Каменск-Уральский	206886.0	186153.0
Каменск-Шахтинский	72517.0	75632.0
Камышин	123203.0	127891.0
Канаш	53017.0	50593.0
Канск	110187.0	103000.0
Каспийск	60010.0	77650.0
Кемерово	518178.0	484754.0
Кимры	60979.0	53650.0
Кингисепп	50175.0	50295.0
Кинешма	104578.0	95233.0
Кириши	53404.0	55634.0
Киров	439783.0	457578.0
Кирово-Чепецк	93630.0	90303.0
Киселевск	127722.0	106341.0
Кисловодск	106366.0	129788.0
Климовск	57448.0	55644.0
Клин 	95211.0	83178.0
Клинцы	70908.0	67325.0
Ковров	160694.0	155499.0
Когалым	44606.0	55367.0
Коломна	161611.0	150129.0
Комсомольск-на-Амуре	316224.0	281035.0
Копейск	78932.0	73342.0
Королёв	160449.0	142568.0
Кострома	277512.0	278750.0
Котлас	67899.0	60647.0
Красногорск 	89601.0	92545.0
Краснодар	619330.0	646175.0
Краснокаменск	68214.0	55920.0
Краснокамск	58037.0	53724.0
Краснотурьинск	67701.0	64878.0
Красноярск	912445.0	909341.0
Кропоткин	74478.0	79185.0
Крымск	51523.0	56623.0
Кстово	64516.0	66944.0
Кузнецк	99490.0	92050.0
Кумертау	63572.0	65003.0
Кунгур	81410.0	68943.0
Курган	353684.0	345515.0
