1.6. ГРУППИРОВКА СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ				
				
	Число сельских населенных пунктов		Число жителей в них	
	1989.0	2002.0	1989.0	2002.0
Все сельские населенные пункты	152922.0	155289.0	39062867.0	38737682.0
из них с числом жителей, человек:				
5 и менее	16925.0	32997.0	49695.0	58201.0
6 – 10	13245.0	14092.0	104890.0	110133.0
11 – 50	44674.0	38073.0	1149936.0	949934.0
51 – 100	18094.0	14901.0	1312183.0	1082077.0
101 – 200	17895.0	15833.0	2594548.0	2301554.0
201 – 500	22177.0	20475.0	7115864.0	6617779.0
501 – 1000	11524.0	10836.0	8086615.0	7570618.0
1001 – 3000	6984.0	6402.0	10819417.0	9995842.0
3001 и более	1404.0	1680.0	7829719.0	10051544.0
