1.9. МЕДИАННЫЙ ВОЗРАСТ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Городское и сельское население		Городское население		Сельское население	
	1989.0	2002.0	1989.0	2002.0	1989.0	2002.0
Российская Федерация						
Мужчины и женщины	32.8	37.1	32.7	37.1	33.3	37.4
Мужчины	30.5	34.1	30.5	33.9	30.3	34.6
Женщины	35.2	39.8	34.7	39.8	37.0	39.9
Центральный федеральный округ						
Мужчины и женщины	35.9	39.9	34.8	39.3	41.1	42.2
Мужчины	32.8	36.7	32.3	36.1	34.9	38.9
Женщины	39.0	42.5	37.3	41.9	49.6	45.5
Белгородская область						
Мужчины и женщины	35.0	38.9	31.6	36.9	48.2	42.4
Мужчины	32.1	36.1	30.1	34.3	37.5	39.2
Женщины	38.4	41.0	33.0	39.0	52.8	46.0
Брянская область						
Мужчины и женщины	35.0	39.0	32.6	37.9	45.3	41.2
Мужчины	31.7	35.8	30.4	34.8	35.2	37.8
Женщины	38.8	41.6	34.8	40.4	52.1	45.0
Владимирская область						
Мужчины и женщины	34.9	40.1	34.3	39.5	38.6	42.2
Мужчины	32.3	36.4	31.9	35.7	33.9	38.8
Женщины	37.9	43.0	36.7	42.4	47.2	45.3
Воронежская область						
Мужчины и женщины	37.1	40.5	34.1	39.2	45.9	42.7
Мужчины	33.3	37.4	31.8	36.0	36.5	39.5
Женщины	41.0	43.1	36.5	41.6	51.1	46.1
Ивановская область						
Мужчины и женщины	36.1	40.2	36.0	39.8	37.0	41.9
Мужчины	32.8	36.3	32.9	35.7	32.7	38.9
Женщины	39.6	43.4	39.1	43.0	44.4	44.8
Калужская область						
Мужчины и женщины	34.7	40.0	33.3	39.2	39.1	42.3
Мужчины	31.9	36.7	31.2	36.0	33.7	38.8
Женщины	37.8	42.5	35.4	41.6	48.2	46.0
Костромская область						
Мужчины и женщины	34.8	39.7	34.1	38.6	37.0	41.6
Мужчины	31.9	36.5	31.5	35.0	32.8	39.1
Женщины	38.3	42.1	36.7	41.3	45.5	44.0
Курская область						
Мужчины и женщины	36.4	40.1	32.2	37.9	48.5	43.5
Мужчины	32.9	37.2	30.6	35.0	38.3	40.1
Женщины	40.2	42.5	33.8	40.1	52.9	47.7
Липецкая область						
Мужчины и женщины	35.4	39.9	33.2	38.6	41.4	42.1
Мужчины	32.3	37.1	31.3	35.8	34.4	39.1
Женщины	39.1	42.2	35.2	40.8	50.1	45.2
Московская область						
Мужчины и женщины	35.4	39.8	35.3	39.7	36.1	40.0
Мужчины	32.8	36.0	32.8	36.0	32.8	36.2
Женщины	38.1	42.6	37.7	42.5	39.8	43.0
Орловская область						
Мужчины и женщины	35.9	39.9	33.5	38.6	42.9	42.0
Мужчины	32.7	36.8	31.4	35.2	35.5	39.3
Женщины	39.4	42.4	35.5	41.1	51.0	44.9
Рязанская область						
Мужчины и женщины	37.1	41.1	34.0	39.3	48.2	45.1
Мужчины	33.4	37.5	31.7	35.7	37.7	41.2
Женщины	40.9	44.0	36.3	42.0	53.8	50.3
Смоленская область						
Мужчины и женщины	35.0	40.2	33.0	38.9	42.4	43.0
Мужчины	32.1	36.8	31.1	35.5	35.2	39.7
Женщины	38.3	42.8	34.9	41.4	51.4	46.7
Тамбовская область						
Мужчины и женщины	36.8	40.6	34.1	39.5	41.6	42.1
Мужчины	32.9	37.6	31.6	36.3	34.9	39.2
Женщины	40.9	43.2	36.7	41.9	49.8	45.4
Тверская область						
Мужчины и женщины	36.8	41.1	35.1	39.9	43.3	44.2
Мужчины	33.3	37.5	32.4	36.2	36.1	40.7
Женщины	40.7	43.9	38.0	42.6	52.2	48.3
Тульская область						
Мужчины и женщины	38.1	41.7	37.4	41.5	43.0	42.8
Мужчины	34.5	37.8	34.2	37.5	36.3	39.3
Женщины	41.7	44.9	40.3	44.6	50.7	46.3
Ярославская область						
Мужчины и женщины	35.9	40.1	35.3	39.4	39.4	42.9
Мужчины	32.6	36.3	32.3	35.5	34.0	39.7
Женщины	39.2	43.1	38.2	42.4	49.0	46.2
