2.2. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ										
										
	Всего	Имеющие образование								Не имеющие начального общего образования
		профессиональное					общее			
		после-
вузов-
ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное	
Городское и сельское население в возрасте 15 лет и более	121300235.0	369134.0	19009265.0	3739718.0	32929158.0	15366897.0	21276555.0	16695335.0	9349775.0	1199990.0
в том числе в возрасте, лет:										
15 – 19	12800628.0	-	2141.0	404850.0	794318.0	632600.0	4323933.0	5775845.0	683339.0	56850.0
20 – 24	11466404.0	19608.0	1327446.0	1472913.0	3109155.0	1567011.0	2609114.0	1049740.0	148931.0	40749.0
25 – 29	10612976.0	45802.0	2221992.0	449541.0	3342775.0	1580505.0	1845732.0	866471.0	98881.0	33882.0
30 – 34	9836374.0	37489.0	2050492.0	311211.0	3647247.0	1513283.0	1567561.0	478555.0	67405.0	28814.0
35 – 39	10216384.0	35401.0	2199037.0	240744.0	3820769.0	1606410.0	1695496.0	396401.0	64440.0	28000.0
40 – 44	12546470.0	42435.0	2577184.0	226278.0	4546464.0	2073219.0	2275228.0	534908.0	90088.0	30630.0
45 – 49	11605892.0	40569.0	2310789.0	171760.0	4025255.0	1969185.0	2067582.0	729006.0	131389.0	27250.0
50 – 54	10071198.0	38132.0	1991497.0	141801.0	3355117.0	1539752.0	1736935.0	933797.0	188494.0	24194.0
55 – 59	5347399.0	26163.0	1162310.0	81831.0	1569274.0	712127.0	802779.0	655319.0	247800.0	17497.0
60 – 64	7983062.0	31607.0	1274898.0	81688.0	1864539.0	866289.0	1016395.0	1620177.0	1093221.0	53711.0
65 – 69	6344576.0	22658.0	852236.0	52102.0	1253374.0	567122.0	555145.0	1287384.0	1582527.0	114169.0
70 и более	12468872.0	29270.0	1039243.0	104999.0	1600871.0	739394.0	780655.0	2367732.0	4953260.0	744244.0
Возраст не указан	119895.0	182.0	4021.0	1256.0	7067.0	3042.0	5083.0	2659.0	1661.0	727.0
Мужчины в возрасте 15 лет и более	55407078.0	201320.0	8411506.0	1722317.0	13876619.0	8705588.0	10338422.0	7813004.0	3402076.0	282111.0
в том числе в возрасте, лет:										
15 – 19	6504187.0	-	1022.0	176580.0	418068.0	384630.0	2001886.0	3041137.0	382907.0	32960.0
20 – 24	5783137.0	9623.0	557610.0	654510.0	1460675.0	911526.0	1339072.0	660730.0	104035.0	23493.0
25 – 29	5314150.0	23242.0	968779.0	212325.0	1517039.0	915646.0	993058.0	533948.0	66095.0	18500.0
30 – 34	4914529.0	18055.0	886636.0	154369.0	1662271.0	883756.0	890852.0	291896.0	41329.0	15405.0
35 – 39	5024854.0	17854.0	962185.0	120472.0	1682329.0	931213.0	954902.0	235649.0	38356.0	14603.0
40 – 44	6084104.0	22304.0	1130828.0	112322.0	1926545.0	1197438.0	1236493.0	313417.0	53365.0	15919.0
45 – 49	5493467.0	22562.0	1033768.0	87497.0	1623956.0	1127088.0	1048054.0	396292.0	75823.0	13656.0
50 – 54	4642046.0	22745.0	924308.0	73293.0	1305677.0	884237.0	802781.0	460149.0	100349.0	10925.0
55 – 59	2365925.0	15736.0	520512.0	39693.0	618138.0	408821.0	333513.0	277657.0	110521.0	6923.0
60 – 64	3250993.0	19269.0	603251.0	39869.0	686901.0	469835.0	351845.0	567665.0	459738.0	17364.0
65 – 69	2444084.0	13798.0	394218.0	23341.0	455771.0	294114.0	186774.0	416883.0	608093.0	27738.0
70 и более	3585602.0	16132.0	428389.0	28046.0	519249.0	297284.0	199192.0	617581.0	1361465.0	84625.0
Возраст не указан	60366.0	106.0	1929.0	659.0	3628.0	1877.0	2568.0	1352.0	675.0	336.0
Женщины в возрасте 15 лет и более	65893157.0	167814.0	10597759.0	2017401.0	19052539.0	6661309.0	10938133.0	8882331.0	5947699.0	917879.0
в том числе в возрасте, лет:										
15 – 19	6296441.0	-	1119.0	228270.0	376250.0	247970.0	2322047.0	2734708.0	300432.0	23890.0
20 – 24	5683267.0	9985.0	769836.0	818403.0	1648480.0	655485.0	1270042.0	389010.0	44896.0	17256.0
25 – 29	5298826.0	22560.0	1253213.0	237216.0	1825736.0	664859.0	852674.0	332523.0	32786.0	15382.0
30 – 34	4921845.0	19434.0	1163856.0	156842.0	1984976.0	629527.0	676709.0	186659.0	26076.0	13409.0
35 – 39	5191530.0	17547.0	1236852.0	120272.0	2138440.0	675197.0	740594.0	160752.0	26084.0	13397.0
40 – 44	6462366.0	20131.0	1446356.0	113956.0	2619919.0	875781.0	1038735.0	221491.0	36723.0	14711.0
45 – 49	6112425.0	18007.0	1277021.0	84263.0	2401299.0	842097.0	1019528.0	332714.0	55566.0	13594.0
50 – 54	5429152.0	15387.0	1067189.0	68508.0	2049440.0	655515.0	934154.0	473648.0	88145.0	13269.0
55 – 59	2981474.0	10427.0	641798.0	42138.0	951136.0	303306.0	469266.0	377662.0	137279.0	10574.0
60 – 64	4732069.0	12338.0	671647.0	41819.0	1177638.0	396454.0	664550.0	1052512.0	633483.0	36347.0
65 – 69	3900492.0	8860.0	458018.0	28761.0	797603.0	273008.0	368371.0	870501.0	974434.0	86431.0
70 и более	8883270.0	13138.0	610854.0	76953.0	1081622.0	442110.0	581463.0	1750151.0	3591795.0	659619.0
Возраст не указан	59529.0	76.0	2092.0	597.0	3439.0	1165.0	2515.0	1307.0	986.0	391.0
Городское население в возрасте 15 лет и более	90119616.0	343356.0	16720212.0	3316956.0	26273535.0	10336201.0	15691587.0	10762914.0	4834173.0	514498.0
в том числе в возрасте, лет:										
15 – 19	9658331.0	-	2098.0	369892.0	640289.0	457562.0	3575033.0	4075406.0	389513.0	30100.0
20 – 24	8856140.0	18136.0	1171052.0	1340111.0	2497552.0	1098631.0	1935343.0	589225.0	67434.0	20077.0
25 – 29	8149844.0	42874.0	1990172.0	396429.0	2714200.0	1078573.0	1256317.0	483115.0	47007.0	16814.0
30 – 34	7433785.0	34868.0	1817179.0	272544.0	2880166.0	987720.0	1017876.0	244237.0	33775.0	14042.0
35 – 39	7505464.0	32444.0	1910992.0	206776.0	2941451.0	1005419.0	1056259.0	182646.0	29932.0	12894.0
40 – 44	9247329.0	38969.0	2235840.0	193353.0	3520620.0	1301919.0	1504119.0	251351.0	40646.0	13956.0
45 – 49	8692561.0	37420.0	2011310.0	146296.0	3168678.0	1273205.0	1478813.0	376281.0	57708.0	12699.0
50 – 54	7709838.0	35381.0	1738036.0	121078.0	2697335.0	1034086.0	1325874.0	541645.0	86370.0	11056.0
55 – 59	4152260.0	24601.0	1026677.0	70614.0	1300499.0	505262.0	638941.0	399203.0	108064.0	7381.0
60 – 64	5743047.0	29510.0	1123954.0	70014.0	1537927.0	606663.0	795722.0	999284.0	482043.0	19261.0
65 – 69	4416699.0	21212.0	755566.0	43808.0	1031246.0	407129.0	441004.0	860990.0	760937.0	38695.0
70 и более	8554318.0	27941.0	937336.0	86041.0	1343572.0	580032.0	666286.0	1759531.0	2730744.0	317523.0
Возраст не указан	111894.0	168.0	3783.0	1191.0	6395.0	2647.0	4367.0	2039.0	1147.0	560.0
Мужчины в возрасте 15 лет и более	40810805.0	187125.0	7375654.0	1531861.0	11141649.0	5646287.0	7490899.0	4995941.0	1684580.0	121446.0
в том числе в возрасте, лет:										
15 – 19	4864332.0	-	1000.0	161681.0	341228.0	280161.0	1646283.0	2143743.0	212830.0	16755.0
20 – 24	4431145.0	8918.0	484971.0	597737.0	1198622.0	642074.0	989169.0	389488.0	48699.0	11307.0
25 – 29	4057349.0	21778.0	865233.0	188746.0	1262767.0	621788.0	681312.0	311123.0	31795.0	9001.0
30 – 34	3692438.0	16731.0	792249.0	136761.0	1347917.0	566567.0	580478.0	154977.0	21065.0	7367.0
35 – 39	3637414.0	16325.0	839086.0	104271.0	1317313.0	564978.0	592674.0	112484.0	18184.0	6515.0
40 – 44	4380754.0	20425.0	979474.0	95896.0	1498288.0	721252.0	808864.0	151412.0	24497.0	7043.0
45 – 49	4011192.0	20807.0	895878.0	73916.0	1271303.0	693286.0	741626.0	211127.0	33819.0	6211.0
50 – 54	3477142.0	21059.0	801789.0	61930.0	1038701.0	561706.0	606830.0	276559.0	47324.0	4902.0
55 – 59	1817801.0	14813.0	460204.0	34231.0	506572.0	274870.0	262979.0	176310.0	50943.0	3064.0
60 – 64	2313523.0	17980.0	525904.0	33798.0	556724.0	305143.0	273612.0	357378.0	202140.0	6360.0
65 – 69	1666739.0	12918.0	345861.0	19591.0	368836.0	195383.0	144742.0	269509.0	277803.0	9357.0
70 и более	2460976.0	15371.0	384005.0	23303.0	433378.0	219079.0	162330.0	441831.0	715481.0	33564.0
Возраст не указан	56500.0	98.0	1828.0	636.0	3376.0	1651.0	2227.0	1048.0	487.0	270.0
Женщины в возрасте 15 лет и более	49308811.0	156231.0	9344558.0	1785095.0	15131886.0	4689914.0	8200688.0	5766973.0	3149593.0	393052.0
в том числе в возрасте, лет:										
15 – 19	4793999.0	-	1098.0	208211.0	299061.0	177401.0	1928750.0	1931663.0	176683.0	13345.0
