2.5. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 									
(на 1000 занятых в возрасте 15 лет и более)									
									
	Имеющие образование								Не имеющие начального общего образования
	профессиональное					общее			
	послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное	
Российская Федерация									
Городское и сельское население									
1989.0	...	146.0	13.0	242.0	171.0	208.0	135.0	74.0	11.0
2002.0	5.0	228.0	30.0	356.0	153.0	161.0	56.0	9.0	1.0
Мужчины									
1989.0	...	138.0	14.0	191.0	210.0	215.0	138.0	84.0	10.0
2002.0	5.0	206.0	29.0	318.0	181.0	178.0	70.0	11.0	1.0
Женщины									
1989.0	...	154.0	13.0	298.0	128.0	200.0	132.0	63.0	12.0
2002.0	4.0	252.0	31.0	397.0	122.0	145.0	42.0	6.0	-
Городское население									
1989.0	...	170.0	15.0	260.0	165.0	208.0	119.0	55.0	8.0
2002.0	5.0	256.0	34.0	367.0	134.0	152.0	44.0	6.0	-
Мужчины									
1989.0	...	165.0	16.0	211.0	202.0	216.0	124.0	60.0	6.0
2002.0	6.0	235.0	33.0	337.0	157.0	167.0	55.0	8.0	-
Женщины									
1989.0	...	175.0	14.0	311.0	128.0	200.0	114.0	49.0	9.0
2002.0	5.0	277.0	34.0	398.0	111.0	137.0	32.0	5.0	-
Сельское население									
1989.0	...	67.0	8.0	185.0	189.0	206.0	188.0	135.0	22.0
2002.0	1.0	125.0	16.0	318.0	221.0	196.0	104.0	18.0	1.0
Мужчины									
1989.0	...	59.0	7.0	133.0	235.0	210.0	181.0	153.0	22.0
2002.0	1.0	103.0	14.0	254.0	265.0	216.0	122.0	24.0	1.0
Женщины									
1989.0	...	77.0	9.0	250.0	130.0	201.0	198.0	113.0	22.0
2002.0	1.0	151.0	19.0	396.0	167.0	174.0	80.0	11.0	1.0
Центральный федеральный округ									
Городское и сельское население									
1989.0	...	181.0	15.0	240.0	151.0	200.0	130.0	73.0	10.0
2002.0	7.0	266.0	34.0	347.0	132.0	156.0	47.0	7.0	1.0
Мужчины									
1989.0	...	177.0	15.0	188.0	188.0	207.0	133.0	83.0	9.0
2002.0	8.0	248.0	34.0	314.0	156.0	171.0	56.0	9.0	1.0
Женщины									
1989.0	...	186.0	15.0	293.0	114.0	192.0	127.0	62.0	11.0
2002.0	5.0	286.0	35.0	383.0	108.0	139.0	35.0	5.0	1.0
Городское население									
1989.0	...	209.0	17.0	253.0	145.0	202.0	114.0	53.0	7.0
2002.0	8.0	292.0	38.0	350.0	117.0	149.0	37.0	5.0	1.0
Мужчины									
1989.0	...	210.0	18.0	203.0	178.0	210.0	118.0	58.0	5.0
2002.0	9.0	276.0	38.0	322.0	135.0	163.0	46.0	6.0	1.0
Женщины									
1989.0	...	208.0	16.0	301.0	113.0	193.0	111.0	49.0	9.0
2002.0	6.0	310.0	38.0	378.0	98.0	134.0	28.0	4.0	1.0
Сельское население									
1989.0	...	65.0	8.0	185.0	179.0	191.0	198.0	153.0	21.0
2002.0	2.0	131.0	15.0	335.0	216.0	189.0	95.0	15.0	1.0
Мужчины									
1989.0	...	54.0	6.0	130.0	228.0	195.0	189.0	177.0	21.0
2002.0	2.0	110.0	13.0	269.0	264.0	208.0	112.0	20.0	1.0
Женщины									
1989.0	...	79.0	9.0	254.0	120.0	186.0	207.0	125.0	20.0
2002.0	2.0	155.0	18.0	408.0	162.0	168.0	75.0	10.0	1.0
Белгородская область									
Городское и сельское население									
1989.0	...	117.0	12.0	249.0	176.0	225.0	122.0	86.0	13.0
2002.0	3.0	212.0	23.0	407.0	160.0	153.0	36.0	5.0	-
Мужчины									
1989.0	...	105.0	12.0	194.0	217.0	240.0	121.0	99.0	12.0
2002.0	3.0	184.0	21.0	368.0	193.0	179.0	44.0	7.0	-
Женщины									
1989.0	...	131.0	13.0	308.0	131.0	208.0	123.0	73.0	13.0
2002.0	2.0	242.0	24.0	447.0	125.0	127.0	27.0	4.0	1.0
Городское население									
1989.0	...	146.0	14.0	286.0	184.0	218.0	95.0	50.0	7.0
2002.0	3.0	244.0	26.0	433.0	143.0	125.0	22.0	3.0	-
Мужчины									
1989.0	...	136.0	14.0	231.0	224.0	235.0	99.0	55.0	6.0
2002.0	3.0	216.0	26.0	405.0	171.0	144.0	30.0	4.0	-
Женщины									
1989.0	...	156.0	14.0	340.0	144.0	201.0	91.0	46.0	8.0
2002.0	3.0	271.0	26.0	460.0	115.0	105.0	17.0	2.0	-
Сельское население									
1989.0	...	57.0	8.0	171.0	158.0	239.0	180.0	162.0	25.0
2002.0	1.0	133.0	15.0	342.0	203.0	224.0	69.0	11.0	1.0
Мужчины									
1989.0	...	47.0	7.0	124.0	205.0	249.0	164.0	180.0	24.0
2002.0	1.0	109.0	12.0	285.0	242.0	258.0	79.0	13.0	-
Женщины									
1989.0	...	69.0	10.0	231.0	98.0	226.0	200.0	140.0	26.0
2002.0	1.0	162.0	18.0	411.0	154.0	186.0	58.0	8.0	1.0
Брянская область									
Городское и сельское население									
1989.0	...	106.0	10.0	231.0	172.0	220.0	144.0	102.0	15.0
2002.0	2.0	191.0	22.0	378.0	181.0	172.0	47.0	6.0	-
Мужчины									
1989.0	...	98.0	10.0	181.0	215.0	225.0	147.0	111.0	13.0
2002.0	3.0	174.0	20.0	326.0	221.0	188.0	59.0	8.0	-
Женщины									
1989.0	...	114.0	10.0	285.0	126.0	214.0	142.0	92.0	17.0
2002.0	2.0	208.0	25.0	428.0	145.0	155.0	33.0	4.0	-
Городское население									
1989.0	...	127.0	11.0	262.0	171.0	233.0	123.0	63.0	10.0
2002.0	2.0	217.0	25.0	396.0	162.0	160.0	33.0	4.0	-
Мужчины									
1989.0	...	123.0	12.0	211.0	212.0	242.0	127.0	66.0	7.0
2002.0	3.0	202.0	24.0	352.0	195.0	176.0	43.0	5.0	-
Женщины									
1989.0	...	131.0	11.0	313.0	130.0	223.0	119.0	60.0	13.0
2002.0	2.0	230.0	27.0	437.0	132.0	145.0	24.0	3.0	-
Сельское население									
1989.0	...	52.0	8.0	153.0	175.0	186.0	198.0	200.0	28.0
2002.0	2.0	114.0	14.0	321.0	242.0	206.0	88.0	13.0	-
Мужчины									
1989.0	...	43.0	7.0	114.0	223.0	185.0	192.0	211.0	25.0
2002.0	2.0	96.0	11.0	252.0	291.0	224.0	107.0	16.0	-
Женщины									
1989.0	...	63.0	8.0	204.0	114.0	187.0	206.0	186.0	32.0
2002.0	2.0	135.0	17.0	398.0	189.0	186.0	65.0	8.0	-
Владимирская область									
Городское и сельское население									
1989.0	...	118.0	10.0	216.0	201.0	205.0	149.0	91.0	10.0
2002.0	3.0	193.0	22.0	362.0	173.0	175.0	62.0	9.0	-
Мужчины									
1989.0	...	110.0	10.0	166.0	245.0	202.0	153.0	105.0	9.0
2002.0	3.0	172.0	21.0	325.0	209.0	181.0	76.0	12.0	-
Женщины									
1989.0	...	125.0	10.0	266.0	157.0	209.0	145.0	77.0	11.0
2002.0	3.0	212.0	24.0	398.0	139.0	170.0	47.0	6.0	-
Городское население									
1989.0	...	131.0	11.0	227.0	198.0	211.0	138.0	75.0	9.0
2002.0	4.0	210.0	24.0	370.0	161.0	172.0	51.0	7.0	-
Мужчины									
1989.0	...	125.0	12.0	179.0	241.0	208.0	143.0	85.0	7.0
2002.0	4.0	190.0	23.0	338.0	192.0	177.0	66.0	9.0	-
Женщины									
1989.0	...	137.0	11.0	274.0	156.0	214.0	133.0	65.0	10.0
2002.0	3.0	230.0	25.0	400.0	131.0	167.0	38.0	5.0	-
Сельское население									
1989.0	...	56.0	6.0	167.0	215.0	179.0	197.0	161.0	19.0
2002.0	1.0	105.0	13.0	324.0	237.0	190.0	109.0	19.0	1.0
Мужчины									
1989.0	...	46.0	5.0	111.0	262.0	177.0	191.0	188.0	20.0
2002.0	1.0	87.0	11.0	261.0	286.0	199.0	127.0	26.0	1.0
Женщины									
1989.0	...	68.0	7.0	230.0	162.0	182.0	202.0	130.0	19.0
2002.0	1.0	123.0	15.0	390.0	186.0	182.0	90.0	11.0	1.0
Воронежская область									
Городское и сельское население									
1989.0	...	144.0	13.0	217.0	146.0	261.0	123.0	84.0	12.0
2002.0	4.0	239.0	24.0	325.0	147.0	208.0	45.0	7.0	-
Мужчины									
1989.0	...	129.0	13.0	177.0	179.0	267.0	123.0	100.0	12.0
2002.0	5.0	210.0	23.0	288.0	176.0	230.0	57.0	9.0	1.0
Женщины									
1989.0	...	161.0	14.0	261.0	110.0	255.0	122.0	65.0	12.0
2002.0	4.0	271.0	25.0	363.0	118.0	183.0	31.0	4.0	-
Городское население									
1989.0	...	188.0	17.0	240.0	142.0	267.0	92.0	47.0	7.0
2002.0	6.0	293.0	29.0	332.0	124.0	187.0	25.0	3.0	-
Мужчины									
1989.0	...	176.0	17.0	205.0	172.0	275.0	96.0	53.0	6.0
2002.0	7.0	267.0	29.0	309.0	145.0	204.0	33.0	5.0	-
Женщины									
