3. СОСТОЯНИЕ НАСЕЛЕНИЯ В БРАКЕ, ЧИСЛО И СОСТАВ ДОМОХОЗЯЙСТВ, РОЖДАЕМОСТЬ		
3.1. НАСЕЛЕНИЕ ПО СОСТОЯНИЮ В БРАКЕ		
		
	1989.0	2002.0
Численность лиц в возрасте 16 лет и более	111026762.0	118719553.0
в том числе:		
состоящие в браке	72477217.0	67868527.0
из них:		
в зарегистрированном браке	…	61244219.0
в незарегистрированном браке	…	6624308.0
никогда не состоявшие в браке	17858441.0	24917348.0
вдовые	12295239.0	13579516.0
разошедшиеся	7976557.0	11183500.0
не указавшие состояние в браке	419308.0	1170662.0
На 1000 человек в возрасте 16 лет и более	1000.0	1000.0
состоящие в браке	652.0	572.0
из них:		
в зарегистрированном браке	…	516.0
в незарегистрированном браке	…	56.0
никогда не состоявшие в браке	161.0	210.0
вдовые	111.0	114.0
разошедшиеся	72.0	94.0
не указавшие состояние в браке	4.0	10.0
