3.2. МУЖЧИНЫ И ЖЕНЩИНЫ ПО ВОЗРАСТНЫМ ГРУППАМ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистриро- ванном браке	в незарегист- рированном браке							в зарегистриро- ванном браке	в незарегист- рированном браке				
Городское и сельское население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	54154219.0	33916617.0	30594556.0	3322061.0	13601996.0	1930033.0	4089507.0	616066.0	64689355.0	33984049.0	30676598.0	3307451.0	11320796.0	11651552.0	7096703.0	636255.0
в том числе в возрасте, лет:																
  до 16	1116.0	953.0	554.0	399.0		73.0	90.0		3010.0	2761.0	942.0	1819.0		110.0	139.0	
16 – 17	2557374.0	10602.0	4614.0	5988.0	2495055.0	476.0	1124.0	50117.0	2485198.0	55355.0	25805.0	29550.0	2384349.0	647.0	1950.0	42897.0
18 – 19	2632472.0	68884.0	43012.0	25872.0	2529947.0	526.0	2610.0	30505.0	2544902.0	313903.0	211557.0	102346.0	2192344.0	1341.0	10629.0	26685.0
20 – 24	5783137.0	1376808.0	1074974.0	301834.0	4258169.0	2612.0	72897.0	72651.0	5683267.0	2404700.0	1947336.0	457364.0	2990291.0	18575.0	205667.0	64034.0
25 – 29	5314150.0	3063210.0	2581611.0	481599.0	1851398.0	7626.0	324317.0	67599.0	5298826.0	3464715.0	2971937.0	492778.0	1158604.0	58532.0	560018.0	56957.0
30 – 34	4914529.0	3480011.0	3024425.0	455586.0	826264.0	16816.0	524898.0	66540.0	4921845.0	3474022.0	3063712.0	410310.0	535310.0	108974.0	749246.0	54293.0
35 – 39	5024854.0	3836392.0	3420919.0	415473.0	500267.0	31554.0	599657.0	56984.0	5191530.0	3760813.0	3412349.0	348464.0	354021.0	190212.0	838691.0	47793.0
40 – 44	6084104.0	4799369.0	4357755.0	441614.0	429097.0	67678.0	729027.0	58933.0	6462366.0	4658090.0	4285046.0	373044.0	330225.0	361546.0	1058767.0	53738.0
45 – 49	5493467.0	4404996.0	4039636.0	365360.0	295610.0	98361.0	647612.0	46888.0	6112425.0	4264139.0	3936847.0	327292.0	278530.0	526400.0	994900.0	48456.0
50 – 54	4642046.0	3766486.0	3485729.0	280757.0	185580.0	142398.0	507223.0	40359.0	5429152.0	3561693.0	3301843.0	259850.0	231167.0	738638.0	851419.0	46235.0
55 – 59	2365925.0	1928128.0	1796934.0	131194.0	72115.0	112149.0	229833.0	23700.0	2981474.0	1785260.0	1666453.0	118807.0	116800.0	608761.0	442481.0	28172.0
60 – 64	3250993.0	2637999.0	2465305.0	172694.0	77409.0	278977.0	233047.0	23561.0	4732069.0	2459482.0	2305622.0	153860.0	153768.0	1533309.0	550584.0	34926.0
