3.5. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, ДОМОХОЗЯЙСТВА БЕЗДОМНЫХ, НАСЕЛЕНИЕ КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ																
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
	Число частных домохозяйств	В них численность членов частных домохозяйств	Из общего числа частных домохозяйств - домохозяйства, состоящие из						Средний размер частного
домо-хозяйства, человек	Число домохозяйств бездомных	Численность членов домохозяйств бездомных	Из общего числа домохозяйств бездомных – домохозяйства, состоящие из			Средний размер домохозяйства бездомных, человек	Численность членов коллективных домохозяйств
			1 человека	2 человек	3 человек	4 человек	5 человек	6 и более человек				1 человека	2 человек	3 и более человек		
Российская Федерация	52711375.0	142754098.0	11741449.0	14534669.0	12536743.0	8943575.0	3032437.0	1922502.0	2.70822185913	68077.0	142559.0	58251.0	2802.0	7024.0	2.09408463945	2270074.0
Городские населенные пункты	39236582.0	104580819.0	8768570.0	10871183.0	9802757.0	6614683.0	2034827.0	1144562.0	2.66539065508	63173.0	134409.0	54401.0	2312.0	6460.0	2.12763364095	1713821.0
Сельские населенные пункты	13474793.0	38173279.0	2972879.0	3663486.0	2733986.0	2328892.0	997610.0	777940.0	2.83293991974	4904.0	8150.0	3850.0	490.0	564.0	1.661908646	556253.0
Центральный федеральный округ	14450987.0	37496981.0	3667179.0	4046449.0	3355818.0	2240677.0	725533.0	415331.0	2.59476954757	9738.0	31036.0	6913.0	547.0	2278.0	3.18710207435	472634.0
Городские населенные пункты	11431063.0	29976026.0	2794792.0	3165355.0	2778554.0	1802380.0	565078.0	324904.0	2.62233057416	9052.0	29971.0	6372.0	467.0	2213.0	3.31098099867	360980.0
Сельские населенные пункты	3019924.0	7520955.0	872387.0	881094.0	577264.0	438297.0	160455.0	90427.0	2.49044512378	686.0	1065.0	541.0	80.0	65.0	1.55247813411	111654.0
Белгородская область	559911.0	1497585.0	130698.0	150070.0	131265.0	95033.0	33858.0	18987.0	2.67468401228	233.0	258.0	215.0	13.0	5.0	1.10729613734	13777.0
Городские населенные пункты	361357.0	973211.0	78188.0	93052.0	95553.0	64996.0	19861.0	9707.0	2.69321197597	202.0	207.0	199.0	1.0	2.0	1.02475247525	12166.0
Сельские населенные пункты	198554.0	524374.0	52510.0	57018.0	35712.0	30037.0	13997.0	9280.0	2.64096417096	31.0	51.0	16.0	12.0	3.0	1.64516129032	1611.0
Брянская область	523450.0	1364558.0	127797.0	144722.0	120880.0	87754.0	28516.0	13781.0	2.60685452288	259.0	428.0	226.0	8.0	25.0	1.65250965251	13955.0
Городские населенные пункты	348618.0	930983.0	74580.0	95615.0	89940.0	60929.0	18816.0	8738.0	2.67049607307	245.0	357.0	221.0	6.0	18.0	1.45714285714	12042.0
Сельские населенные пункты	174832.0	433575.0	53217.0	49107.0	30940.0	26825.0	9700.0	5043.0	2.47995218267	14.0	71.0	5.0	2.0	7.0	5.07142857143	1913.0
Владимирская область	591689.0	1496443.0	144240.0	173588.0	146274.0	89221.0	26932.0	11434.0	2.52910397185	109.0	263.0	84.0	12.0	13.0	2.4128440367	27284.0
Городские населенные пункты	467313.0	1192409.0	106974.0	137285.0	122375.0	71762.0	20755.0	8162.0	2.55162813789	97.0	236.0	77.0	8.0	12.0	2.43298969072	21220.0
Сельские населенные пункты	124376.0	304034.0	37266.0	36303.0	23899.0	17459.0	6177.0	3272.0	2.44447481829	12.0	27.0	7.0	4.0	1.0	2.25	6064.0
Воронежская область	907990.0	2351632.0	219106.0	259643.0	213836.0	142602.0	48442.0	24361.0	2.58993160718	61.0	248.0	37.0	5.0	19.0	4.06557377049	26923.0
Городские населенные пункты	551149.0	1451622.0	121281.0	152797.0	145142.0	89874.0	28813.0	13242.0	2.63381045779	43.0	207.0	24.0	2.0	17.0	4.81395348837	19970.0
Сельские населенные пункты	356841.0	900010.0	97825.0	106846.0	68694.0	52728.0	19629.0	11119.0	2.5221597294	18.0	41.0	13.0	3.0	2.0	2.27777777778	6953.0
Ивановская область	462814.0	1122265.0	124090.0	140546.0	110156.0	64004.0	17182.0	6836.0	2.42487262702	1530.0	1736.0	1482.0	22.0	26.0	1.13464052288	24328.0
Городские населенные пункты	382720.0	928031.0	100987.0	116246.0	94207.0	52210.0	13837.0	5233.0	2.42483016304	1513.0	1716.0	1467.0	21.0	25.0	1.13417052214	19502.0
Сельские населенные пункты	80094.0	194234.0	23103.0	24300.0	15949.0	11794.0	3345.0	1603.0	2.42507553624	17.0	20.0	15.0	1.0	1.0	1.17647058824	4826.0
Калужская область	402527.0	1028232.0	99506.0	115706.0	95658.0	62786.0	19457.0	9414.0	2.5544423107	223.0	411.0	188.0	10.0	25.0	1.84304932735	12998.0
Городские населенные пункты	297610.0	769130.0	67801.0	84952.0	76858.0	47942.0	14134.0	5923.0	2.5843553644	201.0	355.0	177.0	6.0	18.0	1.76616915423	9996.0
Сельские населенные пункты	104917.0	259102.0	31705.0	30754.0	18800.0	14844.0	5323.0	3491.0	2.46959024753	22.0	56.0	11.0	4.0	7.0	2.54545454545	3002.0
Костромская область	294110.0	723227.0	76275.0	88101.0	70672.0	43242.0	11306.0	4514.0	2.45903573493	132.0	182.0	118.0	7.0	7.0	1.37878787879	13232.0
Городские населенные пункты	197016.0	487598.0	48764.0	58374.0	50923.0	29151.0	7179.0	2625.0	2.47491574288	100.0	134.0	92.0	3.0	5.0	1.34	8413.0
Сельские населенные пункты	97094.0	235629.0	27511.0	29727.0	19749.0	14091.0	4127.0	1889.0	2.42681319134	32.0	48.0	26.0	4.0	2.0	1.5	4819.0
Курская область	462607.0	1224372.0	107858.0	129425.0	108720.0	74068.0	27866.0	14670.0	2.64667849816	39.0	74.0	31.0	4.0	4.0	1.89743589744	10645.0
Городские населенные пункты	273674.0	748802.0	53963.0	72375.0	75087.0	48361.0	16141.0	7747.0	2.73610938562	20.0	49.0	15.0	2.0	3.0	2.45	7629.0
Сельские населенные пункты	188933.0	475570.0	53895.0	57050.0	33633.0	25707.0	11725.0	6923.0	2.51713570419	19.0	25.0	16.0	2.0	1.0	1.31578947368	3016.0
Липецкая область	460699.0	1202503.0	109950.0	129403.0	110157.0	73522.0	24904.0	12763.0	2.61017063202	104.0	236.0	71.0	16.0	17.0	2.26923076923	10760.0
Городские населенные пункты	290353.0	771093.0	61463.0	80791.0	77991.0	47997.0	15098.0	7013.0	2.65570874074	59.0	150.0	50.0	2.0	7.0	2.54237288136	8740.0
Сельские населенные пункты	170346.0	431410.0	48487.0	48612.0	32166.0	25525.0	9806.0	5750.0	2.5325513954	45.0	86.0	21.0	14.0	10.0	1.91111111111	2020.0
Московская область	2496460.0	6497429.0	593290.0	690538.0	611143.0	412180.0	128938.0	60371.0	2.60265696226	919.0	1321.0	760.0	67.0	92.0	1.43743199129	119788.0
Городские населенные пункты	1982564.0	5164852.0	456513.0	555006.0	498543.0	327434.0	100351.0	44717.0	2.60513758951	661.0	1017.0	517.0	57.0	87.0	1.53857791225	82665.0
Сельские населенные пункты	513896.0	1332577.0	136777.0	135532.0	112600.0	84746.0	28587.0	15654.0	2.59308692809	258.0	304.0	243.0	10.0	5.0	1.17829457364	37123.0
Орловская область	324057.0	846032.0	78842.0	90311.0	75935.0	50729.0	18759.0	9481.0	2.61075057783	131.0	202.0	116.0	4.0	11.0	1.54198473282	14028.0
Городские населенные пункты	203570.0	537363.0	46160.0	54609.0	53348.0	32853.0	11434.0	5166.0	2.63969641892	115.0	158.0	106.0	4.0	5.0	1.37391304348	8957.0
Сельские населенные пункты	120487.0	308669.0	32682.0	35702.0	22587.0	17876.0	7325.0	4315.0	2.56184484633	16.0	44.0	10.0	-	6.0	2.75	5071.0
