3.7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ И РАЗМЕРУ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
			2 человек	3 человек	4 человек	5 человек	6 и более человек	
								
Городские и сельские населенные пункты								
Все домохозяйства	40969926.0	131012649.0	14534669.0	12536743.0	8943575.0	3032437.0	1922502.0	3.2
в том числе:								
Домохозяйства, состоящие из одной супружеской пары,
родственников (или без них) и не
родственников (или без них)	28048641.0	91983642.0	7804783.0	9388754.0	7644577.0	2236268.0	974259.0	3.3
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей	22481135.0	67843648.0	7804783.0	8076968.0	5462879.0	837753.0	298752.0	3.0
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и одного из родителей супругов	2029848.0	8460385.0		499030.0	852754.0	556611.0	121453.0	4.2
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и матери (отца) с детьми	1135979.0	5369303.0			576292.0	385518.0	174169.0	4.7
Прочие домохозяйства, состоящие из одной супружеской пары	2401679.0	10310306.0		812756.0	752652.0	456386.0	379885.0	4.3
Домохозяйства, состоящие из двух супружеских пар, родственников (или без них) и не родственников (или без них)	1314689.0	7537188.0			170452.0	487529.0	656708.0	5.7
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими  родителями одного из супругов  с детьми и без детей	1028743.0	5569817.0			161240.0	445014.0	422489.0	5.4
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими родителями одного из супругов с детьми и без детей, прочих родственников (или без них) и не родственников (или без них)	192103.0	1311564.0				25651.0	166452.0	6.8
Прочие домохозяйства, состоящие из двух супружеских пар	93843.0	655807.0			9212.0	16864.0	67767.0	7.0
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	49108.0	467437.0					49108.0	9.5
Домохозяйства, состоящие из матери с детьми	5625923.0	12979821.0	4220263.0	1171872.0	177491.0	36372.0	19925.0	2.3
Домохозяйства, состоящие из отца с детьми	634517.0	1427596.0	506775.0	105864.0	16308.0	3544.0	2026.0	2.2
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	1152378.0	3766057.0		890133.0	226709.0	27684.0	7852.0	3.3
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери (отца) (или без него), прочих родственников (или без них) и не родственников (или без них)	1455892.0	5752895.0		584525.0	559443.0	198130.0	113794.0	4.0
Прочие домохозяйства	2688778.0	7098013.0	2002848.0	395595.0	148595.0	42910.0	98830.0	2.6
Городские населенные пункты								
Все домохозяйства	30468012.0	95812249.0	10871183.0	9802757.0	6614683.0	2034827.0	1144562.0	3.1
в том числе:								
Домохозяйства, состоящие из одной супружеской пары,
родственников (или без них) и не
родственников (или без них)	20213278.0	65529051.0	5419301.0	7235991.0	5601171.0	1441417.0	515398.0	3.2
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей	16068279.0	47908360.0	5419301.0	6241526.0	3866407.0	427217.0	113828.0	3.0
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и одного из родителей супругов	1458702.0	5988411.0		354563.0	666048.0	382488.0	55603.0	4.1
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и матери (отца) с детьми	853395.0	3934128.0			467074.0	289441.0	96880.0	4.6
Прочие домохозяйства, состоящие из одной супружеской пары	1832902.0	7698152.0		639902.0	601642.0	342271.0	249087.0	4.2
