3.8. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Число частных домохозяйств, имеющих детей моложе 18 лет	Численность детей моложе 18 лет в частных домохозяйствах	Из общего числа частных домохозяйств, имеющих детей моложе 18 лет - домохозяйства			Средний размер домохозяйства, имеющего детей моложе 18 лет, человек
			с 1 ребенком	с 2 детьми	с 3 и более детьми	
						
Российская Федерация	21195854.0	30580200.0	13829141.0	5970635.0	1396078.0	3.8
Центральный федеральный округ	5080552.0	6797953.0	3622108.0	1266445.0	191999.0	3.71964936094
Белгородская область	221438.0	307100.0	148762.0	62870.0	9806.0	3.82885051346
Брянская область	202142.0	286596.0	132329.0	59292.0	10521.0	3.75280248538
Владимирская область	217647.0	287954.0	157653.0	52364.0	7630.0	3.62311908733
Воронежская область	331146.0	451299.0	230244.0	86932.0	13970.0	3.76401949593
Ивановская область	159911.0	210416.0	116627.0	37878.0	5406.0	3.54673537155
Калужская область	147923.0	200540.0	104069.0	37492.0	6362.0	3.68157081725
Костромская область	106967.0	146315.0	73585.0	28865.0	4517.0	3.57391531968
Курская область	176494.0	245636.0	119785.0	47971.0	8738.0	3.82643036024
Липецкая область	174791.0	239449.0	121718.0	44930.0	8143.0	3.75751039813
Московская область	909104.0	1186346.0	666752.0	215564.0	26788.0	3.69678936623
Орловская область	120612.0	165763.0	83251.0	31664.0	5697.0	3.79463071668
Рязанская область	167571.0	224841.0	119311.0	41667.0	6593.0	3.68279117508
Смоленская область	147826.0	197525.0	105916.0	36102.0	5808.0	3.6072882984
Тамбовская область	165769.0	228249.0	114009.0	44151.0	7609.0	3.7260283889
Тверская область	202829.0	276035.0	142124.0	51521.0	9184.0	3.62035507743
Тульская область	223829.0	292875.0	165342.0	50630.0	7857.0	3.67937130577
Ярославская область	191058.0	250418.0	140258.0	44380.0	6420.0	3.57200431283
г. Москва	1213495.0	1600596.0	880373.0	292172.0	40950.0	3.7935459149
Северо-Западный федеральный округ	1977407.0	2656365.0	1402334.0	496353.0	78720.0	3.63353067932
Республика Карелия	109477.0	149404.0	75425.0	29470.0	4582.0	3.537592371
Республика Коми	168498.0	233846.0	113197.0	47231.0	8070.0	3.55557335992
Архангельская область	205517.0	288566.0	136656.0	58159.0	10702.0	3.59266630011
Ненецкий автономный округ	7029.0	11624.0	3843.0	2257.0	929.0	3.95091762697
Вологодская область	189320.0	265914.0	125267.0	54409.0	9644.0	3.59567399113
Калининградская область	139072.0	190090.0	97122.0	35308.0	6642.0	3.77822279107
Ленинградская область	230751.0	310721.0	162785.0	59022.0	8944.0	3.66661032888
Мурманская область	143160.0	186103.0	104807.0	34618.0	3735.0	3.39277032691
Новгородская область	97521.0	134195.0	67282.0	25590.0	4649.0	3.59473344203
Псковская область	103910.0	142268.0	72566.0	26389.0	4955.0	3.5824463478
г. Санкт–Петербург	590181.0	755258.0	447227.0	126157.0	16797.0	3.7267346797
Южный федеральный округ	3303940.0	5590805.0	1792309.0	1038343.0	473288.0	4.3493014401
Республика Адыгея	65372.0	100968.0	37701.0	21836.0	5835.0	4.07509331212
Республика Дагестан	400197.0	904703.0	117120.0	141943.0	141134.0	5.26209841653
Республика Ингушетия	53344.0	187373.0	8260.0	10418.0	34666.0	7.61647045591
Кабардино–Балкарская Республика	128035.0	246550.0	51984.0	47033.0	29018.0	4.91302378256
Республика Калмыкия	48840.0	82502.0	24315.0	17828.0	6697.0	4.17598280098
Карачаево-Черкесская Республика	64651.0	115408.0	29801.0	23495.0	11355.0	4.56775610586
Республика Северная Осетия – Алания	96978.0	174159.0	44205.0	35706.0	17067.0	4.67610179628
Чеченская Республика	153878.0	429286.0	32477.0	42263.0	79138.0	6.1038290074
Краснодарский край	736531.0	1078809.0	457625.0	232154.0	46752.0	4.01633196702
Ставропольский край	390240.0	608914.0	225614.0	129866.0	34760.0	4.14718634686
Астраханская область	152760.0	230781.0	91889.0	48852.0	12019.0	3.9388256088
Волгоградская область	390099.0	550981.0	259051.0	109688.0	21360.0	3.78673618748
Ростовская область	623015.0	880371.0	412267.0	177261.0	33487.0	3.87597248862
Приволжский федеральный округ	4732924.0	6753605.0	3044913.0	1430667.0	257344.0	3.75371356058
Республика Башкортостан	658507.0	1010118.0	375439.0	230165.0	52903.0	3.86620947082
Республика Марий Эл	112702.0	165728.0	69473.0	35780.0	7449.0	3.82054444464
Республика Мордовия	132325.0	180651.0	89596.0	38221.0	4508.0	3.70865671642
Республика Татарстан	590862.0	877587.0	349586.0	205292.0	35984.0	3.89518533939
Удмуртская Республика	248810.0	361125.0	155755.0	77791.0	15264.0	3.81850006029
Чувашская Республика	201570.0	304556.0	117511.0	69158.0	14901.0	3.92087612244
