3.9. ЖЕНЩИНЫ ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ														
														
	1989.0							2002.0						
	На 1000 женщин соответствующей возрастной группы, указавших число рожденных детей, женщины родившие						Среднее число рожденных детей	На 1000 женщин соответствующей возрастной группы, указавших число рожденных детей, женщины родившие						Среднее число рожденных детей
	0 детей	1 ребенка	2 детей	3 детей	4 детей	5 и более детей		0 детей	1 ребенка	2 детей	3 детей	4 детей	5 и более детей	
														
Городское и сельское население														
Женщины в возрасте 15 лет и более	204.0	259.0	324.0	110.0	42.0	61.0	1796.0	217.0	305.0	337.0	89.0	25.0	27.0	1513.0
15 – 17 лет	986.0	13.0	1.0	-	-	-	15.0	984.0	15.0	1.0	0.0	-	-	17.0
18 – 19 -”-	871.0	118.0	10.0	1.0	-	-	140.0	917.0	77.0	5.0	1.0	-	-	89.0
20 – 24 -”-	466.0	397.0	122.0	13.0	2.0	0.0	690.0	625.0	323.0	46.0	4.0	1.0	1.0	438.0
25 – 29 -”-	177.0	383.0	361.0	62.0	12.0	5.0	1366.0	266.0	524.0	180.0	22.0	4.0	4.0	993.0
30 – 39 -”-	92.0	278.0	467.0	117.0	26.0	20.0	1785.0	98.0	418.0	386.0	72.0	16.0	10.0	1531.0
40 – 49 -”-	80.0	286.0	444.0	121.0	32.0	37.0	1893.0	59.0	285.0	490.0	119.0	26.0	21.0	1852.0
50 – 59 -”-	93.0	246.0	390.0	149.0	54.0	68.0	2111.0	64.0	308.0	467.0	110.0	24.0	27.0	1831.0
60 – 69 -”-	134.0	230.0	296.0	159.0	77.0	104.0	2259.0	70.0	288.0	431.0	129.0	37.0	45.0	1959.0
70 лет и более	120.0	186.0	206.0	157.0	106.0	225.0	3004.0	92.0	258.0	339.0	157.0	68.0	86.0	2211.0
Городское население														
Женщины в возрасте 15 лет и более	218.0	290.0	337.0	91.0	29.0	35.0	1574.0	230.0	340.0	336.0	66.0	15.0	13.0	1350.0
15 – 17 лет	988.0	11.0	1.0	-	-	-	14.0	986.0	13.0	1.0	0.0	-	-	16.0
18 – 19 -”-	893.0	100.0	6.0	1.0	-	-	115.0	934.0	62.0	4.0	0.0	-	-	71.0
20 – 24 -”-	501.0	394.0	96.0	7.0	1.0	1.0	615.0	662.0	303.0	31.0	2.0	1.0	1.0	383.0
25 – 29 -”-	196.0	418.0	336.0	42.0	6.0	2.0	1254.0	293.0	549.0	141.0	12.0	2.0	3.0	901.0
30 – 39 -”-	100.0	311.0	473.0	91.0	16.0	9.0	1647.0	109.0	475.0	356.0	46.0	8.0	6.0	1397.0
40 – 49 -”-	86.0	329.0	461.0	92.0	18.0	14.0	1681.0	64.0	326.0	496.0	89.0	14.0	11.0	1708.0
50 – 59 -”-	99.0	295.0	428.0	121.0	32.0	25.0	1792.0	69.0	348.0	474.0	83.0	14.0	12.0	1675.0
60 – 69 -”-	137.0	263.0	331.0	150.0	61.0	58.0	1965.0	75.0	343.0	454.0	93.0	19.0	16.0	1703.0
70 лет и более	120.0	212.0	223.0	157.0	100.0	188.0	2774.0	92.0	299.0	371.0	140.0	50.0	48.0	1950.0
Сельское население														
Женщины в возрасте 15 лет и более	164.0	169.0	285.0	166.0	80.0	136.0	2435.0	177.0	201.0	341.0	156.0	56.0	69.0	1993.0
15 – 17 лет	979.0	19.0	2.0	-	-	-	23.0	980.0	19.0	1.0	0.0	-	-	22.0
18 – 19 -”-	776.0	200.0	22.0	2.0	-	-	251.0	854.0	134.0	11.0	1.0	-	-	158.0
20 – 24 -”-	351.0	406.0	206.0	31.0	5.0	1.0	936.0	497.0	394.0	96.0	10.0	2.0	1.0	630.0
25 – 29 -”-	119.0	272.0	438.0	127.0	31.0	13.0	1725.0	177.0	443.0	310.0	54.0	11.0	5.0	1301.0
30 – 39 -”-	63.0	156.0	441.0	211.0	67.0	62.0	2296.0	65.0	245.0	478.0	150.0	39.0	23.0	1938.0
40 – 49 -”-	57.0	134.0	380.0	223.0	83.0	123.0	2652.0	43.0	154.0	471.0	217.0	62.0	53.0	2303.0
50 – 59 -”-	78.0	125.0	295.0	219.0	108.0	175.0	2909.0	47.0	165.0	442.0	205.0	61.0	80.0	2384.0
60 – 69 -”-	127.0	156.0	219.0	179.0	114.0	205.0	2908.0	57.0	150.0	374.0	217.0	84.0	118.0	2598.0
70 лет и более	120.0	137.0	173.0	156.0	119.0	295.0	3439.0	91.0	169.0	269.0	195.0	108.0	168.0	2773.0
