4.2. НАЦИОНАЛЬНЫЙ СОСТАВ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																																																																																																	
																																																																																																	
	Всего	в том числе проживающие на территории																																																																																															
		Централь-ного федераль-ного округа	Белгород-ской области	Брянской области	Владимир-ской области	Воронежской области	Ивановской области	Калужской области	Костромской области	Курской области	Липецкой области	Московской области	Орловской области	Рязанской области	Смоленской области	Тамбовской области	Тверской области	Тульской области	Ярославской области	г. Москвы	Северо-Западного федераль-ного округа	Республики Карелия	Республики Коми 	Архангель-ской области	Ненецкого автономного округа	Вологодской области	Калинин-градской области	Ленин-градской области	Мурманской области	Новгород-ской области	Псковской области	г. Санкт-Петербурга	Южного федераль-ного округа	Республики Адыгея	Республики Дагестан	Республики Ингушетия	Кабардино-Балкарской Республики	Республики Калмыкия	Карачаево-Черкесской Республики	Республики Северная Осетия - Алания	Чеченской Республики	Красно-дарского края	Ставро-польского края	Астраханской области	Волго-градской области	Ростовской области	При-волжского федераль-ного округа	Республики Башкорто-стан	Республики Марий Эл	Республики Мордовия	Республики Татарстан	Удмуртской Республики	Чувашской Республики	Кировской области	Ниже-городской области	Оренбург-ской области	Пензенской области	Пермской области	Коми-Пермяцкого автономного округа	Самарской области	Саратовской области	Ульяновской области	Уральского федераль-ного округа	Курганской области	Свердлов-ской области	Тюменской области	Ханты-Мансийского автономного округа - Югра	Ямало-Ненецкого автономного округа	Челябинской области	Сибирского федераль-ного округа	Республики Алтай	Республики Бурятия	Республики Тыва	Республики Хакасия	Алтайского края	Краснояр-ского края	Таймырского (Долгано-Ненецкого) автономного округа	Эвенкий-ского автономного округа	Иркутской области	Усть-Ордынского Бурятского автономного округа	Кемеровской области	Ново-сибирской области	Омской области	Томской области	Читинской области	Агинского Бурятского автономного округа	Дальне-восточного федераль-ного округа	Республики Саха (Якутия)	Приморского края	Хабаров-ского края	Амурской области	Камчатской области	Корякского автономного округа	Магаданской области	Сахалинской области	Еврейской автономной области	Чукотского автономного округа
Все население	145166731.0	38000651.0	1511620.0	1378941.0	1523990.0	2378803.0	1148329.0	1041641.0	736641.0	1235091.0	1213499.0	6618538.0	860262.0	1227910.0	1049574.0	1178443.0	1471459.0	1675758.0	1367398.0	10382754.0	13974466.0	716281.0	1018674.0	1336539.0	41546.0	1269568.0	955281.0	1669205.0	892534.0	694355.0	760810.0	4661219.0	22907141.0	447109.0	2576531.0	467294.0	901494.0	292410.0	439470.0	710275.0	1103686.0	5125221.0	2735139.0	1005276.0	2699223.0	4404013.0	31154744.0	4104336.0	727979.0	888766.0	3779265.0	1570316.0	1313754.0	1503529.0	3524028.0	2179551.0	1452941.0	2819421.0	136076.0	3239737.0	2668310.0	1382811.0	12373926.0	1019532.0	4486214.0	3264841.0	1432817.0	507006.0	3603339.0	20062938.0	202947.0	981238.0	305510.0	546072.0	2607426.0	2966042.0	39786.0	17697.0	2581705.0	135327.0	2899142.0	2692251.0	2079220.0	1046039.0	1155346.0	72213.0	6692865.0	949280.0	2071210.0	1436570.0	902844.0	358801.0	25157.0	182726.0	546695.0	190915.0	53824.0
Абазины	37942.0	310.0	2.0	-	4.0	12.0	3.0	6.0	-	5.0	5.0	52.0	3.0	6.0	9.0	2.0	6.0	1.0	3.0	191.0	156.0	1.0	33.0	7.0	1.0	6.0	5.0	19.0	18.0	3.0	5.0	59.0	36640.0	71.0	20.0	-	514.0	27.0	32346.0	21.0	7.0	196.0	3300.0	26.0	36.0	76.0	123.0	5.0	1.0	3.0	7.0	4.0	6.0	7.0	14.0	5.0	1.0	18.0	-	18.0	26.0	8.0	490.0	5.0	19.0	456.0	292.0	156.0	10.0	149.0	-	6.0	3.0	7.0	7.0	41.0	1.0	-	30.0	-	21.0	13.0	12.0	6.0	3.0	-	74.0	20.0	14.0	4.0	2.0	17.0	-	6.0	11.0	-	-
Абхазы	11366.0	4862.0	55.0	30.0	20.0	121.0	23.0	64.0	25.0	46.0	27.0	510.0	21.0	17.0	19.0	17.0	52.0	66.0	62.0	3687.0	1172.0	14.0	45.0	19.0	-	22.0	20.0	110.0	35.0	26.0	17.0	864.0	3872.0	310.0	13.0	2.0	114.0	2.0	364.0	36.0	1.0	1988.0	198.0	14.0	141.0	689.0	658.0	89.0	8.0	23.0	74.0	28.0	16.0	19.0	66.0	35.0	27.0	36.0	1.0	85.0	122.0	30.0	289.0	8.0	91.0	123.0	68.0	19.0	67.0	343.0	3.0	9.0	-	5.0	44.0	60.0	1.0	-	21.0	-	38.0	34.0	101.0	9.0	19.0	-	170.0	16.0	49.0	30.0	27.0	19.0	-	7.0	19.0	1.0	2.0
Аварцы	814473.0	11448.0	350.0	122.0	333.0	481.0	491.0	244.0	243.0	211.0	312.0	1242.0	373.0	465.0	235.0	241.0	486.0	488.0	181.0	4950.0	3770.0	91.0	374.0	187.0	8.0	158.0	162.0	567.0	402.0	176.0	137.0	1516.0	785314.0	133.0	758438.0	102.0	386.0	2305.0	207.0	610.0	4133.0	1460.0	7167.0	4217.0	2118.0	4038.0	4735.0	239.0	163.0	53.0	251.0	137.0	73.0	211.0	459.0	461.0	131.0	301.0	5.0	563.0	1445.0	248.0	4100.0	76.0	680.0	2766.0	1910.0	584.0	578.0	3010.0	45.0	118.0	27.0	133.0	338.0	636.0	12.0	6.0	254.0	1.0	316.0	317.0	247.0	330.0	249.0	7.0	2096.0	305.0	579.0	457.0	371.0	131.0	3.0	13.0	149.0	86.0	5.0
Андийцы	21808.0	34.0	-	-	-	3.0	1.0	-	-	1.0	-	7.0	6.0	-	2.0	1.0	-	7.0	-	6.0	16.0	-	1.0	-	-	1.0	-	1.0	-	3.0	-	10.0	21711.0	-	21270.0	1.0	-	311.0	-	1.0	6.0	17.0	44.0	16.0	4.0	41.0	8.0	-	-	-	-	1.0	-	-	-	4.0	-	-	-	-	1.0	2.0	16.0	1.0	1.0	14.0	13.0	-	-	13.0	-	1.0	3.0	-	-	8.0	-	4.0	-	-	-	-	1.0	-	-	-	10.0	2.0	-	1.0	7.0	-	-	-	-	-	-
Арчинцы	89.0	65.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65.0	7.0	-	-	-	-	-	-	2.0	-	1.0	-	4.0	8.0	-	7.0	-	-	-	-	-	-	-	-	-	1.0	-	3.0	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1.0	-	2.0	-	1.0	1.0	-	-	-	2.0	-	-	-	-	-	-	-	-	1.0	-	-	-	1.0	-	-	-	2.0	-	-	-	-	-	-	-	2.0	-	-
Ахвахцы	6376.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	2.0	-	-	-	-	-	-	-	-	-	-	2.0	6366.0	-	6362.0	-	-	-	-	-	-	-	4.0	-	-	-	4.0	-	-	-	-	1.0	-	-	-	-	-	3.0	-	-	-	-	1.0	-	-	1.0	1.0	-	-	2.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Багулалы	40.0	4.0	-	-	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	2.0	7.0	-	-	-	-	1.0	-	1.0	-	-	-	5.0	23.0	-	18.0	1.0	-	-	-	-	-	-	1.0	-	-	3.0	1.0	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	4.0	-	2.0	1.0	-	1.0	-	-	-	-	-
Бежтинцы	6198.0	4.0	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	2.0	1.0	1.0	-	-	-	-	-	-	-	-	-	-	1.0	6188.0	-	6184.0	-	-	-	-	-	-	-	2.0	1.0	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	1.0	1.0	-	-	2.0	-	-	-	-	-	1.0	-	-	1.0	-	-	-	-	-	-	-	2.0	2.0	-	-	-	-	-	-	-	-	-
Ботлихцы	16.0	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.0	-	-	-	-	-	-	-	-	-	-	-	-	5.0	-	-	-	-	-	-	-	-	-	-	-	-	5.0	2.0	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	1.0	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Гинухцы	531.0	1.0	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	526.0	-	525.0	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	-	1.0	1.0	1.0	-	-	1.0	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	1.0	-	-	-	-	-
Годоберинцы	39.0	6.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.0	2.0	-	-	-	-	-	-	-	-	-	-	2.0	10.0	-	2.0	-	-	-	-	-	-	-	1.0	3.0	1.0	3.0	12.0	-	1.0	-	-	-	-	-	10.0	1.0	-	-	-	-	-	-	2.0	-	1.0	1.0	1.0	-	-	7.0	-	-	-	1.0	1.0	3.0	-	-	1.0	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Гунзибцы	998.0	9.0	-	-	-	-	-	-	-	-	-	4.0	-	-	-	-	-	-	-	5.0	1.0	-	-	-	-	-	-	-	-	-	-	1.0	982.0	-	972.0	-	-	-	-	2.0	-	-	4.0	1.0	-	3.0	2.0	-	-	-	-	-	-	-	-	1.0	-	1.0	-	-	-	-	1.0	-	-	1.0	1.0	-	-	3.0	-	-	-	-	-	-	-	-	-	-	1.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Дидойцы 	15256.0	30.0	-	-	4.0	-	12.0	-	-	-	-	6.0	1.0	-	-	-	-	-	1.0	6.0	1.0	-	-	-	-	-	-	-	-	-	-	1.0	15204.0	-	15176.0	5.0	-	1.0	-	1.0	1.0	8.0	4.0	2.0	-	6.0	14.0	-	-	-	-	-	-	-	14.0	-	-	-	-	-	-	-	3.0	-	2.0	-	-	-	1.0	2.0	-	-	-	-	-	1.0	-	-	-	-	-	-	1.0	-	-	-	2.0	-	1.0	-	1.0	-	-	-	-	-	-
Каратинцы	6052.0	13.0	3.0	-	-	1.0	-	-	-	-	-	3.0	-	-	-	-	-	1.0	-	5.0	1.0	-	-	-	-	-	-	1.0	-	-	-	-	6036.0	-	6019.0	-	-	-	-	-	-	3.0	2.0	4.0	-	8.0	1.0	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Тиндалы	44.0	3.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	-	-	36.0	-	33.0	1.0	-	-	-	-	-	1.0	-	1.0	-	-	1.0	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	-	-	3.0	-	-	1.0	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Хваршины	128.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	121.0	-	107.0	14.0	-	-	-	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	2.0	-	-	-	-	1.0	-	-	1.0	-	1.0	-	3.0	-	-	-	-	-	1.0	-	-	-	-	-	-	2.0	-	-	-	1.0	-	-	-	-	-	-	-	1.0	-	-
Чамалалы	12.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	-	-	-	-	-	-	1.0	-	-	-	-	5.0	-	3.0	2.0	-	-	-	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	2.0	-	-	-	-	2.0	1.0	-	1.0	1.0	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Агулы	28297.0	1077.0	43.0	22.0	10.0	76.0	59.0	20.0	12.0	29.0	18.0	72.0	312.0	88.0	2.0	28.0	26.0	68.0	17.0	175.0	242.0	18.0	19.0	6.0	1.0	57.0	7.0	36.0	20.0	16.0	7.0	56.0	25794.0	27.0	23314.0	26.0	18.0	98.0	28.0	26.0	16.0	357.0	1476.0	51.0	87.0	270.0	719.0	6.0	6.0	3.0	38.0	2.0	-	4.0	6.0	23.0	2.0	69.0	-	64.0	489.0	7.0	247.0	7.0	32.0	205.0	123.0	18.0	3.0	129.0	5.0	-	40.0	2.0	9.0	37.0	-	-	6.0	-	5.0	11.0	2.0	2.0	10.0	-	89.0	3.0	14.0	14.0	11.0	28.0	-	3.0	13.0	3.0	-
Адыгейцы	128528.0	1122.0	17.0	15.0	22.0	24.0	14.0	18.0	10.0	17.0	3.0	228.0	13.0	21.0	7.0	4.0	27.0	19.0	15.0	648.0	463.0	12.0	64.0	19.0	1.0	8.0	26.0	45.0	44.0	8.0	16.0	221.0	125801.0	108115.0	68.0	20.0	584.0	15.0	309.0	81.0	17.0	15821.0	208.0	49.0	126.0	388.0	293.0	18.0	14.0	5.0	19.0	2.0	5.0	4.0	40.0	33.0	10.0	26.0	-	57.0	48.0	12.0	354.0	2.0	45.0	270.0	176.0	79.0	37.0	262.0	3.0	4.0	1.0	12.0	14.0	99.0	4.0	-	39.0	-	26.0	24.0	11.0	21.0	8.0	-	233.0	52.0	56.0	34.0	29.0	26.0	1.0	22.0	8.0	2.0	4.0
Азербайджанцы	621840.0	161859.0	4531.0	2376.0	3090.0	4177.0	3166.0	3007.0	1438.0	1933.0	3375.0	14651.0	2125.0	2939.0	2416.0	2307.0	4607.0	4491.0	5667.0	95563.0	44452.0	1753.0	6066.0	3034.0	69.0	2665.0	2959.0	3855.0	4614.0	1574.0	1319.0	16613.0	185921.0	1399.0	111656.0	123.0	2281.0	800.0	1024.0	2429.0	226.0	11944.0	15069.0	8215.0	14257.0	16498.0	84183.0	5026.0	1157.0	672.0	9987.0	3908.0	857.0	2503.0	8309.0	7802.0	1679.0	5814.0	95.0	15046.0	16417.0	5006.0	66632.0	1723.0	15171.0	42359.0	25088.0	8353.0	7379.0	60699.0	266.0	1674.0	304.0	1672.0	5852.0	19447.0	239.0	29.0	6125.0	83.0	7250.0	7366.0	4260.0	4354.0	2129.0	55.0	18094.0	2293.0	4411.0	4463.0	3213.0	1311.0	38.0	563.0	1138.0	594.0	108.0
Алеуты	540.0	23.0	-	2.0	1.0	1.0	-	-	1.0	1.0	-	3.0	-	-	-	-	1.0	-	2.0	11.0	13.0	-	-	1.0	-	1.0	1.0	1.0	-	-	-	9.0	14.0	-	-	-	3.0	-	-	-	-	4.0	-	1.0	2.0	4.0	11.0	-	-	2.0	1.0	-	-	-	1.0	4.0	-	1.0	-	1.0	-	1.0	3.0	-	2.0	1.0	-	1.0	-	12.0	1.0	-	-	1.0	-	2.0	-	2.0	1.0	-	-	1.0	1.0	4.0	1.0	-	464.0	1.0	7.0	2.0	3.0	446.0	6.0	4.0	-	1.0	-
Алтайцы 	67239.0	198.0	3.0	-	8.0	7.0	-	9.0	4.0	8.0	6.0	40.0	5.0	5.0	3.0	1.0	7.0	4.0	3.0	85.0	176.0	3.0	7.0	13.0	1.0	7.0	10.0	11.0	21.0	2.0	2.0	100.0	245.0	2.0	17.0	20.0	14.0	6.0	-	2.0	65.0	43.0	20.0	8.0	7.0	41.0	142.0	5.0	-	2.0	10.0	3.0	7.0	13.0	16.0	16.0	3.0	28.0	1.0	19.0	16.0	4.0	144.0	4.0	43.0	81.0	48.0	21.0	16.0	65910.0	62192.0	64.0	55.0	77.0	1880.0	215.0	-	1.0	127.0	8.0	528.0	434.0	49.0	160.0	129.0	2.0	424.0	86.0	126.0	84.0	31.0	28.0	2.0	17.0	44.0	6.0	2.0
Американцы	1275.0	538.0	-	3.0	17.0	2.0	9.0	1.0	1.0	7.0	1.0	12.0	-	4.0	1.0	7.0	3.0	2.0	11.0	457.0	185.0	13.0	1.0	1.0	-	1.0	3.0	17.0	9.0	5.0	-	135.0	98.0	7.0	5.0	-	-	1.0	-	1.0	-	37.0	7.0	1.0	20.0	19.0	114.0	9.0	2.0	-	13.0	12.0	3.0	1.0	10.0	1.0	1.0	22.0	-	26.0	7.0	7.0	33.0	-	11.0	7.0	4.0	-	15.0	205.0	14.0	20.0	5.0	-	3.0	16.0	-	-	24.0	-	10.0	69.0	17.0	23.0	4.0	1.0	102.0	13.0	25.0	17.0	8.0	5.0	-	13.0	20.0	1.0	-
Англичане	529.0	249.0	4.0	-	2.0	6.0	1.0	4.0	1.0	-	-	12.0	-	2.0	-	2.0	-	-	1.0	214.0	79.0	1.0	-	3.0	1.0	3.0	-	4.0	2.0	1.0	-	65.0	43.0	-	-	2.0	-	7.0	-	3.0	-	14.0	5.0	1.0	4.0	7.0	25.0	3.0	-	2.0	3.0	2.0	2.0	1.0	1.0	1.0	-	4.0	-	4.0	-	2.0	19.0	2.0	12.0	4.0	2.0	1.0	1.0	49.0	-	3.0	3.0	1.0	5.0	8.0	-	-	2.0	-	1.0	7.0	1.0	18.0	-	-	65.0	4.0	4.0	1.0	7.0	1.0	-	8.0	39.0	1.0	-
Арабы	10630.0	5539.0	39.0	17.0	75.0	325.0	51.0	10.0	10.0	164.0	22.0	357.0	6.0	304.0	39.0	49.0	212.0	105.0	91.0	3663.0	1342.0	57.0	7.0	5.0	-	8.0	29.0	36.0	9.0	66.0	10.0	1115.0	2482.0	40.0	109.0	68.0	73.0	8.0	20.0	106.0	44.0	665.0	252.0	130.0	534.0	433.0	956.0	94.0	7.0	35.0	206.0	23.0	38.0	12.0	101.0	41.0	60.0	139.0	1.0	97.0	67.0	36.0	123.0	3.0	45.0	27.0	12.0	9.0	48.0	166.0	1.0	2.0	3.0	-	19.0	30.0	1.0	-	40.0	-	12.0	38.0	5.0	15.0	1.0	-	22.0	6.0	9.0	3.0	3.0	-	-	-	1.0	-	-
Арабы среднеазиатские	181.0	26.0	-	-	2.0	2.0	-	-	-	-	-	5.0	-	-	-	-	-	1.0	-	16.0	22.0	-	-	-	-	1.0	1.0	9.0	-	-	-	11.0	24.0	-	1.0	-	-	-	-	1.0	-	4.0	2.0	5.0	-	11.0	12.0	-	-	-	1.0	2.0	-	-	-	2.0	-	3.0	-	1.0	3.0	-	2.0	-	1.0	-	-	-	1.0	76.0	1.0	2.0	30.0	-	15.0	15.0	-	-	4.0	1.0	-	-	-	5.0	4.0	1.0	19.0	5.0	5.0	1.0	-	4.0	-	-	4.0	-	-
Армяне	1130491.0	249220.0	7824.0	3618.0	4999.0	8813.0	4012.0	7095.0	1462.0	5899.0	5398.0	39660.0	3507.0	4458.0	3893.0	4326.0	7331.0	6507.0	5993.0	124425.0	46271.0	1599.0	2102.0	1159.0	26.0	2150.0	8415.0	5518.0	1954.0	1940.0	2270.0	19164.0	615123.0	15268.0	5702.0	64.0	5342.0	887.0	3197.0	17147.0	424.0	274566.0	149249.0	6309.0	26974.0	109994.0	105083.0	8784.0	1104.0	1310.0	5922.0	3283.0	1261.0	2123.0	10786.0	10574.0	3670.0	4979.0	46.0	21566.0	24976.0	4745.0	36605.0	2109.0	11093.0	14802.0	6471.0	1554.0	8601.0	60286.0	493.0	2165.0	500.0	839.0	8105.0	10807.0	53.0	12.0	6849.0	363.0	10104.0	7850.0	6644.0	2336.0	3594.0	161.0	17903.0	2764.0	5641.0	2666.0	4045.0	948.0	22.0	330.0	1144.0	282.0	83.0
Ассирийцы	13649.0	3844.0	11.0	46.0	48.0	95.0	42.0	43.0	18.0	41.0	44.0	379.0	59.0	51.0	43.0	28.0	66.0	58.0	35.0	2737.0	768.0	35.0	16.0	29.0	-	50.0	15.0	70.0	23.0	18.0	25.0	487.0	7369.0	173.0	28.0	-	73.0	2.0	59.0	182.0	2.0	3764.0	872.0	92.0	82.0	2040.0	882.0	33.0	1.0	4.0	146.0	10.0	10.0	4.0	223.0	41.0	122.0	36.0	-	110.0	127.0	15.0	356.0	12.0	152.0	70.0	17.0	34.0	122.0	360.0	2.0	1.0	3.0	18.0	148.0	27.0	-	-	21.0	-	9.0	29.0	40.0	32.0	30.0	-	70.0	13.0	10.0	18.0	3.0	8.0	-	9.0	6.0	1.0	2.0
Балкарцы	108426.0	684.0	8.0	10.0	18.0	21.0	30.0	11.0	2.0	11.0	7.0	98.0	8.0	21.0	10.0	10.0	27.0	25.0	13.0	354.0	282.0	15.0	33.0	19.0	-	7.0	18.0	25.0	21.0	12.0	4.0	128.0	106777.0	18.0	32.0	9.0	104951.0	8.0	476.0	117.0	72.0	142.0	783.0	34.0	46.0	89.0	214.0	16.0	-	5.0	15.0	4.0	5.0	4.0	23.0	24.0	14.0	23.0	-	27.0	44.0	10.0	143.0	4.0	32.0	74.0	42.0	13.0	33.0	224.0	1.0	7.0	1.0	23.0	16.0	65.0	-	-	19.0	-	13.0	28.0	21.0	22.0	8.0	1.0	102.0	15.0	41.0	11.0	9.0	4.0	-	9.0	8.0	4.0	1.0
Башкиры	1673389.0	14950.0	314.0	151.0	724.0	400.0	490.0	451.0	203.0	177.0	214.0	3565.0	149.0	386.0	303.0	177.0	499.0	409.0	397.0	5941.0	9955.0	312.0	3149.0	474.0	33.0	232.0	562.0	1102.0	1162.0	253.0	256.0	2453.0	7741.0	214.0	383.0	51.0	192.0	100.0	134.0	315.0	594.0	2061.0	812.0	614.0	1129.0	1142.0	1349633.0	1221302.0	317.0	172.0	14911.0	4320.0	318.0	510.0	900.0	52685.0	368.0	40740.0	50.0	7885.0	3988.0	1217.0	265586.0	15343.0	37296.0	46575.0	35807.0	7932.0	166372.0	16638.0	62.0	539.0	101.0	336.0	728.0	3874.0	104.0	48.0	2451.0	73.0	3161.0	1104.0	1101.0	1953.0	1228.0	126.0	8886.0	2335.0	2101.0	1458.0	1183.0	575.0	45.0	344.0	586.0	188.0	116.0
