5. СОЦИАЛЬНО-ЭКОНОМИЧЕСКАЯ ХАРАКТЕРИСТИКА НАСЕЛЕНИЯ																		
5.1. НАСЕЛЕНИЕ ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																		
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																		
																		
	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
		доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безработице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Российская Федерация	186342612.0	62164676.0	18204172.0	3330048.0	31920155.0	4710562.0	16634398.0	1171309.0	1976010.0	349636.0	224627.0	43460265.0	2196754.0	1503688.0	103256429.0	38198840.0	2145739.0	62035.0
Центральный федеральный округ	45686748.0	17122308.0	3026155.0	871546.0	9084889.0	1316131.0	3126794.0	170829.0	412857.0	98497.0	37934.0	9719380.0	699428.0	746840.0	29187425.0	7710774.0	345612.0	10000.0
Белгородская область	2012694.0	608884.0	246073.0	29203.0	363771.0	66765.0	196536.0	5339.0	16343.0	3727.0	2782.0	461399.0	11872.0	6923.0	1018320.0	465221.0	20712.0	444.0
Брянская область	1890151.0	535595.0	222865.0	32326.0	360997.0	52452.0	236332.0	13956.0	13933.0	1838.0	814.0	410480.0	8563.0	1925.0	885502.0	470316.0	20782.0	416.0
Владимирская область	1926150.0	683016.0	166519.0	32585.0	383430.0	56666.0	158900.0	16484.0	20770.0	2566.0	818.0	381165.0	23231.0	18352.0	1104181.0	382726.0	18412.0	319.0
Воронежская область	2896065.0	923995.0	297210.0	42952.0	626024.0	89518.0	174488.0	11865.0	28245.0	4956.0	5343.0	648903.0	42566.0	17078.0	1845940.0	497841.0	17393.0	551.0
Ивановская область	1514242.0	492879.0	149886.0	33930.0	300577.0	34131.0	154869.0	9669.0	21693.0	1961.0	767.0	299122.0	14758.0	23246.0	753445.0	354507.0	16752.0	379.0
Калужская область	1331304.0	476793.0	81156.0	23188.0	259874.0	36663.0	135475.0	4043.0	9976.0	2161.0	743.0	284131.0	17101.0	3797.0	768027.0	247071.0	21864.0	882.0
Костромская область	987201.0	321857.0	119136.0	20118.0	182628.0	31426.0	81505.0	4773.0	11854.0	1272.0	416.0	200972.0	11244.0	6036.0	487819.0	229312.0	13147.0	327.0
Курская область	1656618.0	487307.0	217215.0	25503.0	321516.0	49162.0	167335.0	6761.0	11849.0	1711.0	697.0	360526.0	7036.0	2884.0	826209.0	388020.0	17548.0	430.0
Липецкая область	1514088.0	500661.0	161612.0	25494.0	299697.0	45108.0	101513.0	4074.0	14842.0	1907.0	2382.0	339583.0	17215.0	8904.0	905668.0	288565.0	10165.0	197.0
Московская область	7548810.0	3263535.0	189357.0	128960.0	1572033.0	169323.0	426569.0	23150.0	57042.0	14472.0	4376.0	1622115.0	77878.0	178119.0	5369442.0	1035000.0	34866.0	1111.0
Орловская область	1198203.0	355225.0	165263.0	25388.0	218484.0	30383.0	131908.0	4270.0	12903.0	1679.0	2509.0	239485.0	10706.0	5571.0	533582.0	299386.0	21069.0	654.0
Рязанская область	1603885.0	502663.0	165969.0	29905.0	333151.0	59111.0	150888.0	4207.0	19419.0	2095.0	796.0	324463.0	11218.0	13872.0	844411.0	350011.0	19021.0	595.0
Смоленская область	1304787.0	441646.0	106264.0	18600.0	256506.0	46749.0	104574.0	3210.0	17870.0	1767.0	536.0	290907.0	16158.0	11895.0	780032.0	248376.0	9083.0	188.0
Тамбовская область	1547527.0	421449.0	181032.0	24929.0	311586.0	56009.0	155701.0	11990.0	15977.0	1813.0	605.0	344889.0	21547.0	5042.0	813576.0	345780.0	13791.0	254.0
Тверская область	1886819.0	633454.0	169058.0	31239.0	403988.0	43339.0	170869.0	4212.0	24895.0	2617.0	922.0	373810.0	28416.0	14998.0	1044699.0	393509.0	17921.0	332.0
Тульская область	2078555.0	711345.0	114446.0	38068.0	489681.0	62418.0	185894.0	8239.0	23495.0	2924.0	693.0	419932.0	21420.0	4312.0	1284817.0	366772.0	19246.0	611.0
Ярославская область	1806106.0	637827.0	220114.0	34371.0	349537.0	47319.0	120368.0	9096.0	22658.0	3035.0	1062.0	353737.0	6982.0	11992.0	930910.0	398878.0	25047.0	571.0
г. Москва	10983543.0	5124177.0	52980.0	274787.0	2051409.0	339589.0	273070.0	25491.0	69093.0	45996.0	11673.0	2363761.0	351517.0	411894.0	8990845.0	949483.0	28793.0	1739.0
