5.2. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
	Всего		в том числе					
		работающие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Городское и сельское население в возрасте 15 лет и более	61583710.0	58304254.0	3225096.0	924185.0	1924154.0	251351.0	125406.0	54360.0
в том числе в возрасте, лет:								
15 – 19	1647420.0	1599431.0	46681.0	6894.0	30858.0	6320.0	2609.0	1308.0
20 – 29	14391576.0	13733860.0	645492.0	160169.0	402920.0	55381.0	27022.0	12224.0
30 – 39	15279471.0	14249218.0	1016733.0	324254.0	587293.0	68976.0	36210.0	13520.0
40 – 49	18639744.0	17580858.0	1043483.0	310841.0	618070.0	75665.0	38907.0	15403.0
50 – 54	6990326.0	6686589.0	297957.0	79777.0	180219.0	25729.0	12232.0	5780.0
55 – 59	2518363.0	2420008.0	95780.0	25658.0	56460.0	9360.0	4302.0	2575.0
60 – 64	1367695.0	1317294.0	48564.0	11354.0	29312.0	5478.0	2420.0	1837.0
65 и более	749115.0	716996.0	30406.0	5238.0	19022.0	4442.0	1704.0	1713.0
Возраст не указан	17109.0	15761.0	1171.0	395.0	388.0	312.0	76.0	177.0
Мужчины в возрасте 15 лет и более	31714717.0	29779943.0	1906323.0	602340.0	1086614.0	146765.0	70604.0	28451.0
в том числе в возрасте, лет:								
15 – 19	1020178.0	993903.0	25578.0	3924.0	16580.0	3665.0	1409.0	697.0
20 – 29	7893502.0	7492849.0	393888.0	104348.0	240054.0	33795.0	15691.0	6765.0
30 – 39	7851491.0	7217313.0	626884.0	217692.0	345991.0	42007.0	21194.0	7294.0
40 – 49	8952954.0	8354124.0	591152.0	196857.0	330940.0	42372.0	20983.0	7678.0
50 – 54	3349831.0	3183916.0	163091.0	50106.0	92835.0	13741.0	6409.0	2824.0
55 – 59	1452755.0	1390092.0	61239.0	17998.0	34699.0	5886.0	2656.0	1424.0
60 – 64	771756.0	742983.0	27778.0	7734.0	15657.0	3030.0	1357.0	995.0
65 и более	422250.0	404763.0	16713.0	3681.0	9858.0	2269.0	905.0	774.0
Возраст не указан	9919.0	9089.0	726.0	267.0	215.0	196.0	48.0	104.0
Женщины в возрасте 15 лет и более	29868993.0	28524311.0	1318773.0	321845.0	837540.0	104586.0	54802.0	25909.0
в том числе в возрасте, лет:								
15 – 19	627242.0	605528.0	21103.0	2970.0	14278.0	2655.0	1200.0	611.0
20 – 29	6498074.0	6241011.0	251604.0	55821.0	162866.0	21586.0	11331.0	5459.0
30 – 39	7427980.0	7031905.0	389849.0	106562.0	241302.0	26969.0	15016.0	6226.0
40 – 49	9686790.0	9226734.0	452331.0	113984.0	287130.0	33293.0	17924.0	7725.0
50 – 54	3640495.0	3502673.0	134866.0	29671.0	87384.0	11988.0	5823.0	2956.0
55 – 59	1065608.0	1029916.0	34541.0	7660.0	21761.0	3474.0	1646.0	1151.0
60 – 64	595939.0	574311.0	20786.0	3620.0	13655.0	2448.0	1063.0	842.0
65 и более	326865.0	312233.0	13693.0	1557.0	9164.0	2173.0	799.0	939.0
Возраст не указан	7190.0	6672.0	445.0	128.0	173.0	116.0	28.0	73.0
Городское население в возрасте 15 лет и более	48532143.0	45826816.0	2656113.0	806002.0	1562561.0	186460.0	101090.0	49214.0
в том числе в возрасте, лет:								
15 – 19	1264682.0	1226235.0	37294.0	5893.0	24639.0	4720.0	2042.0	1153.0
20 – 29	11470900.0	10916194.0	543574.0	143770.0	334551.0	43159.0	22094.0	11132.0
30 – 39	11855883.0	10998878.0	844748.0	286992.0	477912.0	50562.0	29282.0	12257.0
40 – 49	14392384.0	13536898.0	841708.0	264986.0	492473.0	53567.0	30682.0	13778.0
50 – 54	5580773.0	5332456.0	243080.0	67994.0	146374.0	18753.0	9959.0	5237.0
55 – 59	2091797.0	2009544.0	79883.0	22172.0	46827.0	7289.0	3595.0	2370.0
60 – 64	1204818.0	1161938.0	41167.0	9746.0	24596.0	4758.0	2067.0	1713.0
