7.2. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ 								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все население	в том числе население, проживающее						
		в индивидуальных домах	в отдельных квартирах	в коммунальных квартирах	в общежитиях	в институциональных учреждениях	в гостиницах	в других жилых помещениях
Российская Федерация	145166731.0	37609809.0	96330241.0	2270936.0	4721236.0	2270074.0	48032.0	1121458.0
Городские населенные пункты	106429049.0	14466175.0	81982204.0	2121697.0	4457873.0	1713821.0	42550.0	976251.0
Сельские населенные пункты	38737682.0	23143634.0	14348037.0	149239.0	263363.0	556253.0	5482.0	145207.0
Центральный федеральный округ	38000651.0	7168698.0	27399440.0	726443.0	1126550.0	472634.0	26727.0	806620.0
Городские населенные пункты	30366977.0	2833507.0	24345293.0	687528.0	1067724.0	360980.0	25371.0	799081.0
Сельские населенные пункты	7633674.0	4335191.0	3054147.0	38915.0	58826.0	111654.0	1356.0	7539.0
Белгородская область	1511620.0	651320.0	770930.0	8820.0	60138.0	13777.0	133.0	462.0
Городские населенные пункты	985584.0	222243.0	683434.0	7284.0	56237.0	12166.0	115.0	275.0
Сельские населенные пункты	526036.0	429077.0	87496.0	1536.0	3901.0	1611.0	18.0	187.0
Брянская область	1378941.0	624024.0	676244.0	7265.0	52295.0	13955.0	39.0	603.0
Городские населенные пункты	943382.0	304209.0	569168.0	6692.0	47966.0	12042.0	27.0	149.0
Сельские населенные пункты	435559.0	319815.0	107076.0	573.0	4329.0	1913.0	12.0	454.0
Владимирская область	1523990.0	277977.0	1146489.0	22811.0	43650.0	27284.0	78.0	214.0
Городские населенные пункты	1213865.0	143362.0	982504.0	21081.0	40907.0	21220.0	67.0	82.0
Сельские населенные пункты	310125.0	134615.0	163985.0	1730.0	2743.0	6064.0	11.0	132.0
Воронежская область	2378803.0	1038229.0	1204615.0	30782.0	66748.0	26923.0	152.0	1403.0
Городские населенные пункты	1471799.0	325307.0	1026132.0	27836.0	63672.0	19970.0	81.0	1058.0
Сельские населенные пункты	907004.0	712922.0	178483.0	2946.0	3076.0	6953.0	71.0	345.0
Ивановская область	1148329.0	293494.0	780342.0	19452.0	22693.0	24328.0	33.0	135.0
Городские населенные пункты	949249.0	196551.0	685461.0	19006.0	21457.0	19502.0	23.0	47.0
Сельские населенные пункты	199080.0	96943.0	94881.0	446.0	1236.0	4826.0	10.0	88.0
Калужская область	1041641.0	190191.0	775336.0	9735.0	48968.0	12998.0	64.0	301.0
Городские населенные пункты	779481.0	79255.0	631757.0	8713.0	46096.0	9996.0	55.0	137.0
Сельские населенные пункты	262160.0	110936.0	143579.0	1022.0	2872.0	3002.0	9.0	164.0
Костромская область	736641.0	159736.0	532037.0	6357.0	23583.0	13232.0	78.0	93.0
Городские населенные пункты	496145.0	70150.0	389533.0	5803.0	21026.0	8413.0	78.0	49.0
Сельские населенные пункты	240496.0	89586.0	142504.0	554.0	2557.0	4819.0	-	44.0
Курская область	1235091.0	550409.0	618984.0	9007.0	42128.0	10645.0	171.0	353.0
Городские населенные пункты	756480.0	161923.0	536699.0	7917.0	40074.0	7629.0	137.0	137.0
Сельские населенные пункты	478611.0	388486.0	82285.0	1090.0	2054.0	3016.0	34.0	216.0
Липецкая область	1213499.0	415045.0	742487.0	9020.0	28278.0	10760.0	75.0	1765.0
Городские населенные пункты	779983.0	137268.0	593759.0	8131.0	25890.0	8740.0	32.0	1511.0
Сельские населенные пункты	433516.0	277777.0	148728.0	889.0	2388.0	2020.0	43.0	254.0
Московская область	6618538.0	599411.0	5548506.0	155957.0	131948.0	119788.0	4294.0	9024.0
Городские населенные пункты	5248534.0	285356.0	4584946.0	135909.0	110625.0	82665.0	3322.0	5017.0
Сельские населенные пункты	1370004.0	314055.0	963560.0	20048.0	21323.0	37123.0	972.0	4007.0
Орловская область	860262.0	332483.0	476054.0	6071.0	28436.0	14028.0	303.0	441.0
Городские населенные пункты	546478.0	102470.0	401631.0	5326.0	26194.0	8957.0	275.0	92.0
Сельские населенные пункты	313784.0	230013.0	74423.0	745.0	2242.0	5071.0	28.0	349.0
Рязанская область	1227910.0	340703.0	815497.0	10990.0	35514.0	21389.0	377.0	352.0
Городские населенные пункты	846180.0	114596.0	669458.0	10246.0	33430.0	15345.0	362.0	177.0
Сельские населенные пункты	381730.0	226107.0	146039.0	744.0	2084.0	6044.0	15.0	175.0
Смоленская область	1049574.0	286153.0	669444.0	11311.0	59788.0	18156.0	171.0	608.0
Городские населенные пункты	743599.0	113229.0	546553.0	10328.0	58477.0	11126.0	160.0	482.0
Сельские населенные пункты	305975.0	172924.0	122891.0	983.0	1311.0	7030.0	11.0	126.0
Тамбовская область	1178443.0	518263.0	598487.0	11255.0	30792.0	15014.0	394.0	225.0
Городские населенные пункты	674095.0	168785.0	454987.0	10033.0	29072.0	8121.0	384.0	98.0
Сельские населенные пункты	504348.0	349478.0	143500.0	1222.0	1720.0	6893.0	10.0	127.0
Тверская область	1471459.0	392648.0	979652.0	27704.0	41797.0	22508.0	110.0	1277.0
Городские населенные пункты	1075746.0	158404.0	830912.0	26169.0	40710.0	14068.0	73.0	987.0
Сельские населенные пункты	395713.0	234244.0	148740.0	1535.0	1087.0	8440.0	37.0	290.0
Тульская область	1675758.0	286433.0	1292653.0	30703.0	35791.0	22160.0	168.0	707.0
Городские населенные пункты	1366818.0	155240.0	1122415.0	29370.0	33552.0	19240.0	163.0	440.0
Сельские населенные пункты	308940.0	131193.0	170238.0	1333.0	2239.0	2920.0	5.0	267.0
Ярославская область	1367398.0	187414.0	1079892.0	34053.0	36889.0	24563.0	220.0	506.0
Городские населенные пункты	1106805.0	70394.0	944153.0	32534.0	35225.0	20654.0	150.0	192.0
Сельские населенные пункты	260593.0	117020.0	135739.0	1519.0	1664.0	3909.0	70.0	314.0
г. Москва - городские населенные пункты	10382754.0	24765.0	8691791.0	315150.0	337114.0	61126.0	19867.0	788151.0
Северо-Западный федеральный округ	13974466.0	1424043.0	11021108.0	633345.0	475284.0	289665.0	3200.0	25374.0
Городские населенные пункты	11502402.0	465463.0	9618263.0	618776.0	457820.0	225816.0	2581.0	20105.0
Сельские населенные пункты	2472064.0	958580.0	1402845.0	14569.0	17464.0	63849.0	619.0	5269.0
Республика Карелия	716281.0	62877.0	604266.0	4951.0	26746.0	14523.0	99.0	475.0
Городские населенные пункты	537395.0	22833.0	470515.0	4669.0	26168.0	11037.0	95.0	204.0
Сельские населенные пункты	178886.0	40044.0	133751.0	282.0	578.0	3486.0	4.0	271.0
Республика Коми	1018674.0	123641.0	808440.0	6338.0	49722.0	25500.0	149.0	2475.0
Городские населенные пункты	766587.0	17685.0	675923.0	5670.0	46028.0	16783.0	112.0	2281.0
Сельские населенные пункты	252087.0	105956.0	132517.0	668.0	3694.0	8717.0	37.0	194.0
Архангельская область	1336539.0	178959.0	1053949.0	30730.0	35065.0	33324.0	81.0	1451.0
Городские населенные пункты	999591.0	50938.0	859152.0	29495.0	33805.0	23362.0	55.0	470.0
Сельские населенные пункты	336948.0	128021.0	194797.0	1235.0	1260.0	9962.0	26.0	981.0
Ненецкий автономный округ	41546.0	8917.0	29030.0	198.0	1753.0	679.0	3.0	910.0
Городские населенные пункты	26242.0	1691.0	21950.0	146.0	1732.0	479.0	-	207.0
Сельские населенные пункты	15304.0	7226.0	7080.0	52.0	21.0	200.0	3.0	703.0
Вологодская область	1269568.0	218615.0	959016.0	15081.0	51186.0	20852.0	105.0	282.0
Городские населенные пункты	876572.0	48199.0	745309.0	13860.0	49187.0	16174.0	83.0	141.0
Сельские населенные пункты	392996.0	170416.0	213707.0	1221.0	1999.0	4678.0	22.0	141.0
Калининградская область	955281.0	113180.0	753439.0	13931.0	34771.0	30131.0	426.0	4769.0
Городские населенные пункты	741487.0	33722.0	628895.0	12774.0	33023.0	24892.0	389.0	3760.0
Сельские населенные пункты	213794.0	79458.0	124544.0	1157.0	1748.0	5239.0	37.0	1009.0
Ленинградская область	1669205.0	218604.0	1327401.0	37660.0	33283.0	33780.0	640.0	3880.0
Городские населенные пункты	1108762.0	85824.0	932653.0	29430.0	27010.0	22823.0	212.0	1663.0
Сельские населенные пункты	560443.0	132780.0	394748.0	8230.0	6273.0	10957.0	428.0	2217.0
Мурманская область	892534.0	4312.0	822228.0	11060.0	14820.0	35512.0	140.0	1462.0
Городские населенные пункты	823215.0	2132.0	765642.0	10828.0	14211.0	26158.0	93.0	1286.0
Сельские населенные пункты	69319.0	2180.0	56586.0	232.0	609.0	9354.0	47.0	176.0
Новгородская область	694355.0	193233.0	459092.0	10336.0	16888.0	11411.0	237.0	839.0
Городские населенные пункты	484920.0	73619.0	375114.0	9617.0	16504.0	7236.0	228.0	698.0
Сельские населенные пункты	209435.0	119614.0	83978.0	719.0	384.0	4175.0	9.0	141.0
Псковская область	760810.0	263092.0	445229.0	8693.0	22877.0	18059.0	329.0	333.0
Городские населенные пункты	502654.0	82981.0	377012.0	7868.0	21958.0	10778.0	320.0	194.0
Сельские населенные пункты	258156.0	180111.0	68217.0	825.0	919.0	7281.0	9.0	139.0
г. Санкт-Петербург - городские населенные пункты	4661219.0	47530.0	3788048.0	494565.0	189926.0	66573.0	994.0	9408.0
Южный федеральный округ	22907141.0	12005041.0	9479331.0	197258.0	603543.0	322851.0	5616.0	161601.0
Городские населенные пункты	13166327.0	4362252.0	7711470.0	145622.0	557015.0	219500.0	4542.0	76219.0
Сельские населенные пункты	9740814.0	7642789.0	1767861.0	51636.0	46528.0	103351.0	1074.0	85382.0
Республика Адыгея	447109.0	270073.0	159816.0	675.0	6933.0	6470.0	13.0	1674.0
Городские населенные пункты	234900.0	92253.0	129944.0	556.0	6600.0	4441.0	11.0	252.0
Сельские населенные пункты	212209.0	177820.0	29872.0	119.0	333.0	2029.0	2.0	1422.0
Республика Дагестан	2576531.0	1821092.0	610489.0	40423.0	64721.0	16655.0	81.0	5089.0
Городские населенные пункты	1102577.0	467157.0	535217.0	12860.0	61509.0	13387.0	73.0	2896.0
Сельские населенные пункты	1473954.0	1353935.0	75272.0	27563.0	3212.0	3268.0	8.0	2193.0
Республика Ингушетия	467294.0	318651.0	73125.0	7363.0	4139.0	3738.0	5.0	53450.0
Городские населенные пункты	198496.0	124100.0	45163.0	4477.0	627.0	1367.0	-	19952.0
Сельские населенные пункты	268798.0	194551.0	27962.0	2886.0	3512.0	2371.0	5.0	33498.0
Кабардино-Балкарская Республика	901494.0	549007.0	315029.0	2297.0	21761.0	8476.0	218.0	717.0
Городские населенные пункты	510346.0	188738.0	290735.0	1280.0	20925.0	5030.0	218.0	667.0
Сельские населенные пункты	391148.0	360269.0	24294.0	1017.0	836.0	3446.0	-	50.0
Республика Калмыкия	292410.0	143824.0	135917.0	1355.0	7210.0	2541.0	44.0	275.0
Городские населенные пункты	129539.0	48047.0	72203.0	810.0	6635.0	943.0	44.0	169.0
Сельские населенные пункты	162871.0	95777.0	63714.0	545.0	575.0	1598.0	-	106.0
Карачаево-Черкесская Республика	439470.0	282244.0	142498.0	1012.0	9029.0	1808.0	23.0	179.0
Городские населенные пункты	193531.0	67491.0	115183.0	651.0	8186.0	733.0	16.0	52.0
Сельские населенные пункты	245939.0	214753.0	27315.0	361.0	843.0	1075.0	7.0	127.0
Республика Северная Осетия - Алания	710275.0	349950.0	314840.0	2502.0	13109.0	19225.0	638.0	6231.0
Городские населенные пункты	464875.0	141592.0	288601.0	1890.0	11987.0	16754.0	344.0	834.0
Сельские населенные пункты	245400.0	208358.0	26239.0	612.0	1122.0	2471.0	294.0	5397.0
Чеченская Республика	1103686.0	789190.0	201258.0	9586.0	7316.0	34066.0	148.0	54180.0
Городские населенные пункты	373177.0	197436.0	125040.0	1850.0	6882.0	7594.0	133.0	31831.0
Сельские населенные пункты	730509.0	591754.0	76218.0	7736.0	434.0	26472.0	15.0	22349.0
Краснодарский край	5125221.0	2825276.0	2021454.0	26113.0	127061.0	68969.0	2631.0	20865.0
Городские населенные пункты	2740544.0	1004066.0	1519731.0	21792.0	112584.0	43733.0	2271.0	11756.0
Сельские населенные пункты	2384677.0	1821210.0	501723.0	4321.0	14477.0	25236.0	360.0	9109.0
Ставропольский край	2735139.0	1422381.0	1113725.0	14550.0	119016.0	44295.0	685.0	10752.0
Городские населенные пункты	1530591.0	527443.0	836707.0	11812.0	112668.0	31727.0	463.0	3069.0
Сельские населенные пункты	1204548.0	894938.0	277018.0	2738.0	6348.0	12568.0	222.0	7683.0
Астраханская область	1005276.0	387165.0	552244.0	4087.0	36732.0	16757.0	476.0	1705.0
Городские населенные пункты	680441.0	161367.0	462816.0	3554.0	31832.0	14912.0	467.0	580.0
Сельские населенные пункты	324835.0	225798.0	89428.0	533.0	4900.0	1845.0	9.0	1125.0
Волгоградская область	2699223.0	953147.0	1568914.0	30332.0	85464.0	43577.0	262.0	3327.0
Городские населенные пункты	2029785.0	455729.0	1409369.0	29396.0	83232.0	37862.0	211.0	2323.0
Сельские населенные пункты	669438.0	497418.0	159545.0	936.0	2232.0	5715.0	51.0	1004.0
Ростовская область	4404013.0	1893041.0	2270022.0	56963.0	101052.0	56274.0	392.0	3157.0
Городские населенные пункты	2977525.0	886833.0	1880761.0	54694.0	93348.0	41017.0	291.0	1838.0
Сельские населенные пункты	1426488.0	1006208.0	389261.0	2269.0	7704.0	15257.0	101.0	1319.0
Приволжский федеральный округ	31154744.0	8740221.0	20383514.0	412910.0	1050262.0	439601.0	4158.0	11974.0
Городские населенные пункты	22047106.0	2919963.0	17327475.0	390284.0	989476.0	321257.0	3317.0	6008.0
Сельские населенные пункты	9107638.0	5820258.0	3056039.0	22626.0	60786.0	118344.0	841.0	5966.0
Республика Башкортостан	4104336.0	1497036.0	2319350.0	48204.0	183672.0	35871.0	441.0	3366.0
Городские населенные пункты	2626613.0	369721.0	2005035.0	44191.0	162848.0	32007.0	286.0	1134.0
Сельские населенные пункты	1477723.0	1127315.0	314315.0	4013.0	20824.0	3864.0	155.0	2232.0
Республика Марий Эл	727979.0	218277.0	463844.0	5821.0	28571.0	9957.0	209.0	46.0
Городские населенные пункты	459687.0	46145.0	376939.0	4904.0	26013.0	4632.0	169.0	27.0
Сельские населенные пункты	268292.0	172132.0	86905.0	917.0	2558.0	5325.0	40.0	19.0
Республика Мордовия	888766.0	344442.0	485838.0	5465.0	29944.0	21790.0	118.0	112.0
Городские населенные пункты	531478.0	83602.0	408125.0	4390.0	29057.0	5485.0	118.0	51.0
Сельские населенные пункты	357288.0	260840.0	77713.0	1075.0	887.0	16305.0	-	61.0
Республика Татарстан	3779265.0	1101920.0	2431632.0	56761.0	141316.0	30688.0	297.0	2279.0
Городские населенные пункты	2790661.0	324956.0	2233647.0	54733.0	137602.0	26591.0	173.0	1590.0
Сельские населенные пункты	988604.0	776964.0	197985.0	2028.0	3714.0	4097.0	124.0	689.0
Удмуртская Республика	1570316.0	411647.0	1057565.0	19076.0	55157.0	21070.0	145.0	674.0
Городские населенные пункты	1094338.0	146791.0	863206.0	18022.0	52163.0	9634.0	142.0	376.0
Сельские населенные пункты	475978.0	264856.0	194359.0	1054.0	2994.0	11436.0	3.0	298.0
Чувашская Республика	1313754.0	528412.0	691371.0	10877.0	62603.0	16845.0	83.0	184.0
Городские населенные пункты	796196.0	80534.0	628172.0	10120.0	60687.0	14462.0	80.0	70.0
Сельские населенные пункты	517558.0	447878.0	63199.0	757.0	1916.0	2383.0	3.0	114.0
Кировская область	1503529.0	302044.0	1094509.0	27919.0	49796.0	26993.0	78.0	77.0
Городские населенные пункты	1079024.0	119721.0	861538.0	27027.0	48338.0	20779.0	59.0	27.0
Сельские населенные пункты	424505.0	182323.0	232971.0	892.0	1458.0	6214.0	19.0	50.0
Нижегородская область	3524028.0	761524.0	2565466.0	39353.0	83015.0	57438.0	229.0	573.0
Городские населенные пункты	2754997.0	334757.0	2254285.0	36980.0	80006.0	34315.0	143.0	394.0
