7.5. ОБЩАЯ ПЛОЩАДЬ, В СРЕДНЕМ ПРИХОДЯЩАЯСЯ НА ОДНОГО ЧЛЕНА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩИХ В 				
ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ				
(без снимающих жилые помещения у отдельных граждан)				
				
	Средний размер общей площади, приходящейся на одного человека (кв. м)			
	в индивидуальных домах, отдельных и коммунальных квартирах	в индивидуальных домах	в отдельных квартирах	в коммунальных квартирах
Российская Федерация	19.0	21.0	18.0	14.0
Центральный федеральный округ				
Белгородская область	21.0	23.0	19.0	13.0
Брянская область	21.0	24.0	18.0	14.0
Владимирская область	19.0	24.0	18.0	13.0
Воронежская область	21.0	24.0	19.0	15.0
Ивановская область	19.0	22.0	19.0	15.0
Калужская область	19.0	25.0	18.0	13.0
Костромская область	20.0	23.0	19.0	13.0
Курская область	20.0	23.0	18.0	12.0
Липецкая область	20.0	24.0	18.0	13.0
Московская область	19.0	29.0	18.0	14.0
Орловская область	20.0	24.0	18.0	13.0
Рязанская область	20.0	24.0	18.0	14.0
Смоленская область	20.0	24.0	19.0	13.0
Тамбовская область	21.0	23.0	18.0	13.0
Тверская область	20.0	25.0	19.0	14.0
Тульская область	19.0	23.0	19.0	15.0
Ярославская область	19.0	24.0	19.0	14.0
г. Москва	20.0	23.0	20.0	13.0
Северо-Западный федеральный округ				
Республика Карелия	20.0	25.0	19.0	14.0
Республика Коми	19.0	24.0	19.0	11.0
Архангельская область	20.0	27.0	18.0	14.0
Ненецкий автономный округ	17.0	20.0	16.0	13.0
Вологодская область	20.0	27.0	19.0	14.0
Калининградская область	19.0	23.0	18.0	14.0
Ленинградская область	20.0	25.0	19.0	14.0
Мурманская область	20.0	24.0	20.0	15.0
Новгородская область	20.0	25.0	19.0	14.0
Псковская область	21.0	25.0	19.0	14.0
г. Санкт–Петербург	19.0	24.0	19.0	16.0
Южный федеральный округ				
Республика Адыгея	20.0	21.0	18.0	15.0
Республика Дагестан	19.0	21.0	13.0	16.0
Республика Ингушетия	11.0	12.0	9.0	8.0
Кабардино–Балкарская Республика	17.0	18.0	15.0	13.0
Республика Калмыкия	19.0	19.0	18.0	11.0
Карачаево-Черкесская Республика	18.0	19.0	17.0	13.0
Республика Северная Осетия – Алания	18.0	20.0	17.0	13.0
Чеченская Республика	15.0	15.0	11.0	11.0
Краснодарский край	19.0	21.0	18.0	13.0
Ставропольский край	20.0	21.0	18.0	13.0
Астраханская область	18.0	19.0	18.0	12.0
Волгоградская область	19.0	21.0	18.0	14.0
Ростовская область	19.0	21.0	18.0	14.0
Приволжский федеральный округ				
Республика Башкортостан	18.0	19.0	17.0	11.0
Республика Марий Эл	18.0	18.0	18.0	12.0
Республика Мордовия	20.0	23.0	17.0	14.0
Республика Татарстан	18.0	20.0	17.0	11.0
Удмуртская Республика	17.0	18.0	17.0	12.0
Чувашская Республика	19.0	21.0	17.0	11.0
Кировская область	19.0	20.0	18.0	14.0
Нижегородская область	20.0	24.0	18.0	14.0
Оренбургская область	20.0	21.0	18.0	14.0
Пензенская область	20.0	23.0	18.0	13.0
Пермская область	18.0	18.0	17.0	12.0
Коми–Пермяцкий автономный округ	16.0	17.0	16.0	14.0
Самарская  область	19.0	22.0	18.0	13.0
Саратовская область	19.0	21.0	19.0	14.0
Ульяновская область	19.0	22.0	18.0	13.0
Уральский федеральный округ				
Курганская область	18.0	20.0	18.0	12.0
Свердловская область	19.0	20.0	19.0	14.0
Тюменская область	18.0	20.0	18.0	11.0
Ханты-Мансийский автономный округ - Югра	18.0	22.0	17.0	11.0
Ямало-Ненецкий автономный округ	18.0	20.0	18.0	12.0
Челябинская область	19.0	19.0	19.0	13.0
Сибирский федеральный округ				
Республика Алтай	16.0	16.0	17.0	12.0
Республика Бурятия	17.0	16.0	17.0	11.0
Республика Тыва	14.0	12.0	15.0	9.0
Республика Хакасия	19.0	19.0	19.0	11.0
Алтайский край	19.0	20.0	19.0	12.0
Красноярский край	19.0	20.0	19.0	13.0
Таймырский (Долгано-Ненецкий) автономный округ	16.0	12.0	17.0	10.0
Эвенкийский автономный округ	19.0	20.0	19.0	16.0
Иркутская область	18.0	18.0	18.0	13.0
Усть-Ордынский Бурятский автономный округ	17.0	17.0	17.0	11.0
Кемеровская область	19.0	19.0	19.0	14.0
Новосибирская область	18.0	19.0	18.0	13.0
Омская область	19.0	20.0	18.0	13.0
Томская область	18.0	20.0	18.0	12.0
Читинская область	17.0	16.0	18.0	13.0
Агинский Бурятский автономный округ	15.0	15.0	16.0	13.0
Дальневосточный федеральный округ				
Республика Саха (Якутия)	18.0	18.0	17.0	12.0
Приморский край	18.0	19.0	18.0	12.0
Хабаровский край	19.0	18.0	19.0	14.0
Амурская область	18.0	17.0	19.0	13.0
Камчатская область	19.0	21.0	19.0	15.0
Корякский автономный округ	18.0	15.0	18.0	15.0
Магаданская область	22.0	22.0	22.0	20.0
Сахалинская область	19.0	21.0	19.0	12.0
Еврейская автономная область	18.0	17.0	18.0	12.0
Чукотский автономный округ	20.0	15.0	20.0	14.0
