8.3. НАСЕЛЕНИЕ, ВРЕМЕННО НАХОДИВШЕЕСЯ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ, 							
ПО СТРАНЕ ПОСТОЯННОГО ПРОЖИВАНИЯ И ЦЕЛИ ПРИЕЗДА В РОССИЮ							
							
	Всего	в том числе указали целью приезда					Не указавшие цели приезда
		работу	служебную или деловую поездку	туризм, отдых или лечение	транзитную миграцию	другие цели	
Население, временно находившееся на территории Российской Федерации	239018.0	156317.0	13542.0	26537.0	2677.0	37668.0	2277.0
в том числе постоянно проживают:							
в странах СНГ	152806.0	106713.0	5343.0	15510.0	2067.0	22309.0	864.0
Азербайджане	17348.0	11160.0	443.0	1885.0	200.0	3558.0	102.0
Армении	13131.0	7878.0	416.0	1855.0	210.0	2669.0	103.0
Белоруссии	8006.0	5026.0	647.0	1210.0	52.0	1026.0	45.0
Грузии	6604.0	3790.0	287.0	928.0	148.0	1401.0	50.0
Казахстане	7434.0	2648.0	487.0	1933.0	212.0	2118.0	36.0
Киргизии	9984.0	8147.0	121.0	444.0	80.0	1130.0	62.0
Молдавии	9620.0	7663.0	322.0	531.0	144.0	896.0	64.0
Таджикистане	26339.0	23050.0	318.0	629.0	492.0	1751.0	99.0
Туркмении	735.0	274.0	23.0	111.0	46.0	279.0	2.0
Узбекистане	18425.0	13541.0	542.0	1517.0	246.0	2450.0	129.0
Украине	35180.0	23536.0	1737.0	4467.0	237.0	5031.0	172.0
в других странах мира	63488.0	36762.0	6928.0	8725.0	264.0	10432.0	377.0
Афганистане	1970.0	1424.0	13.0	35.0	41.0	435.0	22.0
Болгарии	459.0	296.0	40.0	58.0	4.0	60.0	1.0
Вьетнаме	4525.0	2895.0	269.0	247.0	22.0	1072.0	20.0
Германии	2348.0	173.0	533.0	1134.0	19.0	483.0	6.0
Греции	326.0	46.0	29.0	187.0	1.0	63.0	-
Израиле	506.0	37.0	130.0	196.0	4.0	137.0	2.0
Индии	694.0	276.0	84.0	28.0	1.0	296.0	9.0
Китае	25709.0	18784.0	1276.0	2032.0	45.0	3404.0	168.0
Латвии	786.0	138.0	99.0	254.0	11.0	280.0	4.0
Литве	963.0	454.0	95.0	169.0	7.0	234.0	4.0
Сирии	107.0	23.0	7.0	23.0	1.0	53.0	-
США	2008.0	264.0	752.0	547.0	6.0	426.0	13.0
Турции	5108.0	4696.0	152.0	103.0	5.0	114.0	38.0
Финляндии	653.0	84.0	181.0	220.0	4.0	160.0	4.0
Эстонии	785.0	125.0	74.0	349.0	11.0	224.0	2.0
прочих странах	16541.0	7047.0	3194.0	3143.0	82.0	2991.0	84.0
не указавшие территорию	22724.0	12842.0	1271.0	2302.0	346.0	4927.0	1036.0
