															
3. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И СОСТОЯНИЮ В БРАКЕ															
															
															
	Всего	в том числе							На 1000 человек данного пола и возраста						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедши- еся	не указавшие состояние в браке	состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедши- еся	не указавшие состояние в браке
			в зарегистриро- ванном браке	в незарегист- рированном браке						в зарегистриро- ванном браке	в незарегист- рированном браке				
Все население															
Мужчины и женщины в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	118843574.0	67900666.0	61271154.0	6629512.0	24922792.0	13581585.0	11186210.0	1252321.0	571.0	515.0	56.0	210.0	114.0	94.0	11.0
в том числе в возрасте, лет:															
  до 16	4126.0	3714.0	1496.0	2218.0		183.0	229.0		900.0	363.0	537.0		44.0	56.0	
16 – 17	5042572.0	65957.0	30419.0	35538.0	4879404.0	1123.0	3074.0	93014.0	13.0	6.0	7.0	968.0	0.0	1.0	18.0
18 – 19	5177374.0	382787.0	254569.0	128218.0	4722291.0	1867.0	13239.0	57190.0	74.0	49.0	25.0	912.0	0.0	3.0	11.0
20 – 24	11466404	3781508	3022310	759198	7248460	21187	278564	136685	330	264	66	632	2	24	12
25 – 29	10612976	6527925	5553548	974377	3010002	66158	884335	124556	615	523	92	284	6	83	12
30 – 34	9836374	6954033	6088137	865896	1361574	125790	1274144	120833	707	619	88	138	13	130	12
35 – 39	10216384	7597205	6833268	763937	854288	221766	1438348	104777	744	669	75	83	22	141	10
40 – 44	12546470	9457459	8642801	814658	759322	429224	1787794	112671	754	689	65	61	34	142	9
45 – 49	11605892	8669135	7976483	692652	574140	624761	1642512	95344	747	687	60	49	54	142	8
50 – 54	10071198	7328179	6787572	540607	416747	881036	1358642	86594	728	674	54	41	87	135	9
55 – 59	5347399	3713388	3463387	250001	188915	720910	672314	51872	694	647	47	35	135	126	10
60 – 64	7983062	5097481	4770927	326554	231177	1812286	783631	58487	639	598	41	29	227	98	7
65 – 69	6344576	3708582	3488315	220267	171752	1945890	477095	41257	585	550	35	27	307	75	6
70 и более	12468872	4584888	4332483	252405	499276	6727518	569808	87382	368	348	20	40	539	46	7
возраст не указан	119895	28425	25439	2986	5444	1886	2481	81659	237	212	25	45	16	21	681
Мужчины в возрасте 16 лет и более, включая мужчин до 16 лет, указавших состояние в браке	54154219.0	33916617.0	30594556.0	3322061.0	13601996.0	1930033.0	4089507.0	616066.0	626.0	565.0	61.0	251.0	36.0	76.0	11.0
в том числе в возрасте, лет:															
  до 16	1116.0	953.0	554.0	399.0		73.0	90.0		854.0	496.0	358.0		65.0	81.0	
16 – 17	2557374.0	10602.0	4614.0	5988.0	2495055.0	476.0	1124.0	50117.0	4.0	2.0	2.0	976.0	0.0	0.0	20.0
