																			
1. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Все население	Всего указали источников средств к существованию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
			доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Городское и сельское население	145166731.0	186342612.0	62164676.0	18204172.0	3330048.0	31920155.0	4710562.0	16634398.0	1171309.0	1976010.0	349636.0	224627.0	43460265.0	2196754.0	1503688.0	103256429.0	38198840.0	2145739.0	62035.0
из него в возрасте, лет:																			
до 15	23746601.0	36626653.0	2734.0	270505.0	12757.0	449771.0	246549.0	12838110.0	-	335451.0	3857.0	17442.0	22390674.0	58803.0	166766.0	11081129.0	11964199.0	521060.0	13447.0
15 – 19	12800628.0	17828504.0	1668691.0	618776.0	2348257.0	330224.0	184319.0	2115927.0	68418.0	278933.0	7711.0	7017.0	10098213.0	102018.0	97864.0	8056398.0	4187632.0	438753.0	19981.0
20 – 29	22079380.0	25882889.0	14523018.0	2172491.0	955206.0	71237.0	371349.0	909050.0	306000.0	554173.0	56480.0	21272.0	5456441.0	486172.0	245062.0	18017158.0	3593962.0	215525.0	7673.0
30 – 49	44205120.0	52110107.0	34203801.0	7613329.0	13075.0	917711.0	1577214.0	630032.0	649782.0	524917.0	174639.0	87828.0	4520537.0	1197242.0	521769.0	35580849.0	7786902.0	307754.0	7846.0
50 – 54	10071198.0	12569193.0	7047883.0	1812083.0	-	1770791.0	724969.0	44666.0	128355.0	66386.0	35702.0	20053.0	695155.0	223150.0	115456.0	7518960.0	2263687.0	169738.0	3357.0
55 – 59	5347399.0	7266310.0	2542931.0	887349.0	-	3195741.0	356811.0	15048.0	18535.0	29771.0	14412.0	10117.0	126029.0	69566.0	64930.0	3461343.0	1661078.0	157506.0	2542.0
60 – 64	7983062.0	10799359.0	1386503.0	1552619.0	-	7372840.0	320670.0	20816.0	-	43557.0	16298.0	18227.0	39445.0	28384.0	67926.0	5215729.0	2518095.0	177974.0	3338.0
