																			
2. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																			
																			
																			
	Все население	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существова-нию	два источника	три источника	четыре источника и более
Центральный федеральный округ																			
Городское и сельское население	38000651.0	45686748.0	17122308.0	3026155.0	871546.0	9084889.0	1316131.0	3126794.0	170829.0	412857.0	98497.0	37934.0	9719380.0	699428.0	746840.0	29187425.0	7710774.0	345612.0	10000.0
из него в возрасте:																			
моложе трудоспособного	5824878.0	8324100.0	7165.0	22307.0	51237.0	77106.0	49569.0	2487654.0	-	80336.0	1043.0	3249.0	5527548.0	16886.0	97260.0	3207550.0	2445130.0	73510.0	1428.0
трудоспособном	23135025.0	26238639.0	16011427.0	1872884.0	819932.0	838048.0	768978.0	588961.0	170773.0	276946.0	79687.0	24210.0	4135466.0	651327.0	492654.0	19231723.0	3231594.0	173040.0	6014.0
старше трудоспособного	8991453.0	11106754.0	1093577.0	1130388.0	-	8167970.0	497193.0	49822.0	-	55090.0	17675.0	10336.0	54576.0	30127.0	122830.0	6734490.0	2032803.0	98906.0	2424.0
Мужчины	17547582.0	21049178.0	8783402.0	1344029.0	434587.0	2966036.0	682544.0	1424594.0	60959.0	275232.0	53582.0	17216.0	4561955.0	445042.0	365105.0	13474578.0	3553873.0	149662.0	4364.0
из них в возрасте:																			
моложе трудоспособного	2987206.0	4268318.0	4392.0	11502.0	30688.0	39444.0	29079.0	1268063.0	-	45161.0	559.0	1661.0	2829049.0	8720.0	50344.0	1645815.0	1251445.0	38821.0	781.0
трудоспособном	11781327.0	13258952.0	8359471.0	949093.0	403699.0	480706.0	452632.0	141768.0	60930.0	208857.0	46335.0	12552.0	1721830.0	421079.0	257265.0	9867435.0	1581149.0	72960.0	2518.0
старше трудоспособного	2753097.0	3512312.0	413339.0	383151.0	-	2445285.0	200639.0	14599.0	-	20911.0	6634.0	2924.0	10242.0	14588.0	40115.0	1953514.0	720680.0	37794.0	994.0
Женщины	20453069.0	24637570.0	8338906.0	1682126.0	436959.0	6118853.0	633587.0	1702200.0	109870.0	137625.0	44915.0	20718.0	5157425.0	254386.0	381735.0	15712847.0	4156901.0	195950.0	5636.0
из них в возрасте:																			
моложе трудоспособного	2837672.0	4055782.0	2773.0	10805.0	20549.0	37662.0	20490.0	1219591.0	-	35175.0	484.0	1588.0	2698499.0	8166.0	46916.0	1561735.0	1193685.0	34689.0	647.0
трудоспособном	11353698.0	12979687.0	7651956.0	923791.0	416233.0	357342.0	316346.0	447193.0	109843.0	68089.0	33352.0	11658.0	2413636.0	230248.0	235389.0	9364288.0	1650445.0	100080.0	3496.0
старше трудоспособного	6238356.0	7594442.0	680238.0	747237.0	-	5722685.0	296554.0	35223.0	-	34179.0	11041.0	7412.0	44334.0	15539.0	82715.0	4780976.0	1312123.0	61112.0	1430.0
Городское население	30366977.0	34860430.0	14381808.0	1028071.0	768445.0	6776058.0	987149.0	2051128.0	136138.0	311697.0	86014.0	24879.0	7728393.0	580650.0	727712.0	24636052.0	4792580.0	204092.0	6541.0
из него в возрасте:																			
моложе трудоспособного	4530848.0	6106037.0	5590.0	8527.0	40500.0	49269.0	34025.0	1589850.0	-	61525.0	917.0	2454.0	4298666.0	14714.0	93310.0	2810851.0	1585707.0	40181.0	799.0
трудоспособном	19055269.0	20801397.0	13384085.0	655944.0	727586.0	700156.0	543504.0	428408.0	136089.0	215816.0	71863.0	17300.0	3383378.0	537268.0	481478.0	16460739.0	2003072.0	105878.0	4102.0
старше трудоспособного	6734142.0	7937348.0	982462.0	363241.0	-	6025180.0	409295.0	32595.0	-	33988.0	13150.0	5000.0	44781.0	27656.0	120222.0	5351625.0	1202870.0	57903.0	1522.0
Мужчины	14019994.0	16064007.0	7326703.0	452083.0	381093.0	2233695.0	486990.0	915943.0	48681.0	212961.0	47277.0	11293.0	3582753.0	364535.0	355408.0	11361849.0	2209431.0	90271.0	3035.0
из них в возрасте:																			
моложе трудоспособного	2322284.0	3129134.0	3283.0	4316.0	24093.0	25052.0	19871.0	809699.0	-	34432.0	497.0	1261.0	2199034.0	7596.0	48317.0	1440933.0	811359.0	21235.0	440.0
трудоспособном	9621755.0	10424716.0	6943303.0	322520.0	356808.0	412032.0	310883.0	96626.0	48655.0	165944.0	41711.0	8770.0	1374715.0	342749.0	251086.0	8366133.0	957135.0	45530.0	1871.0
старше трудоспособного	2051237.0	2501344.0	374162.0	125049.0	-	1796108.0	156079.0	9496.0	-	12365.0	5018.0	1193.0	8297.0	13577.0	39288.0	1547368.0	440482.0	23439.0	660.0
Женщины	16346983.0	18796423.0	7055105.0	575988.0	387352.0	4542363.0	500159.0	1135185.0	87457.0	98736.0	38737.0	13586.0	4145640.0	216115.0	372304.0	13274203.0	2583149.0	113821.0	3506.0
из них в возрасте:																			
моложе трудоспособного	2208564.0	2976903.0	2307.0	4211.0	16407.0	24217.0	14154.0	780151.0	-	27093.0	420.0	1193.0	2099632.0	7118.0	44993.0	1369918.0	774348.0	18946.0	359.0
трудоспособном	9433514.0	10376681.0	6440782.0	333424.0	370778.0	288124.0	232621.0	331782.0	87434.0	49872.0	30152.0	8530.0	2008663.0	194519.0	230392.0	8094606.0	1045937.0	60348.0	2231.0
старше трудоспособного	4682905.0	5436004.0	608300.0	238192.0	-	4229072.0	253216.0	23099.0	-	21623.0	8132.0	3807.0	36484.0	14079.0	80934.0	3804257.0	762388.0	34464.0	862.0
Сельское население	7633674.0	10826318.0	2740500.0	1998084.0	103101.0	2308831.0	328982.0	1075666.0	34691.0	101160.0	12483.0	13055.0	1990987.0	118778.0	19128.0	4551373.0	2918194.0	141520.0	3459.0
из него в возрасте:																			
моложе трудоспособного	1294030.0	2218063.0	1575.0	13780.0	10737.0	27837.0	15544.0	897804.0	-	18811.0	126.0	795.0	1228882.0	2172.0	3950.0	396699.0	859423.0	33329.0	629.0
трудоспособном	4079756.0	5437242.0	2627342.0	1216940.0	92346.0	137892.0	225474.0	160553.0	34684.0	61130.0	7824.0	6910.0	752088.0	114059.0	11176.0	2770984.0	1228522.0	67162.0	1912.0
старше трудоспособного	2257311.0	3169406.0	111115.0	767147.0	-	2142790.0	87898.0	17227.0	-	21102.0	4525.0	5336.0	9795.0	2471.0	2608.0	1382865.0	829933.0	41003.0	902.0
Мужчины	3527588.0	4985171.0	1456699.0	891946.0	53494.0	732341.0	195554.0	508651.0	12278.0	62271.0	6305.0	5923.0	979202.0	80507.0	9697.0	2112729.0	1344442.0	59391.0	1329.0
из них в возрасте:																			
моложе трудоспособного	664922.0	1139184.0	1109.0	7186.0	6595.0	14392.0	9208.0	458364.0	-	10729.0	62.0	400.0	630015.0	1124.0	2027.0	204882.0	440086.0	17586.0	341.0
трудоспособном	2159572.0	2834236.0	1416168.0	626573.0	46891.0	68674.0	141749.0	45142.0	12275.0	42913.0	4624.0	3782.0	347115.0	78330.0	6179.0	1501302.0	624014.0	27430.0	647.0
старше трудоспособного	701860.0	1010968.0	39177.0	258102.0	-	649177.0	44560.0	5103.0	-	8546.0	1616.0	1731.0	1945.0	1011.0	827.0	406146.0	280198.0	14355.0	334.0
Женщины	4106086.0	5841147.0	1283801.0	1106138.0	49607.0	1576490.0	133428.0	567015.0	22413.0	38889.0	6178.0	7132.0	1011785.0	38271.0	9431.0	2438644.0	1573752.0	82129.0	2130.0
из них в возрасте:																			
моложе трудоспособного	629108.0	1078879.0	466.0	6594.0	4142.0	13445.0	6336.0	439440.0	-	8082.0	64.0	395.0	598867.0	1048.0	1923.0	191817.0	419337.0	15743.0	288.0
трудоспособном	1920184.0	2603006.0	1211174.0	590367.0	45455.0	69218.0	83725.0	115411.0	22409.0	18217.0	3200.0	3128.0	404973.0	35729.0	4997.0	1269682.0	604508.0	39732.0	1265.0
старше трудоспособного	1555451.0	2158438.0	71938.0	509045.0	-	1493613.0	43338.0	12124.0	-	12556.0	2909.0	3605.0	7850.0	1460.0	1781.0	976719.0	549735.0	26648.0	568.0
Белгородская область																			
Городское и сельское население	1511620.0	2012694.0	608884.0	246073.0	29203.0	363771.0	66765.0	196536.0	5339.0	16343.0	3727.0	2782.0	461399.0	11872.0	6923.0	1018320.0	465221.0	20712.0	444.0
из него в возрасте:																			
моложе трудоспособного	264963.0	435194.0	176.0	2651.0	2693.0	3025.0	3378.0	162333.0	-	3290.0	21.0	126.0	256989.0	512.0	1244.0	97872.0	160327.0	5416.0	104.0
трудоспособном	895232.0	1111346.0	587455.0	151947.0	26509.0	33103.0	45202.0	32627.0	5338.0	11224.0	3092.0	1501.0	202253.0	11095.0	4468.0	681490.0	198243.0	10765.0	266.0
старше трудоспособного	350901.0	465899.0	21150.0	91453.0	-	327599.0	18175.0	1558.0	-	1822.0	613.0	1155.0	2114.0	260.0	888.0	238810.0	106599.0	4530.0	74.0
Мужчины	693509.0	925503.0	310576.0	111112.0	14445.0	122761.0	35379.0	91100.0	1775.0	11384.0	2030.0	1188.0	216645.0	7108.0	3311.0	464619.0	216072.0	9297.0	210.0
из них в возрасте:																			
моложе трудоспособного	135148.0	222211.0	122.0	1387.0	1616.0	1469.0	2015.0	82505.0	-	1885.0	7.0	57.0	130877.0	271.0	642.0	49871.0	81629.0	2944.0	62.0
трудоспособном	445153.0	549663.0	302304.0	78013.0	12829.0	17938.0	25288.0	8056.0	1775.0	8850.0	1770.0	809.0	85292.0	6739.0	2224.0	340952.0	97334.0	4531.0	112.0
старше трудоспособного	112970.0	153528.0	8103.0	31706.0	-	103342.0	8072.0	532.0	-	646.0	252.0	322.0	458.0	95.0	290.0	73730.0	37093.0	1821.0	36.0
Женщины	818111.0	1087191.0	298308.0	134961.0	14758.0	241010.0	31386.0	105436.0	3564.0	4959.0	1697.0	1594.0	244754.0	4764.0	3612.0	553701.0	249149.0	11415.0	234.0
из них в возрасте:																			
моложе трудоспособного	129815.0	212983.0	54.0	1264.0	1077.0	1556.0	1363.0	79828.0	-	1405.0	14.0	69.0	126112.0	241.0	602.0	48001.0	78698.0	2472.0	42.0
трудоспособном	450079.0	561683.0	285151.0	73934.0	13680.0	15165.0	19914.0	24571.0	3563.0	2374.0	1322.0	692.0	116961.0	4356.0	2244.0	340538.0	100909.0	6234.0	154.0
старше трудоспособного	237931.0	312371.0	13047.0	59747.0	-	224257.0	10103.0	1026.0	-	1176.0	361.0	833.0	1656.0	165.0	598.0	165080.0	69506.0	2709.0	38.0
Городское население	985584.0	1214569.0	435379.0	65902.0	23799.0	195512.0	39676.0	108542.0	4600.0	13855.0	2704.0	793.0	315379.0	8428.0	6481.0	753398.0	216189.0	9280.0	236.0
из него в возрасте:																			
моложе трудоспособного	171518.0	262499.0	113.0	640.0	2118.0	1765.0	2014.0	86587.0	-	2730.0	17.0	66.0	166056.0	393.0	1116.0	80497.0	87757.0	2105.0	43.0
трудоспособном	629876.0	730767.0	419142.0	44612.0	21680.0	24532.0	26797.0	20552.0	4599.0	9971.0	2368.0	478.0	148186.0	7850.0	4274.0	525919.0	94357.0	5174.0	152.0
старше трудоспособного	183788.0	221155.0	16046.0	20648.0	-	169192.0	10860.0	1397.0	-	1151.0	318.0	249.0	1114.0	180.0	817.0	146874.0	34055.0	2001.0	41.0
Мужчины	453070.0	560321.0	216379.0	30069.0	11709.0	68312.0	20113.0	49326.0	1522.0	10069.0	1486.0	306.0	146248.0	4782.0	3114.0	344153.0	101363.0	4322.0	118.0
из них в возрасте:																			
моложе трудоспособного	87450.0	133985.0	74.0	322.0	1272.0	858.0	1172.0	43995.0	-	1576.0	5.0	31.0	84474.0	206.0	577.0	40956.0	44745.0	1149.0	23.0
