5. НАСЕЛЕНИЕ, ЗАНЯТОЕ В ЭКОНОМИКЕ, ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ 												
												
												
	Всего	Имеющие образование								Не имеющие начального общего образования	из них неграмотные	Не указавшие  уровень образования
		профессиональное					общее					
		послевузов- ское 	высшее 	неполное высшее 	среднее	начальное	среднее (полное)	основное	начальное			
Все население, занятое в экономике, в возрасте 15 лет и более	61583710.0	278121.0	14053215.0	1846157.0	21946935.0	9391054.0	9950748.0	3467210.0	541220.0	31862.0	12295.0	77188.0
в том числе в возрасте, лет:												
15–17	234397.0	-	-	514.0	11219.0	19151.0	81559.0	106808.0	13540.0	807.0	436.0	799.0
18–19	1413023.0	-	544.0	57445.0	368934.0	260013.0	479365.0	222174.0	22155.0	1090.0	524.0	1303.0
20–24	6632104.0	13019.0	1010900.0	516291.0	2194655.0	1062812.0	1236942.0	532696.0	54307.0	3463.0	1460.0	7019.0
25–29	7759472.0	37577.0	1889224.0	335840.0	2606674.0	1155832.0	1200205.0	481870.0	39537.0	3491.0	1356.0	9222.0
30–34	7421540.0	32483.0	1788597.0	249570.0	2894020.0	1117117.0	1043824.0	255384.0	26396.0	3345.0	1236.0	10804.0
35–39	7857931.0	31328.0	1935712.0	194640.0	3090099.0	1200967.0	1155577.0	210665.0	25004.0	3324.0	1265.0	10615.0
40–44	9770767.0	37898.0	2277945.0	183247.0	3731479.0	1568105.0	1621530.0	297600.0	36663.0	3855.0	1407.0	12445.0
45–49	8868977.0	35999.0	2008199.0	135379.0	3249225.0	1462276.0	1481876.0	425098.0	57191.0	3327.0	1117.0	10407.0
50–54	6990326.0	32771.0	1640034.0	101703.0	2464001.0	1032628.0	1126339.0	503498.0	78248.0	2950.0	1084.0	8154.0
55–59	2518363.0	20067.0	754883.0	42140.0	778561.0	325167.0	326931.0	206286.0	59291.0	1634.0	656.0	3403.0
60–64	1367695.0	18747.0	471684.0	19527.0	381486.0	130606.0	142575.0	141548.0	58257.0	1537.0	586.0	1728.0
65–69	534192.0	10917.0	199350.0	6912.0	134902.0	42086.0	40400.0	57701.0	39759.0	1396.0	572.0	769.0
70 и более	214923.0	7315.0	76143.0	2949.0	41680.0	14294.0	13625.0	25882.0	30872.0	1643.0	596.0	520.0
Возраст не указан	17109.0	95.0	2913.0	682.0	5179.0	2407.0	2473.0	971.0	123.0	76.0	14.0	2190.0
Из общей численности занятых - население в возрасте:												
трудоспособном	58383650.0	234204.0	12942813.0	1800324.0	21012075.0	9115697.0	9621156.0	3162131.0	396028.0	26637.0	10264.0	72585.0
старше трудоспособного	3182418.0	43917.0	1110402.0	45833.0	934860.0	274933.0	329458.0	291352.0	142203.0	5081.0	1949.0	4379.0
16-29 лет	16021354.0	50596.0	2900668.0	910090.0	5181482.0	2497384.0	2997937.0	1329821.0	126550.0	8707.0	3694.0	18119.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	31714717.0	158516.0	6521653.0	914234.0	10084859.0	5740611.0	5640319.0	2227112.0	366476.0	18421.0	7366.0	42516.0
в том числе в возрасте, лет:												
15–17	145677.0	-	-	191.0	6406.0	13435.0	39375.0	74406.0	10851.0	583.0	321.0	430.0
18–19	874501.0	-	257.0	20866.0	216641.0	176910.0	265442.0	173838.0	19023.0	779.0	379.0	745.0
20–24	3703044.0	6656.0	455150.0	228669.0	1142898.0	686828.0	741558.0	390278.0	44506.0	2355.0	995.0	4146.0
25–29	4190458.0	20152.0	888799.0	171901.0	1296546.0	720911.0	726623.0	328156.0	29834.0	2182.0	863.0	5354.0
30–34	3903204.0	16366.0	819482.0	131301.0	1405655.0	685526.0	648986.0	169313.0	18335.0	2048.0	775.0	6192.0
35–39	3948287.0	16252.0	872247.0	100700.0	1401316.0	710707.0	688329.0	134229.0	16760.0	1913.0	755.0	5834.0
40–44	4754958.0	20153.0	1004202.0	92423.0	1599826.0	913227.0	908541.0	183567.0	24124.0	2209.0	854.0	6686.0
45–49	4197996.0	20042.0	887369.0	69832.0	1324068.0	845851.0	766836.0	240515.0	36382.0	1764.0	649.0	5337.0
50–54	3349831.0	19694.0	761401.0	54609.0	1002698.0	625224.0	556702.0	275139.0	48715.0	1563.0	622.0	4086.0
55–59	1452755.0	13129.0	391658.0	25695.0	401769.0	237220.0	194073.0	140065.0	45976.0	1129.0	461.0	2041.0
60–64	771756.0	12899.0	272936.0	12292.0	193687.0	88372.0	76172.0	77665.0	35910.0	807.0	298.0	1016.0
65–69	302806.0	7864.0	121078.0	4300.0	70243.0	27509.0	21192.0	28195.0	21465.0	576.0	231.0	384.0
70 и более	119444.0	5309.0	47074.0	1455.0	23106.0	8891.0	6490.0	11746.0	14595.0	513.0	163.0	265.0
Возраст не указан	9919.0	60.0	1482.0	386.0	2875.0	1571.0	1504.0	632.0	80.0	40.0	7.0	1289.0
Из общей численности занятых - мужчины в возрасте:												
трудоспособном	30509034.0	132444.0	6080565.0	896187.0	9797823.0	5615547.0	5536392.0	2100627.0	292285.0	16427.0	6618.0	40737.0
старше трудоспособного	1194006.0	26072.0	441088.0	18047.0	287036.0	124772.0	103854.0	117606.0	71970.0	1896.0	692.0	1665.0
16-29 лет	8902003.0	26808.0	1344206.0	421627.0	2662491.0	1597792.0	1772925.0	957799.0	101993.0	5801.0	2502.0	10561.0
Женщины, занятые в экономике, в возрасте 15 лет и более	29868993.0	119605.0	7531562.0	931923.0	11862076.0	3650443.0	4310429.0	1240098.0	174744.0	13441.0	4929.0	34672.0
в том числе в возрасте, лет:												
15–17	88720.0	-	-	323.0	4813.0	5716.0	42184.0	32402.0	2689.0	224.0	115.0	369.0
18–19	538522.0	-	287.0	36579.0	152293.0	83103.0	213923.0	48336.0	3132.0	311.0	145.0	558.0
20–24	2929060.0	6363.0	555750.0	287622.0	1051757.0	375984.0	495384.0	142418.0	9801.0	1108.0	465.0	2873.0
25–29	3569014.0	17425.0	1000425.0	163939.0	1310128.0	434921.0	473582.0	153714.0	9703.0	1309.0	493.0	3868.0
30–34	3518336.0	16117.0	969115.0	118269.0	1488365.0	431591.0	394838.0	86071.0	8061.0	1297.0	461.0	4612.0
35–39	3909644.0	15076.0	1063465.0	93940.0	1688783.0	490260.0	467248.0	76436.0	8244.0	1411.0	510.0	4781.0
40–44	5015809.0	17745.0	1273743.0	90824.0	2131653.0	654878.0	712989.0	114033.0	12539.0	1646.0	553.0	5759.0
45–49	4670981.0	15957.0	1120830.0	65547.0	1925157.0	616425.0	715040.0	184583.0	20809.0	1563.0	468.0	5070.0
50–54	3640495.0	13077.0	878633.0	47094.0	1461303.0	407404.0	569637.0	228359.0	29533.0	1387.0	462.0	4068.0
55–59	1065608.0	6938.0	363225.0	16445.0	376792.0	87947.0	132858.0	66221.0	13315.0	505.0	195.0	1362.0
60–64	595939.0	5848.0	198748.0	7235.0	187799.0	42234.0	66403.0	63883.0	22347.0	730.0	288.0	712.0
65–69	231386.0	3053.0	78272.0	2612.0	64659.0	14577.0	19208.0	29506.0	18294.0	820.0	341.0	385.0
70 и более	95479.0	2006.0	29069.0	1494.0	18574.0	5403.0	7135.0	14136.0	16277.0	1130.0	433.0	255.0
Возраст не указан	7190.0	35.0	1431.0	296.0	2304.0	836.0	969.0	339.0	43.0	36.0	7.0	901.0
Из общей численности занятых - женщины в возрасте:												
трудоспособном	27874616.0	101760.0	6862248.0	904137.0	11214252.0	3500150.0	4084764.0	1061504.0	103743.0	10210.0	3646.0	31848.0
старше трудоспособного	1988412.0	17845.0	669314.0	27786.0	647824.0	150161.0	225604.0	173746.0	70233.0	3185.0	1257.0	2714.0
16-29 лет	7119351.0	23788.0	1556462.0	488463.0	2518991.0	899592.0	1225012.0	372022.0	24557.0	2906.0	1192.0	7558.0
Городское население, занятое в экономике, в возрасте 15 лет и более	48532143.0	260708.0	12426676.0	1639007.0	17793064.0	6508087.0	7387286.0	2120948.0	302919.0	20802.0	6036.0	72646.0
в том числе в возрасте, лет:												
15–17	163891.0	-	-	511.0	9345.0	13013.0	66792.0	67131.0	5944.0	416.0	193.0	739.0
18–19	1100791.0	-	526.0	52986.0	300125.0	193818.0	390025.0	149920.0	11610.0	612.0	262.0	1169.0
20–24	5257324.0	12171.0	899264.0	466971.0	1799552.0	775225.0	944211.0	324497.0	26615.0	2263.0	794.0	6555.0
25–29	6213576.0	35419.0	1700043.0	298872.0	2157476.0	821499.0	878129.0	290623.0	20437.0	2368.0	730.0	8710.0
30–34	5838838.0	30420.0	1590615.0	220951.0	2332344.0	762993.0	731546.0	142604.0	14794.0	2343.0	663.0	10228.0
35–39	6017045.0	28892.0	1688382.0	169568.0	2433315.0	789377.0	774769.0	107169.0	13354.0	2264.0	622.0	9955.0
40–44	7486269.0	35056.0	1984584.0	158948.0	2951699.0	1033048.0	1137796.0	152547.0	18306.0	2588.0	648.0	11697.0
45–49	6906115.0	33429.0	1757415.0	117439.0	2614003.0	991984.0	1114033.0	238090.0	27696.0	2258.0	519.0	9768.0
