7. НАСЕЛЕНИЕ, ЗАНЯТОЕ В ЭКОНОМИКЕ, ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
												
	Всего	Имеющие образование								Не имеющие 
начального
общего 
образования	из них неграмотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузовское 	высшее	неполное 
высшее	среднее	начальное	среднее
(полное)	основное	начальное			
												
Центральный федеральный округ												
Все население, занятое в экономике, в возрасте 15 лет и более	16907301.0	112629.0	4506092.0	576856.0	5871839.0	2240223.0	2633279.0	784103.0	118828.0	11434.0	2505.0	52018.0
в том числе в возрасте, лет:												
15–17	62943.0	-	-	491.0	3755.0	4784.0	24717.0	25556.0	2803.0	170.0	57.0	667.0
18–19 	351648.0	-	477.0	21773.0	102678.0	57484.0	120528.0	43670.0	3766.0	285.0	85.0	987.0
20–24 	1713936.0	4724.0	297669.0	158872.0	575382.0	243877.0	310853.0	107013.0	9486.0	1153.0	310.0	4907.0
25–29 	2043184.0	13784.0	572906.0	96296.0	679720.0	272609.0	294452.0	98024.0	7887.0	1334.0	290.0	6172.0
30–34 	2040647.0	12336.0	565120.0	74564.0	770211.0	270083.0	274420.0	58840.0	6332.0	1364.0	261.0	7377.0
35–39 	2154925.0	12372.0	618608.0	59919.0	817138.0	286008.0	296613.0	49963.0	5999.0	1271.0	245.0	7034.0
40–44 	2671164.0	14930.0	729970.0	59093.0	990665.0	369840.0	421364.0	67397.0	7969.0	1582.0	303.0	8354.0
45–49 	2416761.0	14543.0	646970.0	44668.0	861085.0	341697.0	398156.0	91120.0	10361.0	1353.0	248.0	6808.0
50–54 	1946754.0	13328.0	530210.0	34573.0	664261.0	252243.0	317568.0	113375.0	14728.0	1167.0	261.0	5301.0
55–59 	762607.0	8848.0	260141.0	15125.0	223879.0	84141.0	101948.0	53184.0	12546.0	576.0	137.0	2219.0
60–64 	456105.0	8488.0	169812.0	7370.0	120416.0	38127.0	50826.0	44607.0	14742.0	444.0	102.0	1273.0
65–69 	192956.0	5275.0	78152.0	2726.0	45573.0	13422.0	15310.0	20219.0	11411.0	334.0	102.0	534.0
70 и более	93671.0	4001.0	36057.0	1386.0	17076.0	5908.0	6524.0	11135.0	10798.0	401.0	104.0	385.0
Возраст не указан	9750.0	58.0	1585.0	473.0	3214.0	1770.0	1335.0	601.0	64.0	30.0	5.0	620.0
Из общей численности занятых - население в возрасте:												
трудоспособном	15829202.0	91955.0	4101244.0	559420.0	5578021.0	2157310.0	2518332.0	686176.0	77972.0	10023.0	2138.0	48749.0
старше трудоспособного	1073213.0	20674.0	404848.0	17436.0	293818.0	82779.0	114822.0	94247.0	40132.0	1382.0	358.0	3075.0
16-29 лет	4166825.0	18508.0	871052.0	277432.0	1361535.0	578620.0	750425.0	270583.0	23218.0	2913.0	733.0	12539.0
