3. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ (на 1000 человек соответствующей возрастной группы)												
												
												
	Всего	В возрасте, лет										В трудоспособном возрасте
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64	
Городское и сельское население в возрасте 15-64 лет, занятое в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	116.0	23.0	56.0	91.0	113.0	124.0	129.0	135.0	144.0	160.0	154.0	115.0
специалисты высшего уровня квалификации	149.0	49.0	134.0	158.0	149.0	147.0	141.0	143.0	156.0	198.0	231.0	144.0
специалисты среднего уровня квалификации	127.0	105.0	139.0	136.0	137.0	127.0	121.0	121.0	124.0	113.0	109.0	127.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	26.0	50.0	36.0	27.0	24.0	24.0	25.0	26.0	25.0	21.0	21.0	26.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	130.0	254.0	194.0	163.0	149.0	131.0	114.0	101.0	88.0	66.0	67.0	132.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	18.0	21.0	14.0	15.0	18.0	21.0	21.0	21.0	17.0	10.0	7.0	18.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	160.0	204.0	175.0	157.0	144.0	146.0	158.0	166.0	170.0	166.0	139.0	162.0
операторы, аппаратчики, машинисты установок и машин	143.0	88.0	122.0	134.0	148.0	156.0	162.0	154.0	137.0	128.0	87.0	146.0
неквалифицированные рабочие	98.0	176.0	94.0	82.0	81.0	88.0	95.0	105.0	114.0	110.0	155.0	96.0
занятые на военной службе	10.0	2.0	13.0	14.0	14.0	14.0	12.0	7.0	3.0	3.0	2.0	11.0
лица, неточно указавшие или не указавшие  занятия 	23.0	28.0	23.0	23.0	23.0	22.0	22.0	21.0	22.0	25.0	28.0	23.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	131.0	22.0	60.0	107.0	133.0	143.0	144.0	149.0	161.0	175.0	187.0	129.0
специалисты высшего уровня квалификации	94.0	27.0	84.0	102.0	88.0	88.0	84.0	88.0	101.0	131.0	191.0	91.0
специалисты среднего уровня квалификации	79.0	74.0	91.0	89.0	86.0	77.0	69.0	70.0	75.0	78.0	79.0	79.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	5.0	13.0	7.0	6.0	5.0	4.0	4.0	4.0	4.0	5.0	6.0	5.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	77.0	114.0	127.0	108.0	99.0	77.0	59.0	48.0	44.0	44.0	45.0	78.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	16.0	26.0	15.0	15.0	16.0	18.0	19.0	18.0	15.0	12.0	8.0	17.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	240.0	313.0	263.0	230.0	210.0	215.0	236.0	256.0	266.0	245.0	216.0	240.0
операторы, аппаратчики, машинисты установок и машин	235.0	140.0	197.0	215.0	243.0	262.0	275.0	262.0	228.0	191.0	130.0	238.0
неквалифицированные рабочие	82.0	236.0	108.0	80.0	71.0	69.0	69.0	74.0	79.0	90.0	108.0	82.0
занятые на военной службе	16.0	3.0	22.0	23.0	23.0	22.0	18.0	9.0	4.0	3.0	3.0	17.0
лица, неточно указавшие или не указавшие  занятия 	25.0	32.0	26.0	25.0	26.0	25.0	23.0	22.0	23.0	26.0	27.0	24.0
Женщины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	101.0	24.0	51.0	73.0	90.0	104.0	115.0	122.0	128.0	139.0	111.0	99.0
специалисты высшего уровня квалификации	205.0	70.0	191.0	222.0	216.0	206.0	194.0	192.0	206.0	288.0	283.0	200.0
специалисты среднего уровня квалификации	176.0	137.0	193.0	192.0	192.0	178.0	171.0	166.0	169.0	160.0	149.0	178.0
