4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	16396856.0	330896.0	1632780.0	2026551.0	2028798.0	2145207.0	2662041.0	2410450.0	1943134.0	761484.0	455515.0	15606314.0	39.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2023013.0	10229.0	110214.0	208403.0	246726.0	279167.0	353866.0	333479.0	284623.0	124040.0	72266.0	1904970.0	41.7
специалисты высшего уровня квалификации	2713119.0	20056.0	236531.0	346375.0	328671.0	348596.0	421482.0	391546.0	339834.0	167289.0	112739.0	2501728.0	40.5
специалисты среднего уровня квалификации	1957637.0	37313.0	219255.0	260534.0	257635.0	256371.0	303211.0	272492.0	224462.0	79838.0	46526.0	1862659.0	38.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	420124.0	18409.0	59373.0	53839.0	48973.0	50285.0	62776.0	57814.0	44992.0	14431.0	9232.0	398404.0	37.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	2132386.0	83803.0	317069.0	332616.0	309660.0	284113.0	307149.0	241756.0	173682.0	52356.0	30182.0	2070904.0	36.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	204837.0	4379.0	13626.0	19978.0	24110.0	30577.0	40777.0	36921.0	26549.0	5646.0	2274.0	199784.0	40.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2461928.0	60662.0	259247.0	289876.0	269024.0	296883.0	402086.0	389048.0	316584.0	117812.0	60706.0	2380159.0	39.6
операторы, аппаратчики, машинисты установок и машин	2071258.0	27789.0	181540.0	242478.0	267642.0	292458.0	377825.0	326901.0	233372.0	85243.0	36010.0	2019927.0	39.5
неквалифицированные рабочие	1441802.0	48920.0	135891.0	147109.0	146658.0	170093.0	230472.0	229334.0	200419.0	73011.0	59895.0	1340618.0	40.4
занятые на военной службе	167892.0	911.0	19181.0	25326.0	27223.0	31412.0	33758.0	18725.0	7745.0	2498.0	1113.0	166156.0	36.6
лица, неточно указавшие или не указавшие  занятия 	802860.0	18425.0	80853.0	100017.0	102476.0	105252.0	128639.0	112434.0	90872.0	39320.0	24572.0	761005.0	39.3
Белгородская область													
Все население в возрасте 15-64 лет, занятое в экономике 	596817.0	10301.0	59950.0	76488.0	74558.0	83835.0	104079.0	89726.0	69042.0	19688.0	9150.0	580368.0	38.9
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	65512.0	245.0	3218.0	6283.0	7510.0	9378.0	13073.0	11521.0	9674.0	3002.0	1608.0	62839.0	41.7
специалисты высшего уровня квалификации	79062.0	421.0	7759.0	11278.0	9740.0	11128.0	13026.0	11094.0	9345.0	3298.0	1973.0	75127.0	39.3
специалисты среднего уровня квалификации	71493.0	896.0	7689.0	9784.0	9654.0	10099.0	11736.0	10500.0	7939.0	2186.0	1010.0	69207.0	38.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	14475.0	519.0	1902.0	1820.0	1636.0	1986.0	2503.0	2015.0	1592.0	309.0	193.0	13999.0	37.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	72922.0	2550.0	11544.0	12088.0	10604.0	10156.0	10698.0	7887.0	5507.0	1296.0	592.0	71589.0	35.5
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	16948.0	309.0	1112.0	1727.0	2226.0	2736.0	3456.0	2761.0	2152.0	315.0	154.0	16639.0	39.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	96037.0	1830.0	9933.0	12038.0	11054.0	12546.0	16744.0	15412.0	12183.0	3247.0	1050.0	94627.0	39.1
операторы, аппаратчики, машинисты установок и машин	101857.0	1263.0	9287.0	12459.0	13345.0	15204.0	19156.0	15910.0	10924.0	3321.0	988.0	100583.0	39.0
неквалифицированные рабочие	64796.0	1959.0	6053.0	7117.0	7065.0	8736.0	11317.0	10638.0	8400.0	2246.0	1265.0	62590.0	39.5
занятые на военной службе	1358.0	-	215.0	236.0	178.0	250.0	302.0	140.0	29.0	4.0	4.0	1354.0	35.3
лица, неточно указавшие или не указавшие  занятия 	12357.0	309.0	1238.0	1658.0	1546.0	1616.0	2068.0	1848.0	1297.0	464.0	313.0	11814.0	38.8
Брянская область													
Все население в возрасте 15-64 лет, занятое в экономике 	525835.0	9779.0	55257.0	67510.0	67765.0	73797.0	89348.0	79244.0	58461.0	17009.0	7665.0	511157.0	38.7
