5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Городское и сельское население, занятое в экономике	59652437.0	13972192.0	1814728.0	21440489.0	9104707.0	9595371.0	3179476.0	444741.0	26076.0	74657.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	6925876.0	3541439.0	278306.0	2206129.0	358011.0	456521.0	70375.0	8190.0	18.0	6887.0
специалисты высшего уровня квалификации	8870439.0	6377305.0	352208.0	1629368.0	197113.0	267180.0	36588.0	414.0	113.0	10150.0
специалисты среднего уровня квалификации	7579096.0	1227481.0	346035.0	4460739.0	693740.0	716992.0	115601.0	12164.0	842.0	5502.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1579389.0	251116.0	89034.0	720802.0	179065.0	299266.0	35710.0	3045.0	30.0	1321.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	7760589.0	742541.0	245714.0	3195398.0	1413539.0	1672083.0	428881.0	46626.0	6340.0	9467.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1067549.0	37799.0	8321.0	228655.0	255395.0	279662.0	216996.0	38542.0	1900.0	279.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	9532558.0	476915.0	187451.0	3596215.0	2326248.0	2116362.0	726632.0	91365.0	3283.0	8087.0
операторы, аппаратчики, машинисты установок и машин	8529815.0	381250.0	143315.0	3017697.0	2218266.0	2021520.0	650939.0	88473.0	2266.0	6089.0
неквалифицированные рабочие	5837490.0	243831.0	89466.0	1753399.0	1282653.0	1486561.0	825764.0	144314.0	7559.0	3943.0
занятые на военной службе	616230.0	308792.0	14466.0	193714.0	37171.0	55049.0	5952.0	483.0	103.0	500.0
лица, неточно указавшие или не указавшие занятия 	1353406.0	383723.0	60412.0	438373.0	143506.0	224175.0	66038.0	11125.0	3622.0	22432.0
Мужчины, занятые в экономике 	30203284.0	6448831.0	890414.0	9687872.0	5485880.0	5331748.0	1994161.0	307433.0	15845.0	41100.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3955047.0	2162595.0	171345.0	1108461.0	200969.0	258727.0	43341.0	5432.0	10.0	4167.0
специалисты высшего уровня квалификации	2832347.0	2102951.0	117030.0	410350.0	75900.0	100358.0	21107.0	267.0	79.0	4305.0
специалисты среднего уровня квалификации	2382775.0	527711.0	126017.0	1072502.0	291217.0	296094.0	59918.0	7032.0	340.0	1944.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	151194.0	39389.0	11183.0	52603.0	16428.0	26370.0	4557.0	457.0	7.0	200.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	2333136.0	353150.0	105406.0	854954.0	362727.0	507567.0	125537.0	16488.0	2809.0	4498.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	495344.0	27472.0	5306.0	103559.0	121780.0	119589.0	94867.0	21504.0	1122.0	145.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	7237548.0	354490.0	147842.0	2691250.0	1793513.0	1574174.0	589762.0	78023.0	2521.0	5973.0
операторы, аппаратчики, машинисты установок и машин	7099352.0	284762.0	114549.0	2410681.0	1931731.0	1686764.0	581539.0	82356.0	1893.0	5077.0
неквалифицированные рабочие	2487955.0	118732.0	48397.0	629842.0	576193.0	593335.0	426212.0	88185.0	5113.0	1946.0
занятые на военной службе	489366.0	275109.0	10267.0	129425.0	28767.0	40139.0	4796.0	369.0	97.0	397.0
лица, неточно указавшие или не указавшие занятия 	739220.0	202470.0	33072.0	224245.0	86655.0	128631.0	42525.0	7320.0	1854.0	12448.0
Женщины, занятые в экономике 	29449153.0	7523361.0	924314.0	11752617.0	3618827.0	4263623.0	1185315.0	137308.0	10231.0	33557.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2970829.0	1378844.0	106961.0	1097668.0	157042.0	197794.0	27034.0	2758.0	8.0	2720.0
специалисты высшего уровня квалификации	6038092.0	4274354.0	235178.0	1219018.0	121213.0	166822.0	15481.0	147.0	34.0	5845.0
специалисты среднего уровня квалификации	5196321.0	699770.0	220018.0	3388237.0	402523.0	420898.0	55683.0	5132.0	502.0	3558.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1428195.0	211727.0	77851.0	668199.0	162637.0	272896.0	31153.0	2588.0	23.0	1121.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	5427453.0	389391.0	140308.0	2340444.0	1050812.0	1164516.0	303344.0	30138.0	3531.0	4969.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	572205.0	10327.0	3015.0	125096.0	133615.0	160073.0	122129.0	17038.0	778.0	134.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2295010.0	122425.0	39609.0	904965.0	532735.0	542188.0	136870.0	13342.0	762.0	2114.0
операторы, аппаратчики, машинисты установок и машин	1430463.0	96488.0	28766.0	607016.0	286535.0	334756.0	69400.0	6117.0	373.0	1012.0
неквалифицированные рабочие	3349535.0	125099.0	41069.0	1123557.0	706460.0	893226.0	399552.0	56129.0	2446.0	1997.0
занятые на военной службе	126864.0	33683.0	4199.0	64289.0	8404.0	14910.0	1156.0	114.0	6.0	103.0
лица, неточно указавшие или не указавшие занятия 	614186.0	181253.0	27340.0	214128.0	56851.0	95544.0	23513.0	3805.0	1768.0	9984.0
Городское население, занятое в экономике 	46988595.0	12368255.0	1613930.0	17385469.0	6284810.0	7120306.0	1897311.0	230538.0	17330.0	70646.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	5897414.0	3178917.0	250726.0	1793816.0	258755.0	356396.0	46709.0	5443.0	15.0	6637.0
специалисты высшего уровня квалификации	7575256.0	5574086.0	301862.0	1313504.0	142233.0	210628.0	23001.0	315.0	100.0	9527.0
специалисты среднего уровня квалификации	6080559.0	1093692.0	305997.0	3498804.0	516332.0	570986.0	80582.0	8225.0	754.0	5187.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1291231.0	226333.0	80863.0	574804.0	134748.0	244491.0	26405.0	2303.0	18.0	1266.0
