6. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ									
(на 1000 человек в возрасте 15-64 лет, занятых в соответствующей группе занятий)									
									
									
	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
	профессиональное				общее				
	послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Городское и сельское население, занятое в экономике	234.0	30.0	360.0	153.0	160.0	53.0	8.0	1.0	1.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	511.0	40.0	319.0	51.0	66.0	11.0	1.0	0.0	1.0
специалисты высшего уровня квалификации	719.0	40.0	184.0	22.0	30.0	4.0	0.0	0.0	1.0
специалисты среднего уровня квалификации	162.0	46.0	588.0	92.0	94.0	15.0	2.0	0.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	159.0	56.0	456.0	114.0	189.0	23.0	2.0	0.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	96.0	31.0	412.0	182.0	215.0	56.0	6.0	1.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	36.0	8.0	214.0	239.0	262.0	203.0	36.0	2.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	50.0	20.0	377.0	244.0	222.0	76.0	10.0	0.0	1.0
операторы, аппаратчики, машинисты установок и машин	45.0	17.0	354.0	260.0	237.0	76.0	10.0	0.0	1.0
неквалифицированные рабочие	42.0	15.0	300.0	220.0	255.0	141.0	25.0	1.0	1.0
занятые на военной службе	501.0	23.0	314.0	60.0	90.0	10.0	1.0	0.0	1.0
лица, неточно указавшие или не указавшие занятия 	283.0	45.0	324.0	106.0	166.0	48.0	8.0	3.0	17.0
Мужчины, занятые в экономике 	214.0	29.0	321.0	182.0	176.0	66.0	10.0	1.0	1.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	547.0	43.0	280.0	51.0	66.0	11.0	1.0	0.0	1.0
специалисты высшего уровня квалификации	743.0	41.0	145.0	27.0	35.0	7.0	0.0	0.0	2.0
специалисты среднего уровня квалификации	222.0	53.0	450.0	122.0	124.0	25.0	3.0	0.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	260.0	74.0	348.0	109.0	175.0	30.0	3.0	0.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	151.0	45.0	367.0	155.0	218.0	54.0	7.0	1.0	2.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	56.0	11.0	209.0	246.0	241.0	192.0	43.0	2.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	49.0	20.0	372.0	248.0	217.0	82.0	11.0	0.0	1.0
операторы, аппаратчики, машинисты установок и машин	40.0	16.0	340.0	272.0	237.0	82.0	12.0	0.0	1.0
неквалифицированные рабочие	48.0	19.0	253.0	232.0	239.0	171.0	35.0	2.0	1.0
занятые на военной службе	562.0	21.0	265.0	59.0	82.0	9.0	1.0	0.0	1.0
лица, неточно указавшие или не указавшие занятия 	274.0	45.0	303.0	117.0	174.0	58.0	10.0	2.0	17.0
Женщины, занятые в экономике 	256.0	31.0	399.0	123.0	145.0	40.0	5.0	0.0	1.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	464.0	36.0	369.0	52.0	67.0	10.0	1.0	0.0	1.0
специалисты высшего уровня квалификации	708.0	39.0	202.0	20.0	27.0	3.0	0.0	0.0	1.0
специалисты среднего уровня квалификации	135.0	42.0	652.0	78.0	80.0	11.0	1.0	0.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	148.0	54.0	468.0	114.0	191.0	22.0	2.0	0.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	72.0	26.0	431.0	194.0	215.0	55.0	5.0	1.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	18.0	5.0	219.0	233.0	280.0	214.0	30.0	1.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	53.0	17.0	394.0	232.0	237.0	60.0	6.0	0.0	1.0
операторы, аппаратчики, машинисты установок и машин	68.0	20.0	424.0	200.0	234.0	49.0	4.0	0.0	1.0
неквалифицированные рабочие	37.0	12.0	335.0	211.0	267.0	119.0	17.0	1.0	1.0
занятые на военной службе	266.0	33.0	507.0	66.0	117.0	9.0	1.0	0.0	1.0
лица, неточно указавшие или не указавшие занятия 	295.0	45.0	349.0	93.0	155.0	38.0	6.0	3.0	16.0
Городское население, занятое в экономике 	263.0	34.0	370.0	133.0	152.0	41.0	5.0	0.0	2.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	539.0	43.0	304.0	44.0	61.0	7.0	1.0	0.0	1.0
специалисты высшего уровня квалификации	736.0	40.0	174.0	19.0	27.0	3.0	0.0	0.0	1.0
специалисты среднего уровня квалификации	180.0	50.0	576.0	84.0	94.0	14.0	1.0	0.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	175.0	63.0	445.0	105.0	189.0	20.0	2.0	0.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	106.0	35.0	423.0	168.0	211.0	49.0	5.0	1.0	2.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	79.0	18.0	325.0	220.0	228.0	113.0	15.0	1.0	1.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	54.0	22.0	396.0	231.0	220.0	68.0	8.0	0.0	1.0
операторы, аппаратчики, машинисты установок и машин	55.0	21.0	399.0	225.0	231.0	61.0	7.0	0.0	1.0
неквалифицированные рабочие	54.0	20.0	345.0	199.0	252.0	111.0	17.0	1.0	1.0
занятые на военной службе	520.0	25.0	308.0	54.0	83.0	8.0	1.0	0.0	1.0
лица, неточно указавшие или не указавшие занятия 	305.0	48.0	327.0	94.0	160.0	39.0	6.0	3.0	18.0
Мужчины, занятые в экономике 	245.0	34.0	340.0	156.0	165.0	51.0	7.0	0.0	2.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	567.0	46.0	272.0	44.0	60.0	9.0	1.0	0.0	1.0
