8. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Городское и сельское население, занятое в экономике	59652437.0	56418074.0	3183265.0	917623.0	1900576.0	244005.0	121061.0	51098.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	6925876.0	5708289.0	1212434.0	665193.0	479337.0	38436.0	29468.0	5153.0
специалисты высшего уровня квалификации	8870439.0	8653143.0	209177.0	33403.0	133779.0	30138.0	11857.0	8119.0
специалисты среднего уровня квалификации	7579096.0	7405744.0	168168.0	30582.0	108004.0	20495.0	9087.0	5184.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1579389.0	1554903.0	23559.0	3553.0	14949.0	3603.0	1454.0	927.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	7760589.0	7075110.0	679354.0	77544.0	539087.0	38570.0	24153.0	6125.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1067549.0	936151.0	131032.0	23151.0	92236.0	11707.0	3938.0	366.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	9532558.0	9257418.0	268748.0	29804.0	196046.0	29442.0	13456.0	6392.0
операторы, аппаратчики, машинисты установок и машин	8529815.0	8227817.0	297096.0	26342.0	223649.0	33504.0	13601.0	4902.0
неквалифицированные рабочие	5837490.0	5713826.0	120139.0	11674.0	76047.0	24929.0	7489.0	3525.0
занятые на военной службе	616230.0	616227.0						3.0
лица, неточно указавшие или не указавшие занятия 	1353406.0	1269446.0	73558.0	16377.0	37442.0	13181.0	6558.0	10402.0
Мужчины, занятые в экономике 	30203284.0	28294471.0	1882169.0	597815.0	1073776.0	142588.0	67990.0	26644.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3955047.0	3182831.0	769055.0	445640.0	280454.0	24483.0	18478.0	3161.0
специалисты высшего уровня квалификации	2832347.0	2737562.0	91746.0	17670.0	56652.0	12707.0	4717.0	3039.0
специалисты среднего уровня квалификации	2382775.0	2303070.0	77826.0	16995.0	49398.0	7838.0	3595.0	1879.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	151194.0	146795.0	4256.0	1242.0	2340.0	508.0	166.0	143.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	2333136.0	2093111.0	237762.0	28076.0	188207.0	13718.0	7761.0	2263.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	495344.0	398965.0	96201.0	19771.0	67640.0	6029.0	2761.0	178.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	7237548.0	7023052.0	209794.0	24413.0	151662.0	23389.0	10330.0	4702.0
операторы, аппаратчики, машинисты установок и машин	7099352.0	6817057.0	278205.0	24665.0	210381.0	30772.0	12387.0	4090.0
неквалифицированные рабочие	2487955.0	2415438.0	70741.0	7867.0	43958.0	14860.0	4056.0	1776.0
занятые на военной службе	489366.0	489364.0						2.0
лица, неточно указавшие или не указавшие занятия 	739220.0	687226.0	46583.0	11476.0	23084.0	8284.0	3739.0	5411.0
Женщины, занятые в экономике 	29449153.0	28123603.0	1301096.0	319808.0	826800.0	101417.0	53071.0	24454.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2970829.0	2525458.0	443379.0	219553.0	198883.0	13953.0	10990.0	1992.0
специалисты высшего уровня квалификации	6038092.0	5915581.0	117431.0	15733.0	77127.0	17431.0	7140.0	5080.0
специалисты среднего уровня квалификации	5196321.0	5102674.0	90342.0	13587.0	58606.0	12657.0	5492.0	3305.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1428195.0	1408108.0	19303.0	2311.0	12609.0	3095.0	1288.0	784.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	5427453.0	4981999.0	441592.0	49468.0	350880.0	24852.0	16392.0	3862.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	572205.0	537186.0	34831.0	3380.0	24596.0	5678.0	1177.0	188.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2295010.0	2234366.0	58954.0	5391.0	44384.0	6053.0	3126.0	1690.0
операторы, аппаратчики, машинисты установок и машин	1430463.0	1410760.0	18891.0	1677.0	13268.0	2732.0	1214.0	812.0
неквалифицированные рабочие	3349535.0	3298388.0	49398.0	3807.0	32089.0	10069.0	3433.0	1749.0
занятые на военной службе	126864.0	126863.0						1.0
лица, неточно указавшие или не указавшие занятия 	614186.0	582220.0	26975.0	4901.0	14358.0	4897.0	2819.0	4991.0
Городское население, занятое в экономике 	46988595.0	44317398.0	2624417.0	800517.0	1544525.0	180860.0	98515.0	46780.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	5897414.0	4823507.0	1069041.0	595402.0	414949.0	32958.0	25732.0	4866.0
специалисты высшего уровня квалификации	7575256.0	7374846.0	192709.0	31514.0	123752.0	26982.0	10461.0	7701.0
специалисты среднего уровня квалификации	6080559.0	5926496.0	149355.0	27681.0	97071.0	16926.0	7677.0	4708.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1291231.0	1269496.0	20886.0	3333.0	13416.0	2852.0	1285.0	849.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	6326942.0	5747573.0	573745.0	66845.0	453783.0	33067.0	20050.0	5624.0
