9. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ							
(на 1000 человек в возрасте 15-64 лет, занятых в соответствующей группе занятий)							
							
							
	Положение в занятии						Не указавшие положение в занятии
	работаюшие по найму	работающие не по найму	из них				
			с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Городское и сельское население, занятое в экономике 	946.0	53.0	15.0	32.0	4.0	2.0	1.0
в том числе по группам занятий:							
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	824.0	175.0	96.0	69.0	6.0	4.0	1.0
специалисты высшего уровня квалификации	975.0	24.0	4.0	15.0	4.0	1.0	1.0
специалисты среднего уровня квалификации	977.0	22.0	4.0	14.0	3.0	1.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	984.0	15.0	2.0	10.0	2.0	1.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	912.0	87.0	10.0	69.0	5.0	3.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	877.0	123.0	22.0	86.0	11.0	4.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	971.0	28.0	3.0	21.0	3.0	1.0	1.0
операторы, аппаратчики, машинисты установок и машин	965.0	35.0	3.0	26.0	4.0	2.0	0.0
неквалифицированные рабочие	979.0	20.0	2.0	13.0	4.0	1.0	1.0
занятые на военной службе	1000.0						0.0
лица, неточно указавшие или не указавшие  занятия 	938.0	54.0	12.0	27.0	10.0	5.0	8.0
Мужчины, занятые в экономике 	937.0	62.0	20.0	35.0	5.0	2.0	1.0
в том числе по группам занятий:							
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	805.0	194.0	113.0	71.0	6.0	4.0	1.0
специалисты высшего уровня квалификации	967.0	32.0	6.0	20.0	4.0	2.0	1.0
специалисты среднего уровня квалификации	966.0	33.0	7.0	21.0	3.0	2.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	971.0	28.0	8.0	16.0	3.0	1.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	897.0	102.0	12.0	81.0	6.0	3.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	806.0	194.0	40.0	136.0	12.0	6.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	970.0	29.0	3.0	21.0	3.0	2.0	1.0
операторы, аппаратчики, машинисты установок и машин	960.0	39.0	3.0	30.0	4.0	2.0	1.0
неквалифицированные рабочие	971.0	28.0	3.0	18.0	6.0	1.0	1.0
занятые на военной службе	1000.0						0.0
лица, неточно указавшие или не указавшие  занятия 	930.0	63.0	16.0	31.0	11.0	5.0	7.0
Женщины, занятые в экономике 	955.0	44.0	11.0	28.0	3.0	2.0	1.0
в том числе по группам занятий:							
