11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И  ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работаюшие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Центральный федеральный округ								
Все население, занятое в экономике 	16396856.0	15579994.0	775982.0	226316.0	442556.0	73074.0	34036.0	40880.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2023013.0	1726714.0	292188.0	158287.0	113799.0	12070.0	8032.0	4111.0
специалисты высшего уровня квалификации	2713119.0	2638102.0	68514.0	11303.0	41609.0	11425.0	4177.0	6503.0
специалисты среднего уровня квалификации	1957637.0	1908551.0	45133.0	7770.0	28264.0	6414.0	2685.0	3953.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	420124.0	412053.0	7349.0	1176.0	4610.0	1137.0	426.0	722.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	2132386.0	1976544.0	150818.0	18861.0	114414.0	11797.0	5746.0	5024.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	204837.0	190573.0	14034.0	3002.0	9241.0	1299.0	492.0	230.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2461928.0	2395390.0	61573.0	7391.0	42930.0	7972.0	3280.0	4965.0
операторы, аппаратчики, машинисты установок и машин	2071258.0	1998822.0	68770.0	6241.0	50915.0	8365.0	3249.0	3666.0
неквалифицированные рабочие	1441802.0	1410785.0	28339.0	3277.0	17721.0	5381.0	1960.0	2678.0
занятые на военной службе	167892.0	167892.0						-
лица, неточно указавшие или не указавшие  занятия 	802860.0	754568.0	39264.0	9008.0	19053.0	7214.0	3989.0	9028.0
Белгородская область								
Все население, занятое в экономике 	596817.0	563432.0	32961.0	8839.0	21334.0	1981.0	807.0	424.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	65512.0	52467.0	13005.0	6393.0	6058.0	276.0	278.0	40.0
специалисты высшего уровня квалификации	79062.0	76908.0	2105.0	265.0	1422.0	326.0	92.0	49.0
специалисты среднего уровня квалификации	71493.0	69949.0	1474.0	144.0	1058.0	236.0	36.0	70.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	14475.0	14264.0	203.0	24.0	164.0	8.0	7.0	8.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	72922.0	65664.0	7209.0	873.0	5832.0	357.0	147.0	49.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	16948.0	15972.0	968.0	236.0	690.0	34.0	8.0	8.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	96037.0	93304.0	2695.0	294.0	2013.0	303.0	85.0	38.0
операторы, аппаратчики, машинисты установок и машин	101857.0	98430.0	3345.0	310.0	2757.0	198.0	80.0	82.0
неквалифицированные рабочие	64796.0	63653.0	1090.0	99.0	807.0	150.0	34.0	53.0
занятые на военной службе	1358.0	1358.0						-
лица, неточно указавшие или не указавшие  занятия 	12357.0	11463.0	867.0	201.0	533.0	93.0	40.0	27.0
Брянская область								
Все население, занятое в экономике 	525835.0	496194.0	29472.0	6715.0	20454.0	1708.0	595.0	169.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	55227.0	45228.0	9971.0	4621.0	4855.0	306.0	189.0	28.0
специалисты высшего уровня квалификации	70380.0	69078.0	1273.0	169.0	871.0	208.0	25.0	29.0
специалисты среднего уровня квалификации	66086.0	64947.0	1127.0	200.0	717.0	163.0	47.0	12.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	14219.0	14031.0	184.0	9.0	141.0	29.0	5.0	4.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	73568.0	63369.0	10166.0	1011.0	8680.0	313.0	162.0	33.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	10613.0	10187.0	417.0	105.0	296.0	7.0	9.0	9.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	88928.0	86791.0	2118.0	213.0	1667.0	198.0	40.0	19.0
операторы, аппаратчики, машинисты установок и машин	75447.0	72437.0	3000.0	283.0	2419.0	215.0	83.0	10.0
неквалифицированные рабочие	61048.0	60117.0	915.0	56.0	632.0	221.0	6.0	16.0
занятые на военной службе	3952.0	3952.0						-
лица, неточно указавшие или не указавшие  занятия 	6367.0	6057.0	301.0	48.0	176.0	48.0	29.0	9.0
Владимирская область								
Все население, занятое в экономике 	657408.0	622520.0	34285.0	9741.0	21381.0	1905.0	1258.0	603.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	74175.0	60787.0	13349.0	6999.0	5703.0	300.0	347.0	39.0
специалисты высшего уровня квалификации	86357.0	84378.0	1933.0	297.0	1331.0	188.0	117.0	46.0
специалисты среднего уровня квалификации	74611.0	73117.0	1455.0	277.0	977.0	137.0	64.0	39.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	16059.0	15844.0	192.0	30.0	122.0	40.0	-	23.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	85680.0	77134.0	8431.0	1088.0	6616.0	432.0	295.0	115.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	8574.0	8184.0	381.0	64.0	267.0	29.0	21.0	9.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	133505.0	130404.0	3000.0	321.0	2235.0	291.0	153.0	101.0
операторы, аппаратчики, машинисты установок и машин	93322.0	89979.0	3255.0	323.0	2593.0	218.0	121.0	88.0
неквалифицированные рабочие	62081.0	60855.0	1154.0	131.0	807.0	151.0	65.0	72.0
занятые на военной службе	5886.0	5886.0						-
лица, неточно указавшие или не указавшие  занятия 	17158.0	15952.0	1135.0	211.0	730.0	119.0	75.0	71.0
Воронежская область								
Все население, занятое в экономике 	895008.0	845442.0	48113.0	11221.0	30120.0	4776.0	1996.0	1453.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	95364.0	79482.0	15742.0	7545.0	7072.0	634.0	491.0	140.0
специалисты высшего уровня квалификации	135768.0	132244.0	3322.0	325.0	2158.0	619.0	220.0	202.0
специалисты среднего уровня квалификации	106337.0	103631.0	2524.0	309.0	1697.0	375.0	143.0	182.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	24330.0	23781.0	512.0	49.0	358.0	84.0	21.0	37.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	115971.0	103467.0	12261.0	1332.0	9766.0	759.0	404.0	243.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	23618.0	21617.0	1984.0	444.0	1229.0	235.0	76.0	17.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	134877.0	130674.0	4026.0	416.0	2733.0	662.0	215.0	177.0
операторы, аппаратчики, машинисты установок и машин	133007.0	128324.0	4500.0	415.0	3183.0	696.0	206.0	183.0
неквалифицированные рабочие	101682.0	99459.0	2088.0	168.0	1247.0	527.0	146.0	135.0
занятые на военной службе	7531.0	7531.0						-
лица, неточно указавшие или не указавшие  занятия 	16523.0	15232.0	1154.0	218.0	677.0	185.0	74.0	137.0
Ивановская область								
Все население, занятое в экономике 	477036.0	450687.0	25734.0	7686.0	16152.0	1216.0	680.0	615.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51048.0	40561.0	10429.0	5687.0	4361.0	203.0	178.0	58.0
специалисты высшего уровня квалификации	59716.0	58273.0	1361.0	211.0	903.0	205.0	42.0	82.0
специалисты среднего уровня квалификации	54984.0	53787.0	1131.0	230.0	775.0	73.0	53.0	66.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10762.0	10601.0	147.0	20.0	106.0	16.0	5.0	14.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	57853.0	52167.0	5595.0	664.0	4608.0	189.0	134.0	91.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6843.0	6470.0	368.0	75.0	265.0	11.0	17.0	5.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	99450.0	96624.0	2722.0	349.0	2102.0	188.0	83.0	104.0
операторы, аппаратчики, машинисты установок и машин	75981.0	73292.0	2579.0	242.0	2130.0	113.0	94.0	110.0
неквалифицированные рабочие	44976.0	44180.0	745.0	78.0	542.0	84.0	41.0	51.0
занятые на военной службе	5950.0	5950.0						-
лица, неточно указавшие или не указавшие  занятия 	9473.0	8782.0	657.0	130.0	360.0	134.0	33.0	34.0
Калужская область								
Все население, занятое в экономике 	461716.0	439136.0	22248.0	6836.0	13761.0	1238.0	413.0	332.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	53962.0	43288.0	10647.0	5418.0	4827.0	283.0	119.0	27.0
специалисты высшего уровня квалификации	66423.0	65315.0	1075.0	179.0	744.0	136.0	16.0	33.0
специалисты среднего уровня квалификации	55209.0	54326.0	829.0	111.0	532.0	121.0	65.0	54.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11375.0	11298.0	77.0	12.0	41.0	15.0	9.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	55728.0	50952.0	4713.0	504.0	3947.0	162.0	100.0	63.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6855.0	6444.0	399.0	71.0	289.0	33.0	6.0	12.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	85362.0	83853.0	1452.0	186.0	1106.0	141.0	19.0	57.0
операторы, аппаратчики, машинисты установок и машин	63120.0	61106.0	1975.0	161.0	1639.0	123.0	52.0	39.0
неквалифицированные рабочие	46813.0	46264.0	526.0	70.0	304.0	140.0	12.0	23.0
занятые на военной службе	7252.0	7252.0						-
лица, неточно указавшие или не указавшие  занятия 	9617.0	9038.0	555.0	124.0	332.0	84.0	15.0	24.0
Костромская область								
Все население, занятое в экономике 	312787.0	297047.0	15493.0	4917.0	9441.0	882.0	253.0	247.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	36755.0	29507.0	7217.0	4014.0	2978.0	142.0	83.0	31.0
специалисты высшего уровня квалификации	40944.0	40146.0	769.0	130.0	542.0	91.0	6.0	29.0
специалисты среднего уровня квалификации	41117.0	40504.0	577.0	77.0	419.0	64.0	17.0	36.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8049.0	7974.0	67.0	4.0	46.0	17.0	-	8.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	39748.0	36415.0	3316.0	377.0	2752.0	109.0	78.0	17.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7727.0	7453.0	274.0	46.0	171.0	43.0	14.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	52422.0	51141.0	1236.0	83.0	1042.0	105.0	6.0	45.0
операторы, аппаратчики, машинисты установок и машин	46762.0	45372.0	1347.0	126.0	1053.0	150.0	18.0	43.0
неквалифицированные рабочие	34585.0	34074.0	495.0	33.0	319.0	131.0	12.0	16.0
занятые на военной службе	2494.0	2494.0						-
лица, неточно указавшие или не указавшие  занятия 	2184.0	1967.0	195.0	27.0	119.0	30.0	19.0	22.0
Курская область								
Все население, занятое в экономике 	477108.0	450805.0	25715.0	5655.0	17937.0	1534.0	589.0	588.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51418.0	44077.0	7280.0	3813.0	3194.0	145.0	128.0	61.0
специалисты высшего уровня квалификации	69551.0	68271.0	1226.0	210.0	875.0	108.0	33.0	54.0
специалисты среднего уровня квалификации	52920.0	51698.0	1181.0	160.0	839.0	123.0	59.0	41.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12069.0	11897.0	163.0	14.0	126.0	23.0	-	9.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	59726.0	50482.0	9151.0	756.0	7907.0	296.0	192.0	93.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	14573.0	13557.0	982.0	233.0	603.0	131.0	15.0	34.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	74513.0	72675.0	1751.0	168.0	1385.0	159.0	39.0	87.0
операторы, аппаратчики, машинисты установок и машин	73583.0	70819.0	2657.0	197.0	2146.0	253.0	61.0	107.0
неквалифицированные рабочие	60796.0	59641.0	1075.0	71.0	710.0	255.0	39.0	80.0
занятые на военной службе	4672.0	4672.0						-
лица, неточно указавшие или не указавшие  занятия 	3287.0	3016.0	249.0	33.0	152.0	41.0	23.0	22.0
Липецкая область								
Все население, занятое в экономике 	489163.0	465777.0	22679.0	5347.0	15189.0	1469.0	674.0	707.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	50643.0	41710.0	8861.0	3628.0	4719.0	347.0	167.0	72.0
специалисты высшего уровня квалификации	68559.0	67418.0	1028.0	148.0	697.0	155.0	28.0	113.0
специалисты среднего уровня квалификации	58515.0	57569.0	863.0	163.0	595.0	72.0	33.0	83.0
