name	rtype	subjectCode	districtKey
Централь-ного федераль-ного округа	feddistrict		cfo
Белгород-ской области	region	31	
Брянской области	region	32	
Владимир-ской области	region	33	
Воронежской области	region	36	
Ивановской области	region	37	
Калужской области	region	40	
Костромской области	region	44	
Курской области	region	46	
Липецкой области	region	48	
Московской области	region	50	
Орловской области	region	57	
Рязанской области	region	62	
Смоленской области	region	67	
Тамбовской области	region	68	
Тверской области	region	69	
Тульской области	region	71	
Ярославской области	region	76	
г. Москвы	region	77	
Северо-Западного федераль-ного округа	feddistrict		szfo
Республики Карелия	region	10	
Республики Коми	region	11	
Архангель-ской области	region	29	
Ненецкого автономного округа	region	83	
Вологодской области	region	35	
Калинин-градской области	region	39	
Ленин-градской области	region	47	
Мурманской области	region	51	
Новгород-ской области	region	53	
Псковской области	region	60	
г. Санкт-Петербурга	region	78	
Южного федераль-ного округа	feddistrict		ufo
Республики Адыгея	region	01	
Республики Дагестан	region	05	
Республики Ингушетия	region	06	
Кабардино-Балкарской Республики	region	07	
Республики Калмыкия	region	08	
Карачаево-Черкесской Республики	region	09	
Республики Северная Осетия - Алания	region	15	
Чеченской Республики	region	20	
Красно-дарского края	region	23	
Ставро-польского края	region	26	
Астраханской области	region	30	
Волго-градской области	region	34	
Ростовской области	region	61	
При-волжского федераль-ного округа	feddistrict		pfo
Республики Башкорто-стан	region	02	
Республики Марий Эл	region	12	
Республики Мордовия	region	13	
Республики Татарстан	region	16	
Удмуртской Республики	region	18	
Чувашской Республики	region	21	
Кировской области	region	43	
Ниже-городской области	region	52	
Оренбург-ской области	region	56	
Пензенской области	region	58	
Пермской области	region	59	
Коми-Пермяцкого автономного округа	region	59	
Самарской области	region	63	
Саратовской области	region	64	
Ульяновской области	region	73	
Уральского федераль-ного округа	feddistrict		ufo
Курганской области	region	45	
Свердлов-ской области	region	66	
Тюменской области	region	72	
Ханты-Мансийского автономного округа - Югра	region	86	
Ямало-Ненецкого автономного округа	region	89	
Челябинской области	region	74	
Сибирского федераль-ного округа	feddistrict		sfo
Республики Алтай	region	04	
Республики Бурятия	region	03	
Республики Тыва	region	17	
Республики Хакасия	region	19	
Алтайского края	region	22	
Краснояр-ского края	region	24	
Таймырского (Долгано-Ненецкого) автономного округа	region	24	
Эвенкий-ского автономного округа	region	24	
Иркутской области	region	38	
Усть-Ордынского Бурятского автономного округа	region	38	
Кемеровской области	region	42	
Ново-сибирской области	region	54	
Омской области	region	55	
Томской области	region	70	
Читинской области	region	75	
Агинского Бурятского автономного округа	region	75	
Дальне-восточного федераль-ного округа	feddistrict		dfo
Республики Саха (Якутия)	region	14	
Приморского края	region	25	
Хабаров-ского края	region	27	
Амурской области	region	28	
Камчатской области	region	41	
Корякского автономного округа	region	41	
Магаданской области	region	49	
Сахалинской области	region	65	
Еврейской автономной области	region	79	
Чукотского автономного округа	region	87	
